nm_titulo,vl_media_taxa_homicidios,vl_avaliacao_media_ativos_fundo,vl_quantidade_imoveis,nm_setor,vl_valor,vl_liquidez_media_diaria,vl_pvp,vl_dividendo,vl_yeld,vl_soma_yield_3m,vl_soma_yield_6m,vl_soma_yield_12m,vl_media_yield_3m,vl_media_yield_6m,vl_media_yield_12m,vl_soma_yield_ano_corrente,vl_variacao_cotacao_mes,vl_rentabilidade_mes,vl_rentabilidade,vl_patrimonio,vl_vpa,vl_pvpa,vl_vpa_yield,vl_vpa_change,vl_vpa_rent_m,vl_vpa_rent,vl_ativos,vl_volatility,vl_numero_cotista,dt_inclusao,vl_vacancia_fisica,vl_vacancia_financeira
VRTA11,,,,,"105,85",3128.0,,"R$ 0,6200","0,5795%","1,8423%","3,8018%","8,6050%","0,6141%","0,6336%","0,7171%","1,2117%","-3,3776%","-2,8177%","-2,2033%","R$ 234.292.280,7600","R$ 104,5108","1,0128","0,6698%","0,0000%","0,6698%","0,6698%",0,,,2018-03-01,,
BRCR11,,,,,"104,75",68900.0,,"R$ 0,3500","0,3325%","1,2262%","2,5429%","5,5070%","0,4087%","0,4238%","0,4589%","0,3325%","0,0000%","0,3325%","0,3325%","R$ 2.400.460.414,5000","R$ 124,8644","0,8389","0,2803%","0,0000%","0,2803%","0,2803%",11,,,2018-03-01,"32,9000%","29,4000%"
FAMB11B,,,,,"4.059,10",43.0,,"R$ 36,4026","0,8879%","2,6799%","5,3898%","10,0222%","0,8933%","0,8983%","0,8352%","1,7565%","0,4902%","1,3824%","2,2631%","R$ 483.571.831,2100","R$ 4.614,2350","0,8797","0,7681%","0,0000%","0,7681%","0,7681%",1,,,2018-03-01,"0,0000%",
PQDP11,,,,,"3.172,05",40.0,,"R$ 11,5671","0,3512%","1,2374%","2,4850%","5,7263%","0,4125%","0,4142%","0,4772%","0,3512%","0,0000%","0,3512%","0,3512%","R$ 635.694.247,1000","R$ 2.665,6417","1,1900","0,4339%","0,0000%","0,4339%","0,4339%",1,,,2018-03-01,"2,1000%",
PRSV11,,,,,"400,00",94.0,,"R$ 0,4200","0,1035%","0,4645%","1,6887%","3,7546%","0,1548%","0,2815%","0,3129%","0,1035%","0,0000%","0,1035%","0,1035%","R$ 78.977.639,5900","R$ 405,0135","0,9876","0,1037%","0,0000%","0,1037%","0,1037%",2,,,2018-03-01,,
WPLZ11B,,,,,"75,96",253.0,,"R$ 0,1250","0,1761%","0,4370%","0,6410%","1,8182%","0,1457%","0,1068%","0,1515%","1,8182%","-4,0676%","-3,8986%","-3,3516%","R$ 81.255.524,7900","R$ 82,1311","0,9249",,,,,1,,,2018-03-01,"8,8000%",
TBOF11,,,,,"84,23",5724.0,,"R$ 0,1862","0,2256%","0,6199%","1,3343%","3,4298%","0,2066%","0,2224%","0,2858%","0,2256%","0,0000%","0,2256%","0,2256%","R$ 799.769.804,1900","R$ 79,5791","1,0584","0,2339%","0,0000%","0,2339%","0,2339%",1,,,2018-03-01,"32,1000%",
VLOL11,,,,,"88,49",1459.0,,"R$ 0,2846","0,3163%","1,0904%","2,4100%","5,4451%","0,3635%","0,4017%","0,4538%","0,6693%","0,0000%","0,3163%","0,6704%","R$ 132.545.574,9300","R$ 74,2624","1,1916","0,4278%","0,0000%","0,4278%","0,4278%",1,,,2018-03-01,"11,2100%",
AGCX11,,,,,"1.239,00",321.0,,"R$ 7,2100","0,5633%","1,8092%","3,6189%","7,5187%","0,6031%","0,6032%","0,6266%","1,1352%","0,5499%","1,1163%","1,6945%","R$ 431.946.781,5000","R$ 1.066,5353","1,1617","0,6760%","-0,0036%","0,6724%","1,3595%",41,,,2018-03-01,,
BBVJ11,,,,,"60,24",1898.0,,"R$ 0,4000","0,6656%","0,7660%","1,4363%","4,1236%","0,2553%","0,2394%","0,3436%","4,1236%","4,3403%","5,0347%","14,7892%","R$ 161.952.768,8300","R$ 59,7612","1,0080",,,,,1,,,2018-03-01,"49,2900%",
BMLC11B,,,,,"83,97",246.0,,"R$ 0,2993","0,3565%","1,5381%","3,1788%","6,7059%","0,5127%","0,5298%","0,5588%","0,8164%","-0,4033%","-0,0482%","0,4115%","R$ 84.186.639,5200","R$ 84,3211","0,9958","0,4599%","0,0000%","0,4599%","0,4599%",2,,,2018-03-01,"32,7000%",
BMLC11B,,,,,"83,97",246.0,,"R$ 0,2993","0,3565%","1,5381%","3,1788%","6,7059%","0,5127%","0,5298%","0,5588%","0,8164%","-0,4033%","-0,0482%","0,4115%","R$ 84.186.639,5200","R$ 84,3211","0,9958","0,4599%","0,0000%","0,4599%","0,4599%",2,,,2018-03-01,"32,7000%",
BPFF11,,,,,"107,00",2240.0,,"R$ 0,6700","0,6280%","2,0296%","4,0970%","8,4564%","0,6765%","0,6828%","0,7047%","1,2904%","5,4770%","6,1394%","6,8424%","R$ 196.121.380,9300","R$ 98,0607","1,0912","0,6833%","0,0000%","0,6833%","0,6833%",0,,,2018-03-01,,
CXCE11B,,,,,"2.400,00",9.0,,"R$ 17,7068","0,7083%","2,1804%","4,3550%","9,0581%","0,7268%","0,7258%","0,7548%","1,4388%","2,4594%","3,1851%","3,9389%","R$ 157.587.058,4800","R$ 2.299,9366","1,0435","0,7750%","0,0000%","0,7750%","0,7750%",1,,,2018-03-01,,
CXTL11,,,,,"572,99",24.0,,"R$ 1,0711","0,1879%","0,4793%","1,4699%","5,0137%","0,1598%","0,2450%","0,4178%","0,2856%","-0,3497%","-0,1624%","-0,0648%","R$ 51.891.770,7900","R$ 968,1842","0,5918","0,0577%","0,0000%","0,0577%","0,0577%",4,,,2018-03-01,,
CTXT11,,,,,"4,09",20714.0,,"R$ 0,0154","0,3689%","1,5119%","3,6048%","8,4403%","0,5040%","0,6008%","0,7034%","0,7115%","-7,1111%","-6,7685%","-6,4490%","R$ 124.349.477,1300","R$ 3,4237","1,1946","0,4503%","0,0000%","0,4503%","0,4503%",1,,,2018-03-01,"5,2000%",
FLMA11,,,,,"2,66",12353.0,,"R$ 0,0100","0,3731%","1,2268%","2,6265%","5,6343%","0,4089%","0,4377%","0,4695%","0,7895%","4,2802%","4,6693%","5,1050%","R$ 183.367.017,2000","R$ 2,6562","1,0014","0,4028%","0,0000%","0,4028%","0,4028%",1,,,2018-03-01,,
EDFO11B,,,,,"295,00",55.0,,"R$ 1,7446","0,5914%","1,8014%","3,6933%","7,5391%","0,6005%","0,6155%","0,6283%","1,2197%","5,3571%","5,9802%","6,6461%","R$ 42.040.395,3600","R$ 178,1373","1,6560","0,9876%","0,0000%","0,9876%","0,9876%",1,,,2018-03-01,,
EURO11,,,,,"199,63",233.0,,"R$ 1,0000","0,4950%","1,6361%","3,2169%","5,3513%","0,5454%","0,5361%","0,4459%","0,9950%","1,0000%","1,5000%","2,0075%","R$ 118.877.332,5700","R$ 309,6280","0,6447","0,3230%","0,0000%","0,3230%","0,3230%",6,,,2018-03-01,"11,8200%",
FIGS11,,,,,"95,90",7586.0,,"R$ 0,8333","0,8683%","2,6432%","5,4550%","12,4553%","0,8811%","0,9092%","1,0379%","1,7409%","0,4921%","1,3647%","2,2493%","R$ 228.782.834,6000","R$ 88,2820","1,0863","0,9439%","0,0000%","0,9439%","0,9439%",2,,,2018-03-01,,
ABCP11,,,,,"16,43",34199.0,,"R$ 0,0800","0,4770%","1,6814%","3,1170%","5,9724%","0,5605%","0,5195%","0,4977%","1,1842%","-1,1786%","-0,7071%","-0,0050%","R$ 784.633.803,1500","R$ 12,8588","1,2777","0,9332%","0,0000%","0,9332%","0,9332%",1,,,2018-03-01,"1,6000%",
GWIR11,,,,,"241,99",189.0,,"R$ 1,4300","0,5909%","2,1513%","3,8302%","6,7620%","0,7171%","0,6384%","0,5635%","0,5909%","0,0000%","0,5909%","0,5909%","R$ 79.755.795,9400","R$ 208,7755","1,1591","0,6849%","0,0000%","0,6849%","0,6849%",0,,,2018-03-01,,
