,Título,Ativos,CEPs,Ratings,estado_localidade
29,BBRC11,"['AGÊNCIA ESTILO JOAQUIM FLORIANO', 'AGÊNCIA AV. FRANCISCO MORATO', 'AGÊNCIA ESTILO NOVA FARIA LIMA', 'AGÊNCIA AV. SANTO AMARO', 'AGÊNCIA ESTILO SANTO AMARO', 'AGÊNCIA DEMARCHI', 'AGÊNCIA ESTILO VILA ESPERANÇA', 'AGÊNCIA ESTILO AV. PORTUGAL', 'AGÊNCIA IMPERATRIZ LEOPOLDINA', 'AGÊNCIA ESTILO BERRINI', 'AGÊNCIA PAES DE BARROS', 'AGÊNCIA PARQUE DA ACLIMAÇÃO', 'AGÊNCIA ESTILO BUTANTÃ', 'AGÊNCIA PEDRO PINHO', 'AGÊNCIA ESTILO CAMBUÍ', 'AGÊNCIA PQ. BOTURUSSU', 'AGÊNCIA ESTILO ESTADOS UNIDOS', 'AGÊNCIA ESTILO INDIANÓPOLIS', 'AGÊNCIA ESTILO JARDIM PAULISTA', 'AGÊNCIA PQ. ACLIMAÇÃO']","['04534002', '05512200', '01452000', '04702002', '04738000', '09820000', '03635000', '09041321', '05305010', '04571010', '03114000', '01531000', '05512100', '06180180', '13025001', '03806010', '01427002', '04088003', '01430000', '01534001']","[2.7, 2.4, 3.3, 3.6, 3.7, 2.6, 4.3, 5, 3.3, 3.4, 3.5, 3.3, 4.3, 3.4, 3.6, 2.9, 3.3, 2.7, 4.1, 4.5]","[{'estado': 'SP', 'localidade': 'Itaim Bibi'}, {'estado': 'SP', 'localidade': 'Butantã'}, {'estado': 'SP', 'localidade': 'Jardim Paulistano'}, {'estado': 'SP', 'localidade': 'Santo Amaro'}, {'estado': 'SP', 'localidade': 'Santo Amaro'}, {'estado': 'SP', 'localidade': 'Demarchi'}, {'estado': 'SP', 'localidade': 'Penha de França'}, {'estado': 'SP', 'localidade': 'Centro'}, {'estado': 'SP', 'localidade': 'Vila Leopoldina'}, {'estado': 'SP', 'localidade': 'Cidade Monções'}, {'estado': 'SP', 'localidade': 'Mooca'}, {'estado': 'SP', 'localidade': 'Aclimação'}, {'estado': 'SP', 'localidade': 'Butantã'}, {'estado': 'SP', 'localidade': 'Pestana'}, {'estado': 'SP', 'localidade': 'Cambuí'}, {'estado': 'SP', 'localidade': 'Vila Paranaguá'}, {'estado': 'SP', 'localidade': 'Jardim América'}, {'estado': 'SP', 'localidade': 'Indianópolis'}, {'estado': 'SP', 'localidade': 'Jardim América'}, {'estado': 'SP', 'localidade': 'Aclimação'}]"
30,BCFF11,[],[],[],[]
31,BCIA11,[],[],[],[]
32,BCRI11,[],[],[],[]
33,BDIF11,[],[],[],[]
34,BDIV11,[],[],[],[]
35,BETW11,[],[],[],[]
36,BICE11,[],[],[],[]
37,BICR11,[],[],[],[]
38,BIDB11,[],[],[],[]
39,BIME11,[],[],[],[]
40,BIPD11,[],[],[],[]
41,BLCA11,['EDIFÍCIO PÁTIO VICTOR MALZONI'],['04538132'],[4.7],"[{'estado': 'SP', 'localidade': 'Itaim Bibi'}]"
