Título,Ativos
BRFT11,[]
BRIM11,[]
BRIP11,[]
BRLA11,"['IMÓVEL - LUCAS RIO VERDE', 'IMÓVEL - VITÓRIA DA CONQUISTA', 'IMÓVEL - CUIABÁ', 'IMÓVEL - ITAJAÍ', 'IMÓVEL - VIANA', 'IMÓVEL - CONDE', 'IMÓVEL - BELO HORIZONTE', 'IMÓVEL - QUERÊNCIA']"
BROF11,"['PASSEIO CORPORATE', 'EDIFÍCIO ÁGUAS CLARAS', 'EDIFÍCIO E-TOWER']"
BRZP11,[]
BTAG11,[]
BTAL11,"['CENTRO DE RECEBIMENTO CASCÁVEL', 'CENTRO DE RECEBIMENTO PALOTINA', 'COMPLEXO SEMENTES TOLEDO', 'CENTRO DE RECEBIMENTO IBEMA', 'TERMINAL INTERMODAL ITURAMA', 'CENTRO DE RECEBIMENTO MARIPÁ', 'TERMINAL PORTUÁRIO VILA VELHA', 'ARMAZÉM GRANELEIRO', 'IMÓVEL ITUMBIARA']"
BTCI11,[]
BTCR11,[]
BTHI11,[]
BTLG11,"['IMÓVEL NAVEGANTES', 'ATIVO SBC', 'BRASIL FOODS - BRF', 'BTLG JUNDIAÍ', 'NATURA', 'CONTINENTAL CASTELLO BANCO', 'WESTROCK BRAZIL', 'HORTOLÂNDIA', 'BTLG RIBEIRÃO PRETO', 'EMBU', 'IMOVEL GUARULHOS', 'BTLG COTIA', 'BTLG FARIA LIMA', 'BTLG MAUA', 'BTLG CAMÇARI', 'BTLG CAMPINAS', 'BTLG EXTREMA', 'AMBEV SANTA LUZIA', 'BTLG CAJAMAR I', 'BTLG CAJAMAR II', 'BTLG CAMPINAS II', 'BTLG CABREUVA']"
BTML11,[]
BTRA11,"['FAZENDA SORRISO - HENDGES', 'FAZENDA COLIBRI - BERGAMASCO', 'FAZENDA MILTON CELLA', 'FAZENDA CACHOEIRIA - RUI PRADO', 'FAZENDA JR', 'FAZENDA TRES IRMÃOS - BERGAMASCO']"
BTSG11,['FÁBRICA POUSO ALEGRE']
BTSI11,[]
BTWR11,['BROOKFIELD TOWERS']
BTYU11,[]
BZEL11,[]
CACR11,[]
CARE11,[]
CBOP11,['TORRE JATOBÁ']
CCME11,"['KASA VILA OLIMPIA', 'SELINA', 'SHOPPING JARDIM SUL']"
CCRF11,[]
CCVA11,[]
CDII11,[]
CEOC11,['EDIFÍCIO CORPORATE EXECUTIVE OFFICES']
CFHI11,[]
CFII11,[]
CIXM11,[]
CJCT11,['CIDADE JARDIM CONTINENTAL TOWER']
CLIN11,[]
CNES11,['CENTRO EMPRESARIAL DE SÃO PAULO']
COPP11,[]
CORM11,[]
CPFF11,[]
CPFO11,[]
CPOF11,"['FARIA LIMA PLAZA', 'OSCAR FREIRE OFFICE', 'SPOT LEBLON']"
CPSH11,"['CATARINA FASHION OUTLET', 'IGUATEMI FORTALEZA', 'SHOPPING CIDADE JARDIM', 'PRAIA DE BELAS', 'SHOPPING METRO TATUAPÉ', 'SHOPPING BOULEVARD TATUAPÉ', 'PARQUE DOM PEDRO SHOPPING', 'IGUATEMI FASHION OUTLET NOVO HAMBURGO', 'RIO DESIGN LEBLON']"
CPTI11,[]
CPTR11,[]
CPTS11,[]
CRAA11,[]
CRFF11,[]
CSMC11,[]
CTXT11,['CENTRO TÊXTIL INTERNACIONAL']
CVBI11,[]
CVPR11,[]
CXAG11,"['AGÊNCIA MADUREIRA', 'AGÊNCIA ITABIRA', 'AGÊNCIA GIOVANNI BREDA', 'AGÊNCIA ATIBAIA', 'AGÊNCIA MONTES CLAROS', 'AGÊNCIA PIRACICABA', 'AGÊNCIA BAEPENDI', 'AGÊNCIA GUIA LOPES', 'AGÊNCIA OSORIO', 'AGÊNCIA MANCHESTER', 'AGÊNCIA SOLEDADE', 'AGÊNCIA SÃO LOURENÇO', 'AGÊNCIA SANTA CRUZ DO SUL', 'AGÊNCIA FREIRE ALEMÃO', 'AGÊNCIA HORTO DE IPATINGA', 'AGÊNCIA JACAREI', 'AGÊNCIA INHANGA', 'AGÊNCIA CACHOEIRA DO SUL', 'AGÊNCIA URUGUAIANA', 'AGÊNCIA QUEIMADOS', 'AGÊNCIA PILARES', 'AGÊNCIA PELOTAS', 'AGÊNCIA RIBEIRÃO PIRES', 'AGÊNCIA ARAGUARI', 'AGÊNCIA BELA VISTA', 'AGÊNCIA MAGÉ', 'AGÊNCIA CAPÃO DA CANOA', 'AGÊNCIA ELOI MENDES', 'AGÊNCIA BOM FIM', 'AGÊNCIA MACAÉ', 'AGÊNCIA FREDERICO WESTPHALEN', 'AGÊNCIA LAJEADO']"
CXCE11B,['CEDAE']
CXCI11,[]
CXCO11,"['EDIFÍCIO CAIXA', 'EDIFÍCIO QUERENCIA', 'EDIFÍCIO CARLOS GO', 'EDIFÍCIO SEDE CONTORNO', 'EDIFÍCIO CASCAVEL', 'EDIFÍCIO SEDE MATO GROSSO', 'EDIFÍCIO BLUMENAU', 'EDIFÍCIO CICOB', 'EDIFÍCIO NOVO HAMBURGO', 'EDIFÍCIO HORTO FLO']"
CXRI11,[]
CXTL11,['ATMOSFERA']
CYCR11,[]
DAMA11,[]
DAMT11B,['VENTURA SHOPPING DE DESCONTOS']
DCRA11,[]
DEVA11,[]
DLMT11,"['EDIFÍCIO HORIZONTE', 'EDIFÍCIO THE LANDMARK', 'SUC N° 101', 'CONDOMÍNIO UBER ITAIM', 'EDIFÍCIO DANIELA']"
DPRO11,['GALPÃO ITAPEVI']
DRIT11B,"['EDIFÍCIO PEDRA GRANDE', 'EDIFÍCIO TORRE SUL', 'EDIFÍCIO NAÇÕES UNIDAS']"
DVFF11,[]
EDFO11B,['EDIFÍCIO OURINVEST']
EDGA11,['EDIFÍCIO GALERIA']
EGAF11,[]
ENDD11,[]
EQIA11,[]
EQIR11,[]
ERCR11,[]
ERPA11,"['UNIDADE 109', 'UNIDADE 103', 'UNIDADE 209', 'UNIDADE 210', 'UNIDADE 203', 'UNIDADE 201', 'UNIDADE 104', 'UNIDADE 102', 'UNIDADE 204', 'UNIDADE 202']"
ESUD11,[]
ESUT11,[]
ESUU11,[]
EURO11,"['CENTRO DE DIAGNÓSTICOS RIO DE JANEIRO - 1', 'CDA 1 - MÓDULOS 1/2/3/4', 'CENTRO DE DIAGNÓSTICOS RIO DE JANEIRO - 2', 'CDA 2', 'LABORATÓRIO TESTE DE ELEVADORES', 'CDA 3']"
EVBI11,"['GPA GRANJA VIANA', 'MDX MEDICAL CENTER', 'PÃO DE AÇUCAR TITO', 'GPA SANTANA', 'SODIMAC RIBEIRÃO PRETO']"
EXES11,[]
FAED11,"['LEME', 'TABOÃO DA SERRA', 'VALINHOS']"
FAMB11B,['EDIFÍCIO ALMIRANTE BARROSO']
FAOE11,[]
FATN11,"['EDIFÍCIO ATRIUM I', 'EDIFÍCIO CONSELHEIRO PARANAGUÁ', 'EDIFÍCIO ÉRIKA', 'EDIFÍCIO BANCO MERCANTIL DO BRASIL', 'EDIFÍCIO HARVARD', 'EDIFÍCIO BUSINESS CENTER JARDINS', 'EDIFÍCIO SETIN TOWER', 'EDIFÍCIO NETWORK', 'EDIFÍCIO ATRIUM II', 'EDIFÍCIO ATRIUM VII', 'EDIFÍCIO ARANDU', 'EDIFÍCIO MONTREAL', 'EDIFÍCIO OLYMPIA PARK', 'EDIFÍCIO GC SQUARE CORPORATE', 'EDIFÍCIO IRACEMA', 'EDIFÍCIO AEROPORTO II', 'EDIFÍCIO AEROPORTO I', 'EDIFÍCIO THERA BERRINI', 'EDIFÍCIO MANHATTAM', 'EDIFÍCIO FORTALEZA', 'EDIFÍCIO MAXIMUM', 'EDIFÍCIO AV. PAULISTA', 'EDIFÍCIO LAFAYETTE', 'EDIFÍCIO NAÇÕES UNIDAS III', 'EDIFÍCIO COLUMBUS', 'EDIFÍCIO FRANCISCO LOPES', 'EDIFÍCIO THE TAJ', 'EDIFÍCIO BRASIF', 'EDIFÍCIO ATRIUM IV', 'EDIFÍCIO ATRIUM JARDINS', 'EDIFÍCIO ATRIUM VIII', 'EDIFÍCIO BUENO BUSINESS TOWER', 'EDIFÍCIO JF 100', 'EDIFÍCIO MILLENNIUM', 'EDIFÍCIO MYKONOS', 'EDIFÍCIO PLAZA I', 'EDIFÍCIO RESULT CORPORATE PLAZA', 'EDIFÍCIO SPAZIO CENTRALE', 'EDIFÍCIO BEIRA RIO', 'EDIFÍCIO SANTA FILIPPA', 'EDIFÍCIO RONALDO SAMPAIO FERREIRA', 'EDIFÍCIO WILSON MENDES CALDEIRA', 'EDIFÍCIO BUSINESS CENTER', 'EDIFÍCIO CENTER DR. NAUR MARTINS', 'EDIFÍCIO MONUMENTO']"
FCFL11,['INSTITUTO DE ENSINO E PESQUISA']
FEXC11,[]
FGAA11,[]
FIGS11,"['PRQ SHOPPING MAIA', 'BONSUCESSO SHOPPING']"
FIIB11,[]
FIIP11B,"['DANFOSS', 'CERVEJARIA AMBEV', 'PERNAMBUCANAS', 'BARRY CALLEBAUT', 'MAGAZINE LUIZA', 'C&A', 'TELHA NORTE']"
FISC11,"['SC 401 SQUARE CORP.', 'W TOWER']"
FLCR11,[]
FLFL11,[]
FLMA11,"['CONTINENTAL SQUARE', 'HOTEL PULLMAN']"
FLRP11,['FLORIANÓPOLIS SHOPPING CENTER']
FMOF11,['EDIFÍCIO MEMORIAL OFFICE']
FPAB11,"['EDIFÍCIO NEW YORK', 'EDIFÍCIO LOS ANGELES']"
FRHY11,[]
FVPQ11,['SHOPPING VIA PARQUE']
FZDA11,[]
FZDB11,[]
GALG11,"['AIR LIQUIDE - CANOAS', 'BRF - PERNAMBUCO', 'BRF - SALVADOR', 'AIR LIQUIDE - SÃO JOSÉ DOS CAMPOS', 'SOUZA CRUZ - CACHOEIRINHA']"
GAME11,[]
GARE11,"['PÃO DE AÇÚCAR - ANGÉLICA', 'PÃO DE AÇÚCAR - VILA LEOPOLDINA', 'PÃO DE AÇÚCAR - SABARÁ', 'PÃO DE AÇÚCAR - ABILIO SOARES', 'PÃO DE AÇÚCAR - SANTO ANDRÉ', 'PÃO DE AÇÚCAR - CAMPINAS', 'PÃO DE AÇÚCAR - PARÓQUIA', 'PÃO DE AÇÚCAR - BÚZIOS', 'PÃO DE AÇÚCAR - BRASÍLIA', 'PÃO DE AÇÚCAR - BRASÍLIA', 'PÃO DE AÇÚCAR - GOIÂNIA', 'MATEUS - MACEIÓ', 'MATEUS - MACEIÓ', 'PÃO DE AÇÚCAR - JACOBINA', 'MATEUS - CONCEIÇÃO DO COITÉ', 'MATEUS - ITABUNA', 'MATEUS - VITÓRIA DA CONQUISTA', 'MATEUS - CAJAZEIRAS', 'MATEUS - SOUSA', 'MATEUS - TIMON', 'AIR LIQUIDE - SÃO JOSÉ DOS CAMPOS', 'AIR LIQUIDE - CANOAS', 'BAT SOUZA CRUZ - CACHOEIRINHA', 'BRF VISA - VITÓRIA DE SANTO ANTÃO', 'ALMANARA - JANDIRA']"
GCFF11,[]
GCOI11,[]
GCRA11,[]
GCRI11,[]
GESE11B,['CASA DAROS']
GGRC11,"['AETHRA', 'COVOLAN', 'HERING ANÁPOLIS', 'AMBEV ITAJAÍ', 'AMBEV PELOTAS', 'MOINHO - CASCAVEL', 'CAMARGO EMBALAGENS', 'MOINHO – SÃO MIGUEL DO IGUAÇU', 'CEPALGO EMBALAGENS FLEXÍVEIS LTDA', 'SUZANO', 'COPOBRÁS IND. E COMÉRCIO DE EMBALAGENS LTDA', 'TODIMO', 'EAGLEBURGMANN', 'AMBEV GUARULHOS', 'BENTELER', 'SANTA CRUZ', 'AMERICANAS UBERLÂNDIA', 'RIZOBACTER', 'GRUPO CB/ASSAI ATACADISTA', 'DAFITI', 'MERCADO LIVRE/TOYOTA']"
GLOG11,['PARQUE LOGÍSTICO']
GRWA11,[]
GSFI11,"['PARQUE SHOPPING BARUERI', 'OUTLET PREMIUM BRASÍLIA', 'PARQUE SHOPPING SULACAP', 'OUTLET PREMIUM GRANDE SÃO PAULO', 'OUTLET PREMIUM RIO DE JANEIRO', 'SHOPPING BONSUCESSO', 'OUTLET PREMIUM SALVADOR', 'UNIMART SHOPPING CAMPINAS', 'OUTLET PREMIUM SÃO PAULO']"
GTLG11,"['DISTRIBUTION CENTER BARUERI', 'DISTRIBUTION CENTER CAJAMAR', 'DISTRIBUTION CENTER RODOANEL', 'CENTRO LOGÍSTICO EMBU']"
GTWR11,['EDIFÍCIO GREEN TOWERS']
GURB11,[]
