,Título,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,Tx Gestão,Tx Admin,Tx Performance,dt_inclusao
282,MGCR11,Papéis,"9,40","259.145,59","0,96","0,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,00 %","0,00 %","0,00 %",N/A,"131.240.792,97","9,78","0,96","1,02 %","-89,08 %","-88,97 %","-88,55 %",0,"14,56",4.360,N/A,N/A,N/A,2024-09-01
283,MGFF11,Fundo de Fundos,"69,99","2.558.695,75","0,95","4,26","0,00 %","0,00 %","0,00 %","3,14 %","0,00 %","0,00 %","0,26 %","0,00 %","0,00 %","0,00 %",N/A,"665.588.549,57","73,54","0,95","0,71 %","2,57 %","3,29 %","-0,09 %",0,"15,03",45.134,N/A,N/A,N/A,2024-09-01
284,MGHT11,Hotéis,"22,30","39.661,95","0,46","0,13","0,42 %","1,67 %","4,75 %","11,28 %","0,56 %","0,79 %","0,94 %","7,06 %","-14,42 %","-14,07 %","-26,93 %","66.752.133,22","50,81","0,44","0,26 %","-40,63 %","-40,48 %","-43,69 %",1,"50,33",5.149,N/A,N/A,N/A,2024-09-01
285,MGLG11,Imóveis Industriais e Logísticos,"40,99","55.314,19","0,55","0,35","0,86 %","2,58 %","4,56 %","11,69 %","0,86 %","0,76 %","0,97 %","0,86 %","-3,60 %","-2,77 %","-2,77 %","116.088.485,68","61,55","0,67","0,57 %","57,54 %","58,43 %","-18,62 %",2,"27,79",3.712,N/A,N/A,N/A,2024-09-01
286,MGRI11,Indefinido,"63,36",N/A,"0,67","1,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"22.309.119,09",N/A,N/A,N/A,N/A,N/A,N/A,1,"12,85",1,N/A,N/A,N/A,2024-09-01
287,MINT11,Educacional,"95,00","1.866,44","0,86","3,36","3,27 %","0,00 %","0,00 %","4,57 %","0,00 %","0,00 %","4,57 %","4,57 %","2,63 %","5,99 %","5,99 %","57.202.384,97",N/A,N/A,N/A,N/A,N/A,N/A,4,"32,87",101,N/A,N/A,N/A,2024-09-01
288,MMPD11,Indefinido,N/A,N/A,N/A,"0,64","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.344.363,26",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,54,N/A,N/A,N/A,2024-09-01
289,MORC11,Papéis,"89,87","1.741.368,33","0,92","3,08","0,00 %","0,00 %","0,00 %","5,84 %","0,00 %","0,00 %","0,49 %","1,03 %","0,00 %","0,00 %",N/A,"186.458.139,85","97,73","0,92","0,34 %","0,11 %","0,45 %","5,63 %",0,"11,74",4.000,N/A,N/A,N/A,2024-09-01
290,MORE11,Fundo de Fundos,"76,21","1.327.577,67","0,88","6,02","0,00 %","0,00 %","0,00 %","2,58 %","0,00 %","0,00 %","0,22 %","0,00 %","0,00 %","0,00 %",N/A,"201.450.458,24","86,87","0,88","0,81 %","4,88 %","5,72 %","2,91 %",0,"15,01",4.213,N/A,N/A,N/A,2024-09-01
291,MXRF11,Papéis,"10,01","12.575.262,10","1,03","0,09","0,90 %","2,91 %","5,88 %","12,04 %","0,97 %","0,98 %","1,00 %","8,91 %","0,50 %","1,40 %","5,39 %","4.264.355.152,38","9,75","1,03","1,03 %","-3,56 %","-2,57 %","3,12 %",3,"7,88",1.142.848,N/A,N/A,N/A,2024-09-01
292,NAVT11,Papéis,"89,98","39.510,11","1,00","1,00","1,17 %","3,48 %","7,58 %","16,60 %","1,16 %","1,26 %","1,38 %","11,79 %","-5,35 %","-4,24 %","17,92 %","54.657.115,06","89,27","1,01","1,12 %","-0,35 %","0,77 %","1,92 %",0,"19,33",2.981,N/A,N/A,N/A,2024-09-01
293,NCHB11,Papéis,"9,30","125.514,96","0,93","0,10","1,08 %","3,29 %","6,92 %","13,13 %","1,10 %","1,15 %","1,09 %","8,99 %","1,10 %","2,19 %","14,69 %","152.267.804,64","9,96","0,93","1,00 %","-88,88 %","-88,77 %","-88,35 %",0,"9,75",11.876,N/A,N/A,N/A,2024-09-01
294,NCRA11,Indefinido,"8,67","54.046,01","0,82","0,10","1,17 %","3,56 %","6,56 %","14,03 %","1,19 %","1,09 %","1,17 %","8,70 %","-0,93 %","0,23 %","-8,33 %","47.113.850,88","10,56","0,82","0,95 %","0,00 %","0,00 %","0,00 %",0,"13,28",9.290,N/A,N/A,N/A,2024-09-01
295,NCRI11,Papéis,"8,90","1.151,46","0,88","0,10","1,16 %","3,40 %","6,41 %","12,28 %","1,13 %","1,07 %","1,02 %","8,62 %","3,12 %","4,32 %","7,82 %","39.990.503,78",N/A,N/A,N/A,N/A,N/A,N/A,0,"35,29",872,N/A,N/A,N/A,2024-09-01
296,NEWL11,Imóveis Industriais e Logísticos,"114,15","360.269,17","0,62","0,95","0,78 %","2,51 %","4,95 %","10,39 %","0,84 %","0,83 %","0,87 %","7,70 %","7,09 %","7,93 %","24,09 %","375.420.051,77","184,65","0,62","0,58 %","53,76 %","54,65 %","76,49 %",3,"13,36",8.669,N/A,N/A,N/A,2024-09-01
