,Título,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,Tx Gestão,Tx Admin,Tx Performance,dt_inclusao
412,SNLG11,Imóveis Industriais e Logísticos,"34,32","23.117,76","0,87","0,36","1,11 %","2,98 %","2,98 %","2,98 %","0,99 %","0,50 %","0,25 %","2,98 %","3,29 %","4,43 %","-2,87 %","65.477.185,63",N/A,N/A,N/A,N/A,N/A,N/A,2,"35,44",3.730,N/A,N/A,N/A,2024-09-01
413,SNME11,Indefinido,"9,65","40.362,25","1,01","0,10","1,04 %","3,20 %","6,53 %","8,94 %","1,07 %","1,09 %","1,12 %","8,94 %","0,95 %","2,00 %","1,08 %","71.157.908,91",N/A,N/A,N/A,N/A,N/A,N/A,0,"31,92",3.284,N/A,N/A,N/A,2024-09-01
414,SOLR11,Imóveis Comerciais - Outros,"1.051,35","4.931.882,00","1,13","4,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"60.005.338,77",N/A,N/A,N/A,N/A,N/A,N/A,1,"659,58",55,N/A,N/A,N/A,2024-09-01
415,SPDE11,Indefinido,"1.237,90","87.890,50","1,16","8,93","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"97.412.051,70",N/A,N/A,N/A,N/A,N/A,N/A,0,"79,50",114,N/A,N/A,N/A,2024-09-01
416,SPMO11,Indefinido,"144,00","335.334,00","1,04","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"250.558.449,31",N/A,N/A,N/A,N/A,N/A,N/A,0,"78,76",13,N/A,N/A,N/A,2024-09-01
417,SPTW11,Lajes Corporativas,"40,11","74.403,21","0,70","0,40","1,00 %","3,02 %","6,01 %","13,03 %","1,01 %","1,00 %","1,09 %","9,62 %","-0,54 %","0,45 %","9,06 %","103.214.406,85","57,41","0,70","0,73 %","3,00 %","3,75 %","19,13 %",1,"13,44",22.786,N/A,N/A,N/A,2024-09-01
418,SPVJ11,Shoppings,N/A,N/A,N/A,"0,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"705.919.069,23","111,84",N/A,"0,53 %","-3,79 %","-3,27 %","12,40 %",14,N/A,25,N/A,N/A,N/A,2024-09-01
419,SPXS11,Indefinido,"9,31","422.533,72","0,97","0,10","1,07 %","3,15 %","6,24 %","12,75 %","1,05 %","1,04 %","1,06 %","8,25 %","-0,43 %","0,63 %","15,44 %","192.025.573,58",N/A,N/A,N/A,N/A,N/A,N/A,0,"14,39",18.571,N/A,N/A,N/A,2024-09-01
420,SRVD11,Indefinido,"3,00","233,91","583,00","0,20","2,29 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,30 %","-9,79 %","-7,73 %","-7,73 %","-1.046.744,78","1,19","2,53","16,87 %","-0,11 %","16,74 %","25,64 %",0,"375,98",108,N/A,N/A,N/A,2024-09-01
421,STRX11,Fundo de Desenvolvimento,"162,00","1.120,00","1,10","0,81","0,00 %","0,00 %","0,00 %","0,47 %","0,00 %","0,00 %","0,47 %","0,47 %","0,00 %","0,00 %",N/A,"237.425.443,65","147,14","1,10","0,55 %","-0,80 %","-0,25 %","11,84 %",3,"5,25",61,N/A,N/A,N/A,2024-09-01
422,TCPF11,Misto,"39,53",N/A,"0,36","1,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"32.537.853,78",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,52,N/A,N/A,N/A,2024-09-01
423,TEPP11,Lajes Corporativas,"88,61","368.173,96","0,91","0,78","0,88 %","3,08 %","6,55 %","11,07 %","1,03 %","1,09 %","0,92 %","8,98 %","-0,37 %","0,51 %","7,31 %","413.345.739,34","97,90","0,91","1,21 %","2,28 %","3,51 %","15,53 %",5,"11,63",29.273,N/A,N/A,N/A,2024-09-01
424,TGAR11,Fundo de Desenvolvimento,"118,00","3.649.491,58","1,03","1,12","0,94 %","3,10 %","6,38 %","13,31 %","1,03 %","1,06 %","1,11 %","9,70 %","0,89 %","1,84 %","11,80 %","2.703.058.107,89","114,69","1,03","1,16 %","-10,24 %","-9,20 %","1,24 %",9,"10,18",178.051,N/A,N/A,N/A,2024-09-01
425,TJKB11,Indefinido,"283,00","5.871,46","1,04","2,36","0,00 %","0,00 %","0,86 %","1,83 %","0,00 %","0,86 %","0,15 %","0,86 %","0,00 %","0,00 %",N/A,"208.160.526,98",N/A,N/A,N/A,N/A,N/A,N/A,7,"277,97",110,N/A,N/A,N/A,2024-09-01
426,TMPS11,Fundo de Fundos,"93,80","130.725,75","0,93","0,82","0,88 %","3,14 %","6,18 %","12,19 %","1,05 %","1,03 %","1,02 %","9,34 %","-1,92 %","-1,06 %","12,48 %","98.483.834,78",N/A,N/A,N/A,N/A,N/A,N/A,0,"16,22",1.985,N/A,N/A,N/A,2024-09-01
427,TORD11,Misto,"1,18","32.333,82","0,09","0,05","0,90 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,44 %","-24,53 %","-23,85 %","-24,46 %","446.752.947,38","13,94","0,08","0,36 %","8,23 %","8,62 %","12,48 %",1,"31,67",79.064,N/A,N/A,N/A,2024-09-01
428,TRBL11,Imóveis Industriais e Logísticos,"96,60","214.434,58","0,96","0,85","0,88 %","2,62 %","5,21 %","9,97 %","0,87 %","0,87 %","0,83 %","7,71 %","-1,52 %","-0,65 %","9,61 %","777.430.112,19",N/A,N/A,N/A,N/A,N/A,N/A,5,"11,64",59.817,N/A,N/A,N/A,2024-09-01
429,TRNT11,Lajes Corporativas,"100,01","13.820,10","0,53","0,07","0,06 %","0,06 %","0,53 %","1,40 %","0,06 %","0,53 %","0,12 %","0,71 %","0,00 %","0,00 %",N/A,"792.133.728,99","197,64","0,51","0,04 %","0,38 %","0,42 %","-0,87 %",1,"45,31",625,N/A,N/A,N/A,2024-09-01
430,TRXB11,Fundo de Desenvolvimento,"145,29","2.658,35","1,36","1,00","0,71 %","2,02 %","4,09 %","8,48 %","0,67 %","0,68 %","0,71 %","6,12 %","2,09 %","2,81 %","5,47 %","359.401.470,33",N/A,N/A,N/A,N/A,N/A,N/A,15,"68,68",271,N/A,N/A,N/A,2024-09-01
431,TRXF11,Imóveis Comerciais - Outros,"105,34","4.364.374,21","0,99","0,93","0,88 %","2,79 %","5,31 %","11,04 %","0,93 %","0,89 %","0,92 %","8,51 %","0,07 %","0,95 %","8,29 %","2.123.489.241,89","105,99","0,99","0,99 %","0,51 %","1,51 %","17,79 %",31,"6,14",176.363,N/A,N/A,N/A,2024-09-01
432,TSER11,Lajes Corporativas,"98,18","64.000,00","0,99","0,90","0,91 %","0,91 %","0,91 %","3,73 %","0,91 %","0,91 %","0,31 %","1,88 %","0,00 %","0,00 %",N/A,"127.834.024,65",N/A,N/A,N/A,N/A,N/A,N/A,1,"354,88",28,N/A,N/A,N/A,2024-09-01
433,TVRI11,Agências de Bancos,"102,60","1.019.820,79","1,01","0,98","0,96 %","2,89 %","5,75 %","11,55 %","0,96 %","0,96 %","0,96 %","8,62 %","1,55 %","2,53 %","21,90 %","1.617.767.163,16",N/A,N/A,N/A,N/A,N/A,N/A,62,"14,53",67.235,N/A,N/A,N/A,2024-09-01
434,URHF11,Outros,"110,00","8.305,00","1,11","1,30","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","0,00 %","0,00 %",N/A,"10.986.836,69",N/A,N/A,N/A,N/A,N/A,N/A,0,"375,36",49,N/A,N/A,N/A,2024-09-01
435,URPR11,Papéis,"81,32","1.663.453,97","0,80","1,00","1,22 %","3,74 %","7,49 %","15,35 %","1,25 %","1,25 %","1,28 %","11,36 %","1,14 %","2,37 %","11,80 %","1.193.407.508,18","101,71","0,80","1,01 %","2,93 %","3,98 %","28,71 %",0,"11,66",83.615,N/A,N/A,N/A,2024-09-01
436,VANG11,Indefinido,"101,32","806.279,80",N/A,"1,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,06",0,N/A,N/A,N/A,2024-09-01
437,VCJR11,Papéis,"91,70","589.129,63","0,96","0,80","0,87 %","2,98 %","6,30 %","12,01 %","0,99 %","1,05 %","1,00 %","9,41 %","1,39 %","2,28 %","15,61 %","1.404.205.018,22","95,37","0,96","0,94 %","1,19 %","2,14 %","15,19 %",0,"11,77",33.805,N/A,N/A,N/A,2024-09-01
438,VCRA11,Indefinido,"77,65","720.681,77","0,76","1,00","1,25 %","3,99 %","8,47 %","16,15 %","1,33 %","1,41 %","1,35 %","12,49 %","5,44 %","6,75 %","5,81 %","479.733.552,19","104,43","0,74","0,96 %","2,00 %","2,97 %","4,48 %",0,"24,93",11.453,N/A,N/A,N/A,2024-09-01
439,VCRI11,Papéis,"8,40","103.174,67","0,88","0,09","1,07 %","3,44 %","7,21 %","13,22 %","1,15 %","1,20 %","1,10 %","10,32 %","-0,94 %","0,12 %","20,06 %","169.867.649,62","9,56","0,88","1,10 %","1,16 %","2,28 %","4,09 %",0,"8,77",11.595,N/A,N/A,N/A,2024-09-01
440,VCRR11,Imóveis Residenciais,"69,11","281.233,12","0,53","0,60","0,86 %","2,71 %","5,79 %","11,96 %","0,90 %","0,97 %","1,00 %","8,94 %","3,90 %","4,79 %","14,34 %","261.179.711,75","130,59","0,53","0,46 %","1,83 %","2,30 %","17,20 %",0,"17,07",4.252,N/A,N/A,N/A,2024-09-01
441,VGHF11,Misto,"8,83","1.707.337,99","0,98","0,09","1,01 %","3,08 %","6,03 %","12,66 %","1,03 %","1,01 %","1,06 %","9,29 %","2,30 %","3,33 %","8,22 %","1.483.749.652,81","9,01","0,98","1,00 %","-1,64 %","-0,66 %","12,09 %",0,"10,94",405.904,N/A,N/A,N/A,2024-09-01
442,VGIA11,Indefinido,"9,02","1.446.998,26","0,94","0,13","1,61 %","4,22 %","8,28 %","15,77 %","1,41 %","1,38 %","1,31 %","10,73 %","2,93 %","4,59 %","7,65 %","830.301.113,35","9,60","0,94","1,04 %","0,75 %","1,80 %","10,09 %",0,"15,87",165.341,N/A,N/A,N/A,2024-09-01
443,VGIP11,Papéis,"87,99","1.388.095,61","0,96","0,88","0,99 %","2,88 %","5,98 %","11,15 %","0,96 %","1,00 %","0,93 %","7,75 %","-0,06 %","0,93 %","15,46 %","1.079.386.211,20","91,57","0,96","1,04 %","1,25 %","2,30 %","11,20 %",0,"13,92",89.991,N/A,N/A,N/A,2024-09-01
444,VGIR11,Papéis,"10,10","2.292.678,18","1,04","0,10","1,03 %","3,20 %","6,57 %","13,93 %","1,07 %","1,10 %","1,16 %","8,89 %","-0,41 %","0,62 %","12,35 %","1.115.071.439,08","9,74","1,04","1,03 %","1,04 %","2,07 %","-88,76 %",0,"9,47",252.065,N/A,N/A,N/A,2024-09-01
445,VGRI11,Misto,"8,89","179.168,81","0,92","0,15","1,66 %","4,88 %","9,60 %","9,60 %","1,63 %","1,60 %","1,60 %","9,60 %","-0,88 %","0,77 %","2,95 %","325.085.099,08",N/A,N/A,N/A,N/A,N/A,N/A,5,"27,59",2.378,N/A,N/A,N/A,2024-09-01
446,VIDS11,Fundo de Desenvolvimento,"915,64",N/A,"1,04","2,85","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"80.982.830,34",N/A,N/A,N/A,N/A,N/A,N/A,0,"2,32",199,N/A,N/A,N/A,2024-09-01
447,VIFI11,Fundo de Fundos,"7,99","96.084,17","0,90","0,07","0,88 %","2,71 %","5,52 %","10,86 %","0,90 %","0,92 %","0,91 %","8,22 %","0,63 %","1,51 %","10,46 %","72.252.826,98","8,93","0,89","0,84 %","0,90 %","1,75 %","-68,88 %",0,"9,61",6.057,N/A,N/A,N/A,2024-09-01
448,VIGT11,Indefinido,"64,21","431.327,66",N/A,"2,25","3,33 %","3,33 %","6,40 %","12,57 %","1,11 %","1,07 %","1,14 %","6,40 %","-7,65 %","-4,58 %","-5,97 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"14,86",0,N/A,N/A,N/A,2024-09-01
449,VILG11,Imóveis Industriais e Logísticos,"86,01","905.300,95","0,75","0,64","0,73 %","2,28 %","4,27 %","8,24 %","0,76 %","0,71 %","0,69 %","6,21 %","0,48 %","1,22 %","-2,20 %","1.705.538.293,94","113,72","0,76","0,57 %","1,29 %","1,87 %","8,17 %",14,"17,43",158.795,N/A,N/A,N/A,2024-09-01
450,VINO11,Lajes Corporativas,"5,94","630.551,07","0,55","0,05","0,82 %","2,56 %","5,01 %","9,60 %","0,85 %","0,84 %","0,80 %","7,29 %","0,50 %","1,32 %","-12,48 %","889.325.525,38","10,74","0,55","0,56 %","-80,38 %","-80,27 %","-79,10 %",10,"23,72",154.023,N/A,N/A,N/A,2024-09-01
451,VISC11,Shoppings,"111,20","3.184.552,79","0,88","0,83","0,74 %","2,25 %","4,77 %","9,81 %","0,75 %","0,80 %","0,82 %","7,29 %","0,62 %","1,36 %","3,45 %","3.662.540.079,24","127,05","0,88","0,67 %","2,60 %","3,29 %","18,68 %",29,"11,39",352.359,N/A,N/A,N/A,2024-09-01
452,VIUR11,Misto,"6,45","94.680,61","0,73","0,07","1,04 %","3,11 %","6,04 %","11,59 %","1,04 %","1,01 %","0,97 %","8,81 %","-0,92 %","0,11 %","-9,41 %","238.215.497,65","8,84","0,73","0,76 %","-3,91 %","-3,18 %","-89,91 %",8,"15,55",50.336,N/A,N/A,N/A,2024-09-01
453,VJFD11,Papéis,"137,07",N/A,"0,88","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"759.281.246,41","155,71","0,88","0,47 %","14,43 %","14,97 %","21,60 %",39,N/A,97,N/A,N/A,N/A,2024-09-01
454,VLIQ11,Indefinido,N/A,N/A,N/A,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,2024-09-01
455,VLOL11,Lajes Corporativas,"98,00","160.238,13","0,88","16,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,99 %","0,00 %","0,00 %",N/A,"198.219.080,15","111,06","0,88","0,55 %","-0,14 %","0,40 %","14,11 %",1,"9,89",3.127,N/A,N/A,N/A,2024-09-01
456,VOTS11,Papéis,"79,99","5.509,58","0,79","0,46","0,56 %","2,62 %","5,87 %","11,56 %","0,87 %","0,98 %","0,96 %","9,30 %","-1,54 %","-0,99 %","11,99 %","76.604.666,60","92,53","0,86","0,92 %","-0,81 %","0,10 %","9,09 %",0,"23,64",716,N/A,N/A,N/A,2024-09-01
457,VRTA11,Papéis,"88,20","1.124.154,68","0,97","0,80","0,90 %","2,96 %","6,10 %","11,34 %","0,99 %","1,02 %","0,95 %","8,90 %","0,52 %","1,43 %","12,46 %","1.423.667.770,78","91,31","0,97","0,99 %","0,15 %","1,14 %","10,30 %",0,"9,10",121.649,N/A,N/A,N/A,2024-09-01
458,VRTM11,Misto,"8,45","394.128,86","0,90","0,09","1,03 %","2,81 %","5,60 %","8,37 %","0,94 %","0,93 %","0,93 %","8,06 %","-19,50 %","-18,67 %","-3,99 %","368.554.204,55",N/A,N/A,N/A,N/A,N/A,N/A,0,"53,02",481,N/A,N/A,N/A,2024-09-01
459,VSEC11,Papéis,"0,21","2,50","0,07","2,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","138,00 %","0,00 %","0,00 %",N/A,"182.284,39",N/A,N/A,N/A,N/A,N/A,N/A,0,"904,16",64,N/A,N/A,N/A,2024-09-01
460,VSHO11,Shoppings,"73,68","52.275,21","0,71","0,71","0,96 %","2,54 %","4,85 %","10,44 %","0,85 %","0,81 %","0,87 %","7,48 %","4,06 %","5,05 %","1,08 %","217.903.422,83","103,82","0,71","0,53 %","4,48 %","5,03 %","9,89 %",3,"12,60",3.672,N/A,N/A,N/A,2024-09-01
461,VSLH11,Papéis,"3,61","160.987,50","0,34","0,04","1,19 %","3,62 %","7,03 %","13,07 %","1,21 %","1,17 %","1,09 %","9,05 %","5,33 %","6,58 %","-7,40 %","315.386.871,36","10,56","0,34","0,38 %","1,64 %","2,02 %","21,47 %",0,"31,06",80.311,N/A,N/A,N/A,2024-09-01
462,VTLT11,Imóveis Industriais e Logísticos,"94,74","88.803,50","0,84","0,93","0,99 %","3,00 %","5,96 %","11,68 %","1,00 %","0,99 %","0,97 %","8,87 %","0,16 %","1,15 %","10,57 %","238.673.380,50","112,85","0,84","0,82 %","12,03 %","12,96 %","21,33 %",1,"11,05",6.202,N/A,N/A,N/A,2024-09-01
463,VTPL11,Papéis,"72,10","1.273,17","1,00","5,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"99.843.684,85",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,124,N/A,N/A,N/A,2024-09-01
464,VVCO11,Lajes Corporativas,"12,93","32.565,13","0,92","11,16","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"140.826.471,41",N/A,N/A,N/A,N/A,N/A,N/A,4,"12,73",3.247,N/A,N/A,N/A,2024-09-01
465,VVCR11,Papéis,"9,95","243.430,33","0,93","0,08","0,81 %","2,56 %","5,01 %","12,23 %","0,85 %","0,84 %","1,02 %","8,64 %","0,82 %","1,63 %","16,25 %","80.025.355,96",N/A,N/A,N/A,N/A,N/A,N/A,0,"30,41",2.578,N/A,N/A,N/A,2024-09-01
466,VVMR11,Lajes Corporativas,"89,99","273.971,71","0,80","0,05","0,06 %","5,39 %","5,97 %","9,18 %","1,80 %","1,00 %","0,77 %","7,80 %","0,29 %","0,35 %","-0,83 %","312.629.697,20",N/A,N/A,N/A,N/A,N/A,N/A,5,"74,83",818,N/A,N/A,N/A,2024-09-01
467,VVPR11,Misto,"101,50","1.249.061,55","1,04","0,89","0,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,45 %","0,40 %","1,30 %","14,44 %","226.032.234,18","98,03","1,04","0,74 %","-0,10 %","0,64 %","0,09 %",6,"3,43",1.372,N/A,N/A,N/A,2024-09-01
468,VVRI11,Indefinido,"100,45","83.233,64","0,99","0,75","0,00 %","2,33 %","4,29 %","12,46 %","0,78 %","0,72 %","1,04 %","7,06 %","0,00 %","0,00 %",N/A,"81.054.823,82",N/A,N/A,N/A,N/A,N/A,N/A,2,"38,45",190,N/A,N/A,N/A,2024-09-01
469,VXXV11,Fundo de Desenvolvimento,"673,00","421.298,00","1,02","273,35","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"177.472.065,02",N/A,N/A,N/A,N/A,N/A,N/A,2,"72,37",21,N/A,N/A,N/A,2024-09-01
470,WPLZ11,Shoppings,"60,50","4.649,71","0,68","0,36","0,60 %","1,85 %","3,85 %","7,85 %","0,62 %","0,64 %","0,65 %","5,81 %","-3,69 %","-3,12 %","7,59 %","94.348.373,45","88,63","0,68","0,46 %","0,95 %","1,41 %","-8,88 %",1,"35,84",1.814,N/A,N/A,N/A,2024-09-01
471,WSEC11,Indefinido,"8,74","32.925,75","0,09","0,75","8,53 %","33,39 %","63,86 %","137,91 %","11,13 %","10,64 %","11,49 %","97,12 %","1,15 %","9,78 %","166,53 %","24.904.111,38",N/A,N/A,N/A,N/A,N/A,N/A,0,"8,43",504,N/A,N/A,N/A,2024-09-01
472,WTSP11B,Misto,"36,00","3.852,00","0,45","0,39","0,00 %","0,00 %","0,00 %","0,55 %","0,00 %","0,00 %","0,55 %","0,00 %","0,00 %","0,00 %",N/A,"79.315.053,82","79,91","0,45","0,51 %","10,25 %","10,81 %","7,70 %",2,"11,59",210,N/A,N/A,N/A,2024-09-01
473,XPCA11,Indefinido,"8,69","811.822,15","0,92","0,10","1,13 %","3,67 %","7,25 %","14,47 %","1,22 %","1,21 %","1,21 %","10,88 %","11,36 %","12,62 %","9,56 %","431.616.109,23","9,48","0,92","0,95 %","-0,11 %","0,83 %","13,41 %",0,"11,91",104.695,N/A,N/A,N/A,2024-09-01
474,XPCI11,Papéis,"87,04","1.078.523,18","0,96","0,80","0,92 %","3,13 %","6,20 %","12,37 %","1,04 %","1,03 %","1,03 %","9,18 %","2,62 %","3,56 %","14,57 %","786.616.938,24","90,40","0,96","1,11 %","-1,56 %","-0,47 %","8,33 %",0,"11,80",79.595,N/A,N/A,N/A,2024-09-01
475,XPCM11,Lajes Corporativas,"7,63","11.067,93","0,26","0,02","0,20 %","0,00 %","0,00 %","2,13 %","0,00 %","0,00 %","0,18 %","0,20 %","-1,54 %","-1,34 %","-1,34 %","69.947.257,53","29,04","0,26","0,07 %","-34,13 %","-34,09 %","-44,99 %",1,"21,75",20.714,N/A,N/A,N/A,2024-09-01
476,XPHT11,Hotéis,"123,00","230.869,59","0,66","0,32","0,78 %","2,42 %","4,30 %","9,45 %","0,81 %","0,72 %","0,79 %","6,59 %","4,91 %","5,73 %","-1,00 %","582.231.275,84","63,16","1,95","0,49 %","-32,97 %","-32,64 %","-26,77 %",12,"29,85",1.039,N/A,N/A,N/A,2024-09-01
477,XPID11,Indefinido,"69,07","223.956,73",N/A,"0,70","1,02 %","3,12 %","6,63 %","11,94 %","1,04 %","1,11 %","1,00 %","10,51 %","0,16 %","1,18 %","-9,02 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,28",0,N/A,N/A,N/A,2024-09-01
478,XPIE11,Indefinido,"75,61","913.060,84",N/A,"1,00","1,32 %","2,63 %","6,49 %","10,82 %","0,88 %","1,08 %","0,90 %","14,54 %","-0,94 %","0,36 %","14,13 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,87",0,N/A,N/A,N/A,2024-09-01
479,XPIN11,Imóveis Industriais e Logísticos,"78,55","203.695,63","0,75","0,62","0,80 %","2,47 %","4,87 %","9,52 %","0,82 %","0,81 %","0,79 %","6,37 %","1,67 %","2,49 %","4,46 %","752.444.096,95","105,23","0,75","0,59 %","1,29 %","1,89 %","3,37 %",96,"14,14",48.147,N/A,N/A,N/A,2024-09-01
480,XPLG11,Imóveis Industriais e Logísticos,"102,29","1.842.916,98","0,90","0,78","0,76 %","2,32 %","4,56 %","8,90 %","0,77 %","0,76 %","0,74 %","6,73 %","0,11 %","0,87 %","4,26 %","3.344.207.851,20","112,93","0,91","0,69 %","-0,87 %","-0,18 %","11,43 %",17,"10,80",349.550,N/A,N/A,N/A,2024-09-01
481,XPML11,Shoppings,"112,09","7.501.623,39","0,94","0,92","0,82 %","2,50 %","4,88 %","9,61 %","0,83 %","0,81 %","0,80 %","6,47 %","0,42 %","1,24 %","9,13 %","6.621.513.685,84","110,83","1,01","0,83 %","9,80 %","10,71 %","18,64 %",20,"11,50",527.538,N/A,N/A,N/A,2024-09-01
482,XPPR11,Lajes Corporativas,"18,15","169.975,33","0,28","0,07","0,38 %","1,14 %","2,16 %","4,75 %","0,38 %","0,36 %","0,40 %","3,22 %","-4,76 %","-4,40 %","4,29 %","465.905.746,48","63,68","0,29","0,11 %","-14,37 %","-14,28 %","-17,52 %",2,"27,95",48.096,N/A,N/A,N/A,2024-09-01
483,XPSF11,Fundo de Fundos,"7,50","182.868,42","0,90","0,07","0,94 %","2,78 %","5,59 %","11,20 %","0,93 %","0,93 %","0,93 %","8,33 %","-0,27 %","0,67 %","5,82 %","360.707.403,33","8,33","0,90","0,84 %","-0,24 %","0,60 %","-89,48 %",0,"11,99",62.648,N/A,N/A,N/A,2024-09-01
484,XTED11,Lajes Corporativas,"8,82","17.641,88","0,68","11,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %","-0,36 %","-3,45 %",1,"29,46",4.098,N/A,N/A,N/A,2024-09-01
485,YUFI11,Fundo de Desenvolvimento,"89,15","89,00","0,85","0,39","0,00 %","0,00 %","0,33 %","0,33 %","0,00 %","0,33 %","0,33 %","1,10 %","0,00 %","0,00 %",N/A,"51.826.438,67",N/A,N/A,N/A,N/A,N/A,N/A,40,"266,58",58,N/A,N/A,N/A,2024-09-01
486,YUFI11B,Indefinido,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %","0,59 %","6,32 %",0,N/A,0,N/A,N/A,N/A,2024-09-01
487,ZAGH11,Serviços Financeiros Diversos,"11,98","454,96","1,23","0,05","0,42 %","1,35 %","1,83 %","1,83 %","0,45 %","0,46 %","0,46 %","1,83 %","1,36 %","1,78 %","1,78 %","45.386.278,22",N/A,N/A,N/A,N/A,N/A,N/A,0,"27,84",240,N/A,N/A,N/A,2024-09-01
488,ZAVC11,Indefinido,"10,08","89,93","1,01","0,12","1,19 %","3,47 %","4,40 %","4,40 %","1,16 %","1,47 %","1,47 %","4,40 %","4,24 %","5,48 %","7,45 %","30.928.405,06",N/A,N/A,N/A,N/A,N/A,N/A,0,"21,86",122,N/A,N/A,N/A,2024-09-01
489,ZAVI11,Indefinido,"108,05","181.335,63","0,88","1,15","0,96 %","3,03 %","6,01 %","11,93 %","1,01 %","1,00 %","0,99 %","9,09 %","20,03 %","21,18 %","6,39 %","154.997.735,34",N/A,N/A,N/A,N/A,N/A,N/A,10,"35,37",4.300,N/A,N/A,N/A,2024-09-01
490,ZIFI11,Fundo de Desenvolvimento,"607,99","17.134,20","0,34","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"84.460.083,15",N/A,N/A,N/A,N/A,N/A,N/A,0,"81,28",100,N/A,N/A,N/A,2024-09-01
