Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-28,PORD11,Títulos e Val. Mob.,"100,51",1898.0,"R$ 0,0000","0,0000%","3,1767%","3,1767%","8,4519%","1,0589%","0,5295%","0,7043%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 105.079.905,3200","R$ 105,0799","0,9565",,,,,N/A,N/A,0
2018-04-28,RBDS11,Residencial,"409,00",77.0,"R$ 6,5135","1,6043%","3,9154%","9,7019%","13,0410%","1,3051%","1,6170%","1,0867%","3,9154%","2,0152%","3,6518%","5,5224%","R$ 68.970.984,6800","R$ 545,1261","0,7503","1,1949%","2,7391%","3,9667%","3,0845%",N/A,N/A,0
2018-04-28,RBGS11,Shoppings,"58,11",1308.0,"R$ 0,1496","0,2647%","1,7533%","2,5274%","4,6571%","0,5844%","0,4212%","0,3881%","1,7533%","18,2256%","18,5386%","24,0472%","R$ 107.406.708,2700","R$ 99,6352","0,5832","0,1501%","0,3913%","0,5420%","1,2839%","12,8000%",N/A,1
2018-04-28,FIIP11B,Logística,"206,00",469.0,"R$ 1,2896","0,6369%","3,1203%","5,0935%","9,0711%","1,0401%","0,8489%","0,7559%","3,1203%","-1,2195%","-0,5904%","2,0393%","R$ 164.423.297,7700","R$ 177,3404","1,1616","0,7272%","0,1321%","0,8602%","2,4726%",N/A,N/A,7
2018-04-28,RBRD11,Híbrido,"86,65",894.0,"R$ 0,4275","0,4750%","1,6481%","6,4851%","10,2086%","0,5494%","1,0809%","0,8507%","1,6481%","4,6512%","5,1483%","10,9659%","R$ 138.544.780,4300","R$ 74,8168","1,1582","0,5714%","0,3458%","0,9191%","2,6232%","0,0000%",N/A,4
2018-04-28,RDES11,Lajes Corporativas,"69,30",308.0,"R$ 0,2194","0,3143%","0,9880%","2,1934%","4,6479%","0,3293%","0,3656%","0,3873%","0,9880%","-0,2857%","0,0277%","5,1804%","R$ 67.304.070,0300","R$ 90,7063","0,7640","0,2419%","0,2617%","0,5042%","1,2187%","50,5300%",N/A,4
2018-04-28,RBCB11,Outros,"500,00",12.0,"R$ 2,8000","0,5490%","1,3827%","3,2779%","9,6768%","0,4609%","0,5463%","0,8064%","1,3827%","-9,7329%","-9,2373%","-19,0792%","R$ 10.943.535,5000","R$ 206,0929","2,4261","1,3586%","-5,6205%","-4,3383%","-7,7166%",N/A,N/A,0
2018-04-28,RBVO11,,"60,50",426.0,"R$ 0,3500","0,5645%","1,6859%","5,2194%","8,2472%","0,5620%","0,8699%","0,6873%","1,6859%","-0,5135%","0,0481%","0,8818%","R$ 30.797.478,2900","R$ 59,7054","1,0133","0,5862%","0,6668%","1,2569%","2,5406%",N/A,N/A,0
2018-04-28,SAAG11,Outros,"134,00",6823.0,"R$ 0,8500","0,6184%","1,9109%","3,8219%","7,7627%","0,6370%","0,6370%","0,6469%","1,9109%","2,6129%","3,2475%","8,4313%","R$ 494.828.744,6200","R$ 87,8678","1,5250","0,9674%","0,0197%","0,9872%","2,9722%",N/A,N/A,28
2018-04-28,SDIL11,Logística,"97,35",2376.0,"R$ 0,6200","0,6048%","1,8263%","3,7193%","7,5869%","0,6088%","0,6199%","0,6322%","1,8263%","-1,4327%","-0,8365%","5,2885%","R$ 134.118.858,7600","R$ 93,2123","1,0444","0,6651%","0,0259%","0,6913%","2,0412%","14,2000%","13,0000%",1
