Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-16,FLRP11,"1.229,90",0.0,"R$ 7,0770","0,5662%","2,0381%","3,2488%","6,3127%","0,6794%","0,5415%","0,5261%","1,5202%","6,8376%","7,4425%","8,4675%","R$ 72.840.548,5900","R$ 1.411,5291","0,8713",,,,,"2,0800%",N/A,1
2018-04-16,FEXC11,"108,50",0.0,"R$ 0,7500","0,6893%","2,3565%","4,3411%","6,6486%","0,7855%","0,7235%","0,5541%","2,3565%","2,6509%","3,3585%","7,1099%","R$ 147.036.236,1700","R$ 100,6215","1,0783","0,7454%","-0,6821%","0,0582%","2,1723%",N/A,N/A,0
2018-04-16,EDGA11,"47,25",0.0,"R$ 0,0929","0,1936%","0,7730%","1,2742%","2,9201%","0,2577%","0,2124%","0,2433%","0,4403%","-1,0515%","-0,8600%","-0,6154%","R$ 310.213.203,7100","R$ 81,3769","0,5806",,,,,"33,0000%",N/A,1
2018-04-16,NSLU11,"282,00",0.0,"R$ 1,5684","0,5726%","1,7503%","3,7194%","7,6572%","0,5834%","0,6199%","0,6381%","1,1643%","3,5578%","4,1508%","4,7670%","R$ 236.157.157,2500","R$ 206,2868","1,3670",,,,,"0,0000%",N/A,1
2018-04-16,HTMX11,"145,23",0.0,"R$ 0,4254","0,3037%","1,0839%","2,9204%","6,4260%","0,3613%","0,4867%","0,5355%","1,0839%","1,4855%","1,7937%","8,0711%","R$ 150.300.574,4000","R$ 134,3217","1,0812","0,3167%","0,0456%","0,3624%","1,0324%","42,0000%",N/A,24
2018-04-16,MAXR11,"2.035,00",0.0,"R$ 8,0658","0,3936%","3,1275%","4,4038%","8,2858%","1,0425%","0,7340%","0,6905%","0,7793%","2,3477%","2,7505%","3,1468%","R$ 109.453.626,8400","R$ 1.847,4745","1,1015",,,,,"0,0000%",N/A,8
2018-04-16,JRDM11,"80,80",0.0,"R$ 0,2847","0,3472%","1,6976%","2,9363%","6,2582%","0,5659%","0,4894%","0,5215%","0,7704%","0,6135%","0,9628%","1,3901%","R$ 188.414.960,5000","R$ 84,7548","0,9533",,,,,"0,1200%",N/A,1
2018-04-16,ALMI11,"1.830,00",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0207%","0,0000%","0,0000%","0,0017%","0,0000%","7,0101%","7,0101%","7,0101%","R$ 212.334.783,6100","R$ 2.028,0304","0,9024",,,,,"82,0000%",N/A,1
2018-04-16,TRNT11,"182,00",0.0,"R$ 0,3555","0,1953%","0,6054%","1,2885%","3,0812%","0,2018%","0,2147%","0,2568%","0,6054%","0,0000%","0,1953%","2,8616%","R$ 733.438.804,5300","R$ 186,3619","0,9766","0,1908%","0,2630%","0,4542%","0,9289%","28,1000%",N/A,1
2018-04-16,FVBI11,"106,25",0.0,"R$ 0,3778","0,3581%","1,1081%","2,2119%","4,7067%","0,3694%","0,3687%","0,3922%","0,7535%","2,9268%","3,2954%","3,7039%","R$ 201.904.471,5500","R$ 93,9091","1,1314",,,,,"12,4000%",N/A,1
2018-04-16,FCFL11,"2.245,00",66.0,"R$ 10,5957","0,4794%","1,4414%","3,0234%","6,5036%","0,4805%","0,5039%","0,5420%","0,9562%","-1,6462%","-1,1746%","-0,7035%","R$ 261.652.426,0000","R$ 1.566,7810","1,4329",,,,,"0,0000%",N/A,1
2018-04-16,THRA11,"116,03",2458.0,"R$ 0,4071","0,3502%","1,0933%","2,3205%","4,7763%","0,3644%","0,3868%","0,3980%","1,0933%","2,8761%","3,2364%","4,0049%","R$ 134.584.400,6600","R$ 91,3844","1,2697","0,4455%","0,4233%","0,8706%","8,3537%","0,0000%",N/A,1
2018-04-16,CEOC11,"92,80",1394.0,"R$ 0,5891","0,6566%","1,8322%","3,5650%","3,7768%","0,6107%","0,5942%","0,3147%","1,8322%","-0,5211%","0,1321%","1,5379%","R$ 150.522.189,4800","R$ 82,9005","1,1194","0,7107%","-1,2047%","-0,5027%","4,4977%","0,0000%",N/A,1
2018-04-16,GGRC11,"132,00",25368.0,"R$ 0,7600","0,5752%","1,6755%","3,6980%","0,0000%","0,5585%","0,6163%","0,0000%","1,6755%","2,2680%","2,8563%","1,2405%","R$ 435.095.891,4500","R$ 113,1228","1,1669","0,6542%","2,2935%","2,9627%","3,6144%","0,0000%","0,0000%",5
2018-04-16,OUJP11,"106,20",1101.0,"R$ 0,6667","0,6380%","1,9768%","4,1324%","8,0869%","0,6589%","0,6887%","0,6739%","1,9768%","1,4662%","2,1135%","0,3572%","R$ 73.059.385,6300","R$ 101,4714","1,0466","0,6570%","0,0451%","0,7024%","2,1037%",N/A,N/A,0
2018-04-16,HCRI11,"367,99",0.0,"R$ 2,2751","0,6182%","1,9834%","3,8701%","8,3203%","0,6611%","0,6450%","0,6934%","1,9834%","5,5925%","6,2454%","14,6767%","R$ 62.908.591,5800","R$ 314,5430","1,1699","0,7233%","-0,0053%","0,7180%","2,1949%","0,0000%",N/A,1
2018-04-16,RBRF11,"101,74",2417.0,"R$ 0,8000","0,8000%","2,1437%","3,0951%","0,0000%","0,7146%","0,5158%","0,0000%","2,1437%","3,0928%","3,9175%","5,8642%","R$ 82.640.923,9000","R$ 102,0268","0,9972","0,7841%","3,3357%","4,1460%","5,1404%",N/A,N/A,0
2018-04-16,VISC11,"110,00",15911.0,"R$ 0,6100","0,5679%","1,6694%","0,0000%","0,0000%","0,5565%","0,0000%","0,0000%","1,6694%","-3,6592%","-3,1121%","-0,7242%","R$ 315.621.773,5700","R$ 98,1706","1,1205","0,6214%","-0,2588%","0,3610%","0,9830%","4,9000%",N/A,7
2018-04-16,XPML11,"102,50",0.0,"R$ 0,4951","0,4771%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,9681%","-0,5749%","-0,1005%","0,3900%","R$ 243.727.965,1700","R$ 95,7981","1,0700","0,5168%","-0,0501%","0,4665%","1,0036%","3,0000%",N/A,0
2018-04-16,BCFF11,"89,40",0.0,"R$ 0,4950","0,5506%","1,7457%","3,6572%","7,9582%","0,5819%","0,6095%","0,6632%","1,7457%","7,4322%","8,0237%","11,5716%","R$ 537.339.249,7100","R$ 90,3188","0,9898","0,5481%","0,6871%","1,2389%","2,4198%",N/A,N/A,0
2018-04-16,MALL11,"105,80",0.0,"R$ 0,6700","0,6464%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,5978%","-0,2406%","0,4042%","1,4594%","R$ 179.318.722,8400","R$ 96,4010","1,0975","0,6950%","0,2103%","0,9067%","1,9948%","0,1000%",N/A,0
2018-04-16,BZLI11,"13,19",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,6787%","0,6787%","1,1364%","R$ 240.559.515,9800","R$ 12,4403","1,0603","0,0000%","-0,2065%","-0,2065%","-0,3890%",N/A,N/A,0
2018-04-16,ALZR11,"102,67",0.0,"R$ 0,5175","0,5041%","1,6038%","0,0000%","0,0000%","0,5346%","0,0000%","0,0000%","1,6038%","-0,1265%","0,3770%","0,7776%","R$ 95.111.845,9300","R$ 95,3940","1,0763","0,5425%","-0,0631%","0,4791%","1,6600%","0,0000%",N/A,2
