Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
CXRI11,Fundo de Fundos,"80,11","94.357,88","0,87","0,58","0,71 %","2,13 %","4,34 %","8,90 %","0,71 %","0,72 %","0,74 %","2,87 %","2,35 %","3,08 %","7,05 %","144.943.427,45","91,98","0,87","0,63 %","11,29 %",2024-04-01
CXTL11,Imóveis Industriais e Logísticos,"233,94","7.146,13","0,59","2,03","0,84 %","2,56 %","4,74 %","14,04 %","0,85 %","0,79 %","1,17 %","3,42 %","-4,72 %","-3,92 %","8,01 %","21.294.173,36","397,30","0,59","0,57 %","-18,84 %",2024-04-01
CYCR11,Indefinido,"9,70","256.232,63","0,99","0,11","1,14 %","3,19 %","6,46 %","13,30 %","1,06 %","1,08 %","1,11 %","4,31 %","0,42 %","1,56 %","8,18 %","159.125.854,11","9,75","0,99","1,03 %","2,20 %",2024-04-01
DAMT11B,Shoppings,"11,00","433,86","0,85","0,04","0,33 %","1,00 %","2,26 %","6,12 %","0,33 %","0,38 %","0,51 %","0,33 %","-17,00 %","-16,72 %","-16,72 %","162.111.120,97",N/A,N/A,N/A,N/A,2024-04-01
DCRA11,Misto,"8,56","210.846,13",N/A,"0,10","1,17 %","3,44 %","7,01 %","15,00 %","1,15 %","1,17 %","1,25 %","4,64 %","-1,38 %","-0,23 %","-2,56 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
DEVA11,Papéis,"46,21","1.380.339,00","0,47","0,68","1,47 %","4,33 %","7,57 %","14,27 %","1,44 %","1,26 %","1,19 %","5,31 %","12,07 %","13,72 %","10,26 %","1.382.423.383,03","98,43","0,47","0,63 %","-2,83 %",2024-04-01
DLMT11,Varejo,N/A,N/A,N/A,"0,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"8.440.456,36",N/A,N/A,N/A,N/A,2024-04-01
DPRO11,Indefinido,"7,51","53.853,58","0,82","0,05","0,67 %","1,93 %","3,85 %","5,57 %","0,64 %","0,64 %","0,46 %","2,54 %","-3,84 %","-3,20 %","-16,28 %","45.959.181,64",N/A,N/A,N/A,N/A,2024-04-01
DRIT11B,Lajes Corporativas,"83,30","1.547,00","0,62","1,48","0,00 %","0,00 %","0,41 %","4,20 %","0,00 %","0,07 %","0,35 %","0,00 %","0,00 %","0,00 %",N/A,"62.502.554,16","134,91","0,62","0,19 %","1,93 %",2024-04-01
DVFF11,Fundo de Fundos,"7,96","199.038,58","0,86","0,07","0,88 %","2,62 %","5,38 %","11,17 %","0,87 %","0,90 %","0,93 %","3,52 %","0,13 %","1,01 %","1,03 %","102.111.435,50","9,27","0,86","0,76 %","-89,82 %",2024-04-01
EDFO11B,Lajes Corporativas,"229,98","7.938,50","1,03","1,76","0,00 %","0,00 %","0,00 %","4,49 %","0,00 %","0,00 %","0,37 %","0,00 %","0,00 %","0,00 %",N/A,"52.733.606,52","223,45","1,03","0,76 %","16,45 %",2024-04-01
EDGA11,Lajes Corporativas,"19,77","15.633,79","0,31","0,10","0,50 %","1,23 %","2,23 %","5,04 %","0,41 %","0,37 %","0,42 %","1,23 %","-2,14 %","-1,65 %","-3,55 %","240.258.429,01","62,99","0,31","0,13 %","2,76 %",2024-04-01
EGAF11,Indefinido,"93,75","704.643,75","0,95","1,12","1,19 %","3,63 %","7,37 %","15,57 %","1,21 %","1,23 %","1,30 %","4,82 %","-1,77 %","-0,61 %","-0,46 %","308.824.269,87","98,61","0,95","1,30 %","0,00 %",2024-04-01
ENDD11,Indefinido,"114,49","394.702,88",N/A,"0,42","0,40 %","8,05 %","13,44 %","19,99 %","2,68 %","2,24 %","2,86 %","0,40 %","5,22 %","5,64 %","5,64 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
EQIA11,Fiagro,N/A,N/A,N/A,"0,45",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-04-01
EQIR11,Indefinido,"9,15","677.826,13","0,91","0,08","0,90 %","2,75 %","5,99 %","13,38 %","0,92 %","1,00 %","1,12 %","2,75 %","-1,21 %","-0,32 %","-6,28 %","109.194.256,27","10,01","0,91","0,75 %","2,56 %",2024-04-01
ERCR11,Varejo,"76.000,00",N/A,"2,18","374,22",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"82.841.169,23","34.865,81","2,18","4,92 %","-47,59 %",2024-04-01
ERPA11,Lajes Corporativas,"133,85","235.695,50","0,94","0,83","0,62 %","1,19 %","1,19 %","2,43 %","0,40 %","0,20 %","0,20 %","1,19 %","0,00 %","0,00 %",N/A,"70.987.571,76","141,71","0,94","0,51 %","3,39 %",2024-04-01
ESUD11,Indefinido,N/A,N/A,N/A,"182,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,2024-04-01
ESUT11,Indefinido,"32,00","6.400,00",N/A,"64,25","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,2024-04-01
ESUU11,Indefinido,"38,29","7.658,00",N/A,"16,28","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,2024-04-01
EURO11,Imóveis Industriais e Logísticos,"248,50","45.342,17","0,74","1,88","0,75 %","2,23 %","4,50 %","9,12 %","0,74 %","0,75 %","0,76 %","2,98 %","-1,82 %","-1,09 %","3,64 %","129.571.352,96","337,48","0,74","0,56 %","3,93 %",2024-04-01
EVBI11,Misto,"98,90","1.016.087,04","1,00","0,75","0,76 %","2,28 %","4,58 %","9,36 %","0,76 %","0,76 %","0,78 %","3,04 %","0,08 %","0,84 %","5,30 %","238.914.067,04","98,99","1,00","0,76 %","-0,75 %",2024-04-01
EXES11,Indefinido,"8,88","4.692,67","0,10","0,84","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"53.994.608,50",N/A,N/A,N/A,N/A,2024-04-01
FAED11,Educacional,"156,00","98.703,38","0,71","1,50","0,96 %","2,87 %","5,81 %","11,57 %","0,96 %","0,97 %","0,96 %","3,80 %","-2,50 %","-1,56 %","7,08 %","152.168.622,97","219,78","0,71","0,67 %","0,99 %",2024-04-01
FAMB11B,Lajes Corporativas,"646,00","22.775,54","0,28","9,16","0,56 %","2,18 %","4,80 %","10,11 %","0,73 %","0,80 %","0,84 %","6,43 %","-47,80 %","-47,51 %","-50,38 %","261.470.292,29","3.593,26","0,18","0,25 %","0,53 %",2024-04-01
FATN11,Lajes Corporativas,"96,60","1.080.338,29","0,93","0,85","0,87 %","2,68 %","5,44 %","10,73 %","0,89 %","0,91 %","0,89 %","3,60 %","2,93 %","3,82 %","9,66 %","303.456.284,65","103,75","0,93","0,82 %","4,79 %",2024-04-01
FCFL11,Educacional,"121,58","356.034,67","0,99","0,85","0,69 %","2,10 %","4,36 %","8,67 %","0,70 %","0,73 %","0,72 %","2,10 %","3,03 %","3,74 %","12,57 %","426.675.685,43","122,82","0,99","0,68 %","5,72 %",2024-04-01
FEXC11,Papéis,"83,50","860.137,12","0,10","0,50","0,00 %","1,08 %","4,14 %","11,48 %","0,36 %","0,69 %","0,96 %","0,00 %","0,00 %","0,00 %",N/A,"1.001.470.167,13","90,75","0,92","0,99 %","-1,13 %",2024-04-01
FGAA11,Indefinido,"9,05","1.598.436,29","0,94","0,10","1,10 %","3,40 %","6,89 %","14,74 %","1,13 %","1,15 %","1,23 %","4,56 %","0,22 %","1,32 %","-0,21 %","431.846.246,61","9,58","0,94","1,15 %","0,00 %",2024-04-01
FIGS11,Shoppings,"59,50","162.257,88","0,73","0,43","0,72 %","2,13 %","4,37 %","9,27 %","0,71 %","0,73 %","0,77 %","2,87 %","-0,79 %","-0,08 %","4,84 %","231.334.610,90","81,17","0,73","0,53 %","6,13 %",2024-04-01
FIIB11,Imóveis Industriais e Logísticos,"530,00","184.942,42","1,12","3,45","0,65 %","1,96 %","4,10 %","8,26 %","0,65 %","0,68 %","0,69 %","2,66 %","0,53 %","1,19 %","6,93 %","322.998.730,34","471,53","1,12","0,73 %","2,18 %",2024-04-01
FIIP11B,Imóveis Industriais e Logísticos,"182,15","79.294,46","0,89","1,44","0,79 %","2,39 %","4,89 %","10,01 %","0,80 %","0,82 %","0,83 %","3,22 %","1,98 %","2,78 %","9,78 %","188.974.412,62","203,82","0,89","0,71 %","9,48 %",2024-04-01
FISC11,Lajes Corporativas,"74,99","2.373,42","0,62","0,35","0,00 %","0,46 %","1,49 %","1,49 %","0,15 %","0,25 %","0,12 %","0,91 %","0,00 %","0,00 %",N/A,"204.541.255,81","120,32","0,62","0,25 %","4,57 %",2024-04-01
FLCR11,Papéis,"99,25","101.924,88","1,03","1,15","1,16 %","3,35 %","6,65 %","13,72 %","1,12 %","1,11 %","1,14 %","4,50 %","-1,16 %","-0,01 %","6,18 %","61.330.566,89","96,80","1,03","1,14 %","-1,65 %",2024-04-01
FLFL11,Fundo de Desenvolvimento,N/A,N/A,N/A,"0,22","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"139.516.757,81",N/A,N/A,N/A,N/A,2024-04-01
FLMA11,Lajes Corporativas,"141,86","102.661,21","0,65","0,92","0,64 %","1,81 %","3,93 %","8,09 %","0,60 %","0,66 %","0,67 %","2,51 %","2,00 %","2,65 %","6,83 %","299.400.569,91","216,85","0,65","0,40 %","35,32 %",2024-04-01
FLRP11,Shoppings,"2.268,94","24.736,40","0,98","14,00","0,63 %","1,30 %","2,67 %","6,27 %","0,43 %","0,45 %","0,52 %","1,98 %","6,88 %","7,55 %","9,99 %","150.846.417,88","2.312,46","0,98","0,61 %","26,59 %",2024-04-01
FMOF11,Lajes Corporativas,"56,54","236.767,18","0,48","0,46","0,00 %","0,53 %","1,47 %","3,91 %","0,18 %","0,25 %","0,33 %","0,00 %","0,00 %","0,00 %",N/A,"59.479.921,31","117,01","0,48","0,39 %","-1,33 %",2024-04-01
FPAB11,Lajes Corporativas,"190,00","306.616,50","0,56","0,90","0,45 %","1,38 %","3,10 %","9,77 %","0,46 %","0,52 %","0,81 %","1,38 %","7,66 %","8,14 %","-0,01 %","255.584.169,36","340,78","0,56","0,26 %","-9,13 %",2024-04-01
FRHY11,Indefinido,N/A,N/A,N/A,"1,03","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"2.792.774,48",N/A,N/A,N/A,N/A,2024-04-01
FVPQ11,Shoppings,"96,68","319.861,38","0,51","0,70","0,70 %","2,75 %","4,68 %","10,93 %","0,92 %","0,78 %","0,91 %","3,14 %","-3,63 %","-2,96 %","-10,14 %","535.306.056,94","191,17","0,51","0,58 %","-0,57 %",2024-04-01
FZDA11,Indefinido,"127,99","46.005,54","0,57","2,26","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","0,00 %","0,00 %",N/A,"345.643.028,81","101,94","1,26","2,21 %","0,00 %",2024-04-01
GALG11,Imóveis Industriais e Logísticos,"9,08","3.640.704,85","0,99","0,09","0,94 %","2,80 %","5,49 %","11,00 %","0,93 %","0,92 %","0,92 %","3,70 %","1,21 %","2,16 %","3,08 %","1.167.268.410,49","9,27","0,98","0,91 %","-0,43 %",2024-04-01
GAME11,Indefinido,"9,29","109.792,88","0,95","0,09","0,99 %","3,03 %","6,31 %","13,02 %","1,01 %","1,05 %","1,09 %","3,03 %","-2,27 %","-1,30 %","3,63 %","212.191.437,89","9,78","0,95","0,92 %","-0,61 %",2024-04-01
GARE11,Imóveis Industriais e Logísticos,"9,15","4.565.545,71","0,99","0,09","0,94 %","2,80 %","5,49 %","11,00 %","0,93 %","0,92 %","0,92 %","3,70 %","1,21 %","2,16 %","3,08 %","1.167.268.410,49",N/A,N/A,N/A,N/A,2024-04-01
GCFF11,Fundo de Fundos,"69,30","87.694,83","0,89","3,07","0,00 %","2,25 %","5,27 %","11,25 %","0,75 %","0,88 %","0,94 %","4,27 %","0,00 %","0,00 %",N/A,"27.939.468,78","77,31","0,90","0,97 %","-5,00 %",2024-04-01
GCOI11,Indefinido,"98,99","14.848,00","1,02","0,81","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"10.940.810,96",N/A,N/A,N/A,N/A,2024-04-01
GCRA11,Indefinido,"67,62","503.676,96","0,71","0,80","1,18 %","3,90 %","7,82 %","15,28 %","1,30 %","1,30 %","1,27 %","5,19 %","2,07 %","3,27 %","-1,73 %","165.995.776,58","94,81","0,71","1,00 %","-3,25 %",2024-04-01
GCRI11,Papéis,"86,09","313.658,96","0,90","0,95","1,09 %","3,24 %","6,49 %","13,38 %","1,08 %","1,08 %","1,12 %","3,24 %","-1,28 %","-0,21 %","6,15 %","139.055.226,06","94,51","0,91","1,01 %","0,15 %",2024-04-01
GESE11B,Educacional,"1.520,00",N/A,"1,36","1.112,72",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"58.192.036,94","1.119,08","1,36","104,32 %","-36,85 %",2024-04-01
GGRC11,Imóveis Industriais e Logísticos,"11,55","1.407.537,75","0,10","0,09","0,77 %","0,93 %","1,17 %","1,68 %","0,31 %","0,20 %","0,14 %","1,01 %","-89,92 %","-89,85 %","-89,62 %","1.015.944.952,64","112,49","0,10","0,08 %","-9,55 %",2024-04-01
GLOG11,Imóveis Industriais e Logísticos,"65,10","69.257,08","0,60","0,50","0,74 %","2,40 %","5,35 %","10,93 %","0,80 %","0,89 %","0,91 %","3,35 %","-0,24 %","0,50 %","10,34 %","81.709.835,76",N/A,N/A,N/A,N/A,2024-04-01
GRWA11,Indefinido,"11,40","20.927,04","1,11","0,12","1,05 %","3,28 %","7,06 %","14,80 %","1,09 %","1,18 %","1,23 %","4,46 %","-2,56 %","-1,54 %","1,94 %","28.007.864,49","10,25","1,11","1,37 %","0,00 %",2024-04-01
GSFI11,Shoppings,"7,85","200.301,83","0,54","0,00","0,03 %","0,03 %","0,03 %","0,03 %","0,01 %","0,00 %","0,00 %","0,03 %","0,00 %","0,03 %","0,03 %","1.179.162.640,93","11,90","0,66","0,01 %","0,01 %",2024-04-01
GTLG11,Imóveis Industriais e Logísticos,"63,99","22.885,25","1,06","60,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"434.811.690,70","60,62","1,06","100,00 %","-35,83 %",2024-04-01
GTWR11,Lajes Corporativas,"84,02","996.457,04","0,83","0,79","0,94 %","2,76 %","5,61 %","11,36 %","0,92 %","0,94 %","0,95 %","3,67 %","-1,78 %","-0,86 %","6,25 %","1.214.255.473,19","101,19","0,83","0,78 %","6,85 %",2024-04-01
GURB11,Indefinido,"108,00","5.000.076,00","0,98","0,70","0,65 %","0,65 %","0,65 %","1,48 %","0,22 %","0,11 %","0,12 %","0,65 %","0,00 %","0,00 %",N/A,"125.452.817,05",N/A,N/A,N/A,N/A,2024-04-01
GZIT11,Indefinido,"67,10","737.289,46","0,70","0,78","1,18 %","2,26 %","2,26 %","2,26 %","0,75 %","0,75 %","0,75 %","2,26 %","-8,32 %","-7,24 %","-7,24 %","2.094.392.988,12",N/A,N/A,N/A,N/A,2024-04-01
HAAA11,Lajes Corporativas,"42,20","1.928,10","0,53","0,12","0,28 %","0,28 %","2,14 %","4,96 %","0,09 %","0,36 %","0,41 %","1,00 %","0,00 %","0,00 %",N/A,"276.015.208,49","79,89","0,53","0,30 %","-10,90 %",2024-04-01
HABT11,Papéis,"92,29","1.454.349,50","0,95","1,10","1,17 %","3,41 %","6,75 %","14,23 %","1,14 %","1,13 %","1,19 %","4,49 %","1,84 %","3,04 %","11,45 %","791.392.528,01","97,38","0,95","1,03 %","-2,41 %",2024-04-01
HBCR11,Indefinido,"120,00","4.024.726,43","1,01","0,63","0,00 %","0,92 %","2,04 %","4,03 %","0,31 %","0,34 %","0,34 %","1,50 %","0,00 %","0,00 %",N/A,"136.852.214,36",N/A,N/A,N/A,N/A,2024-04-01
HBRH11,Lajes Corporativas,"90,80","14.627,00","0,81","0,17","0,00 %","0,55 %","2,08 %","5,63 %","0,18 %","0,35 %","0,47 %","1,26 %","0,00 %","0,00 %",N/A,"310.663.065,95","112,06","0,81","0,45 %","-1,01 %",2024-04-01
HCHG11,Papéis,"74,50","46.291,08","0,75","0,78","0,99 %","2,93 %","5,16 %","11,46 %","0,98 %","0,86 %","0,96 %","3,79 %","-2,47 %","-1,50 %","4,88 %","119.432.690,03","99,53","0,75","0,79 %","-1,57 %",2024-04-01
HCRA11,Indefinido,"102,90","781,60",N/A,"0,96","0,00 %","2,13 %","5,47 %","11,70 %","0,71 %","0,91 %","0,98 %","2,13 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,2024-04-01
HCRI11,Hospitalar,"304,45","43.259,42","0,95","2,58","0,85 %","2,81 %","5,75 %","11,86 %","0,94 %","0,96 %","0,99 %","2,81 %","-2,56 %","-1,73 %","3,01 %","64.244.565,79","321,22","0,95","0,82 %","4,31 %",2024-04-01
HCTR11,Papéis,"34,78","1.677.236,71","0,31","0,32","0,92 %","3,14 %","5,88 %","10,85 %","1,05 %","0,98 %","0,90 %","4,05 %","12,63 %","13,67 %","-0,93 %","2.460.879.979,62","111,43","0,31","0,31 %","-8,20 %",2024-04-01
HDEL11,Imóveis Industriais e Logísticos,"101,50","2.999.934,00","1,15","5,95","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"74.019.271,33",N/A,N/A,N/A,N/A,2024-04-01
HFOF11,Fundo de Fundos,"77,43","1.341.992,33","0,96","0,63","0,81 %","2,43 %","4,92 %","9,88 %","0,81 %","0,82 %","0,82 %","3,22 %","-0,10 %","0,71 %","9,80 %","1.860.050.399,85","80,72","0,96","0,78 %","-0,20 %",2024-04-01
HGAG11,Indefinido,"21,25","3.776,38","0,90","0,15","0,71 %","2,04 %","4,83 %","10,59 %","0,68 %","0,81 %","0,88 %","3,44 %","-7,89 %","-7,24 %","-3,20 %","5.868.290,64","23,75","0,89","0,67 %","0,00 %",2024-04-01
HGBS11,Shoppings,"229,67","4.867.307,75","0,99","1,75","0,76 %","2,29 %","4,93 %","9,44 %","0,76 %","0,82 %","0,79 %","3,16 %","-0,21 %","0,55 %","5,93 %","2.939.114.089,44","230,88","0,99","0,76 %","4,04 %",2024-04-01
HGCR11,Papéis,"105,48","3.462.990,63","1,03","0,95","0,89 %","2,68 %","5,53 %","12,08 %","0,89 %","0,92 %","1,01 %","3,63 %","0,09 %","0,99 %","6,07 %","1.572.486.077,40","101,99","1,03","0,93 %","1,02 %",2024-04-01
HGFF11,Fundo de Fundos,"88,90","771.948,08","0,94","0,70","0,77 %","2,34 %","4,79 %","9,54 %","0,78 %","0,80 %","0,80 %","3,14 %","4,16 %","4,96 %","12,21 %","271.132.889,26","94,68","0,94","0,74 %","9,03 %",2024-04-01
HGIC11,Papéis,"94,01","5.544,86","0,80","0,66","0,66 %","2,08 %","4,96 %","9,96 %","0,69 %","0,83 %","0,83 %","3,04 %","-5,17 %","-4,54 %","-2,90 %","54.579.097,65","117,96","0,80","0,69 %","2,82 %",2024-04-01
HGLG11,Imóveis Industriais e Logísticos,"168,18","6.956.834,29","1,07","1,10","0,65 %","1,97 %","4,03 %","8,33 %","0,66 %","0,67 %","0,69 %","2,65 %","-0,46 %","0,18 %","7,64 %","5.331.568.244,15","157,80","1,07","0,70 %","2,45 %",2024-04-01
HGPO11,Lajes Corporativas,"308,58","1.208.218,08","1,00","1,50","0,49 %","1,51 %","3,12 %","6,62 %","0,50 %","0,52 %","0,55 %","2,04 %","3,72 %","4,23 %","12,02 %","541.116.903,89","308,67","1,00","0,49 %","3,11 %",2024-04-01
HGRE11,Lajes Corporativas,"130,05","1.884.487,71","0,85","0,78","0,60 %","1,78 %","3,92 %","7,81 %","0,59 %","0,65 %","0,65 %","2,68 %","0,04 %","0,64 %","2,94 %","1.809.252.331,43","153,10","0,85","0,51 %","-2,42 %",2024-04-01
HGRS11,Imóveis Residenciais,N/A,N/A,N/A,"29,32","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"58.983.088,31","92,86",N/A,"0,00 %","0,00 %",2024-04-01
HGRU11,Misto,"135,50","2.849.665,00","1,07","0,85","0,62 %","1,85 %","4,78 %","9,10 %","0,62 %","0,80 %","0,76 %","3,49 %","-0,48 %","0,14 %","4,80 %","2.335.963.870,48","126,91","1,07","0,67 %","3,27 %",2024-04-01
HILG11,Indefinido,N/A,N/A,N/A,"0,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"98.437.639,66",N/A,N/A,N/A,N/A,2024-04-01
HLOG11,Imóveis Industriais e Logísticos,"84,01","77.764,25","0,72","0,46","0,53 %","1,65 %","3,86 %","8,16 %","0,55 %","0,64 %","0,68 %","2,41 %","5,17 %","5,73 %","-1,55 %","495.727.246,16","116,64","0,72","0,39 %","0,15 %",2024-04-01
HOFC11,Lajes Corporativas,"31,01","326.461,88","0,45","0,25","1,34 %","2,41 %","4,24 %","9,71 %","0,80 %","0,71 %","0,81 %","1,34 %","-7,01 %","-5,77 %","-5,77 %","263.345.832,17",N/A,N/A,N/A,N/A,2024-04-01
HOSI11,Imóveis Residenciais,"88,98","27.143,42","0,97","0,61","0,68 %","2,59 %","5,53 %","12,13 %","0,86 %","0,92 %","1,01 %","3,92 %","-0,56 %","0,12 %","12,89 %","52.764.990,44","92,01","0,97","1,23 %","-0,05 %",2024-04-01
HPDP11,Shoppings,"88,00","3.458,61","0,92","0,53","0,59 %","1,80 %","3,02 %","7,65 %","0,60 %","0,50 %","0,64 %","2,40 %","2,76 %","3,36 %","6,54 %","314.176.927,98","95,55","0,92","0,55 %","7,05 %",2024-04-01
HRDF11,Fundo de Desenvolvimento,"3,82","1.945,71","0,48","5,40",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"12.124.093,87",N/A,N/A,N/A,N/A,2024-04-01
HREC11,Papéis,"8,68","162.880,54","0,94","0,08","0,91 %","2,73 %","5,71 %","12,02 %","0,91 %","0,95 %","1,00 %","3,68 %","0,11 %","1,02 %","8,94 %","476.202.043,31","9,23","0,94","0,87 %","-89,62 %",2024-04-01
HSAF11,Papéis,"89,40","756.080,25","0,97","1,00","1,10 %","3,08 %","5,86 %","12,38 %","1,03 %","0,98 %","1,03 %","3,95 %","3,46 %","4,60 %","10,99 %","232.578.983,59","92,06","0,97","0,92 %","0,79 %",2024-04-01
HSLG11,Imóveis Industriais e Logísticos,"96,80","685.012,54","0,94","0,74","0,75 %","2,28 %","4,65 %","9,43 %","0,76 %","0,78 %","0,79 %","3,03 %","2,45 %","3,22 %","12,19 %","1.306.981.868,48","103,24","0,94","0,72 %","-1,62 %",2024-04-01
HSML11,Shoppings,"98,05","6.199.873,92","1,01","0,80","0,82 %","2,44 %","4,83 %","9,67 %","0,81 %","0,81 %","0,81 %","3,23 %","0,94 %","1,77 %","8,07 %","1.970.991.018,67","96,53","1,02","0,79 %","-1,08 %",2024-04-01
HSRE11,Misto,"109,00","1.587.243,92","1,16","0,60","0,56 %","1,69 %","3,36 %","5,14 %","0,56 %","0,56 %","0,43 %","2,26 %","-0,09 %","0,47 %","2,90 %","833.897.228,42","93,71","1,16","0,64 %","-2,43 %",2024-04-01
HTMX11,Hotéis,"175,78","1.382.435,00","1,19","1,66","0,92 %","3,11 %","9,17 %","18,80 %","1,04 %","1,53 %","1,57 %","4,75 %","16,45 %","17,52 %","6,46 %","221.438.224,77","147,20","1,19","0,59 %","4,88 %",2024-04-01
HUCG11,Hospitalar,"93,00","754.479,67","0,90","0,22","0,20 %","0,40 %","0,83 %","2,95 %","0,13 %","0,14 %","0,25 %","0,20 %","8,00 %","8,22 %","8,22 %","116.571.687,43",N/A,N/A,N/A,N/A,2024-04-01
HUSC11,Hospitalar,"112,39","4.447,88","0,73","0,85","0,75 %","2,24 %","3,84 %","8,88 %","0,75 %","0,64 %","0,74 %","2,24 %","0,04 %","0,79 %","-0,04 %","130.797.616,61","154,98","0,73","0,55 %","5,61 %",2024-04-01
HUSI11,Hospitalar,"1.195,00","5.443,67","1,01","8,18","0,68 %","2,00 %","2,70 %","3,38 %","0,67 %","0,45 %","0,28 %","2,70 %","0,00 %","0,68 %","1,59 %","138.145.163,39","1.187,20","1,01","0,65 %","19,54 %",2024-04-01
IAAG11,Indefinido,"8,98","41.471,29","0,93","0,11","1,24 %","3,66 %","6,39 %","8,50 %","1,22 %","1,07 %","1,06 %","4,55 %","-1,78 %","-0,56 %","-4,65 %","52.611.314,70","9,66","0,93","1,14 %","0,00 %",2024-04-01
IAGR11,Indefinido,"3,95","42.713,75","0,47","0,03","0,60 %","2,21 %","3,30 %","3,30 %","0,74 %","1,10 %","1,10 %","3,30 %","-12,08 %","-11,55 %","2,97 %","23.321.226,97","8,37","0,47","0,54 %","0,00 %",2024-04-01
IBCR11,Papéis,"79,19","138.733,38","0,83","0,90","1,10 %","3,53 %","7,29 %","14,41 %","1,18 %","1,22 %","1,20 %","3,53 %","-0,15 %","0,95 %","8,85 %","91.844.324,75","95,83","0,83","1,04 %","2,03 %",2024-04-01
IBFF11,Fundo de Fundos,"66,40","162.549,50","4,49","14,79","0,00 %","0,44 %","2,85 %","8,02 %","0,15 %","0,48 %","0,67 %","6,25 %","0,00 %","0,00 %",N/A,"9.855.905,16","14,78","4,49","100,08 %","-79,09 %",2024-04-01
ICNE11,Imóveis Residenciais,N/A,N/A,N/A,"10,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"116.841.445,26",N/A,N/A,N/A,N/A,2024-04-01
IDFI11,Indefinido,"14,72","62.883,67","0,66","2,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"45.679.132,16","22,20","0,66","0,84 %","-60,33 %",2024-04-01
IDGR11,Misto,"12,94","434,82","1,62","1,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7.062.918,63",N/A,N/A,N/A,N/A,2024-04-01
IFRA11,Indefinido,"110,65","2.330.335,38",N/A,"1,10","0,98 %","2,99 %","6,10 %","12,16 %","1,00 %","1,02 %","1,01 %","2,99 %","3,65 %","4,67 %","9,89 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
IRDM11,Papéis,"78,36","3.992.095,25","0,90","0,78","1,03 %","2,85 %","5,77 %","11,76 %","0,95 %","0,96 %","0,98 %","2,85 %","-2,25 %","-1,24 %","3,83 %","3.188.960.515,41","87,53","0,90","0,86 %","-5,68 %",2024-04-01
