Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-05-01,MBRF11,Outros,"1.091,05",107.0,"R$ 8,0000","0,7240%","2,1939%","3,6466%","7,4079%","0,7313%","0,6078%","0,6173%","2,9272%","0,4545%","1,1818%","4,2807%","R$ 116.122.631,7500","R$ 1.142,2198","0,9552","0,7004%","0,0140%","0,7145%","2,1423%","0,0000%",N/A,2
2018-05-01,PABY11,Híbrido,"26,80",26.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-11,4275%","-11,4275%","-21,2991%","R$ 181.333.745,9400","R$ 239,1004","0,1121","0,0000%","0,3762%","0,3762%","0,3228%",N/A,N/A,1
2018-05-01,FPAB11,Lajes Corporativas,"340,00",383.0,"R$ 1,8500","0,4881%","1,5351%","3,1822%","6,6262%","0,5117%","0,5304%","0,5522%","2,0703%","4,4077%","4,9174%","8,9881%","R$ 259.666.553,5900","R$ 346,2221","0,9820","0,5488%","0,1414%","0,6910%","1,9158%","6,5500%",N/A,1
2018-05-01,FFCI11,Lajes Corporativas,"173,48",1815.0,"R$ 0,7000","0,3998%","1,0050%","2,2417%","7,0078%","0,3350%","0,3736%","0,5840%","1,4062%","-1,6844%","-1,2914%","1,7622%","R$ 384.003.501,4000","R$ 176,9601","0,9803","0,2043%","0,0548%","0,2592%","1,0331%","7,5000%",N/A,8
2018-05-01,FFCI11,Lajes Corporativas,"173,48",1815.0,"R$ 0,8100","0,4500%","1,0553%","2,2920%","7,0580%","0,3518%","0,3820%","0,5882%","1,4564%","1,0668%","1,5216%","4,6622%","R$ 384.003.501,4000","R$ 176,9601","0,9803","0,2043%","0,0548%","0,2592%","1,0331%","7,5000%",N/A,8
2018-05-01,RNGO11,Lajes Corporativas,"89,50",4966.0,"R$ 0,5400","0,5937%","1,7409%","3,4589%","7,0127%","0,5803%","0,5765%","0,5844%","2,3184%","-4,0612%","-3,4916%","-0,4524%","R$ 248.446.758,4800","R$ 92,8426","0,9640","0,5816%","-0,0156%","0,5660%","1,7732%","7,6000%",N/A,2
2018-05-01,SCPF11,Shoppings,"13,85",726.0,"R$ 0,0647","0,4669%","1,3012%","3,6135%","7,2015%","0,4337%","0,6022%","0,6001%","2,3169%","-2,3944%","-1,9386%","1,3125%","R$ 46.958.685,7800","R$ 11,1806","1,2387","0,4960%","0,2140%","0,7111%","2,6774%",N/A,N/A,1
2018-05-01,SHPH11,Shoppings,"1.042,00",71.0,"R$ 3,5500","0,3349%","1,0143%","2,2955%","4,6049%","0,3381%","0,3826%","0,3837%","1,5643%","0,9524%","1,2905%","7,6667%","R$ 424.478.394,6500","R$ 697,0661","1,4948","0,5093%","-4,9973%","-4,5134%","-3,6431%","2,4000%",N/A,1
2018-05-01,ONEF11,Lajes Corporativas,"134,49",1321.0,"R$ 0,6700","0,4963%","1,6038%","3,2233%","6,6342%","0,5346%","0,5372%","0,5529%","2,1534%","-89,0236%","-88,9691%","-88,5999%","R$ 99.176.235,9900","R$ 1.088,6524","0,1235","0,6108%","0,0136%","0,6246%","1,8575%","0,0000%",N/A,1
2018-05-01,FIVN11,Shoppings,"5,00",105.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 156.087.008,9900","R$ 16,5827","0,3015",,,,,N/A,N/A,0
2018-05-01,RBBV11,Títulos e Val. Mob.,"66,70",1645.0,"R$ 0,1730","0,2662%","1,2893%","3,4270%","5,4705%","0,4298%","0,5712%","0,4559%","2,1012%","-14,4737%","-14,2460%","2,2114%","R$ 125.853.283,7300","R$ 100,3483","0,6647","0,4018%","0,0518%","0,4538%","1,1915%",N/A,N/A,1
2018-05-01,JSRE11,Híbrido,"108,00",7623.0,"R$ 0,5200","0,4871%","1,5075%","3,2733%","7,6673%","0,5025%","0,5456%","0,6389%","2,0688%","-0,5033%","-0,0186%","1,9416%","R$ 718.154.697,5100","R$ 111,2910","0,9704","0,4852%","1,4136%","1,9056%","3,0144%","0,0000%",N/A,2
2018-05-01,KNRE11,Residencial,"9,85",3216.0,"R$ 0,0000","0,0000%","0,0000%","3,1309%","5,1331%","0,0000%","0,5218%","0,4278%","0,0000%","-5,5977%","-5,5977%","-5,5977%","R$ 194.018.576,3200","R$ 10,4608","0,9416","0,0000%","-3,6253%","-3,6253%","890,6889%",N/A,N/A,0
2018-05-01,KNRI11,Híbrido,"165,01",14189.0,"R$ 0,8200","0,4910%","1,4475%","2,9371%","6,4819%","0,4825%","0,4895%","0,5402%","1,8302%","-4,7347%","-4,2670%","4,9860%","R$ 2.173.240.102,4500","R$ 139,9904","1,1787","0,5858%","-0,7084%","-0,1268%","-0,6252%","12,4400%","15,5600%",15
2018-05-01,KNCR11,Títulos e Val. Mob.,"105,59",36039.0,"R$ 0,5800","0,5531%","1,6417%","3,4778%","7,5996%","0,5472%","0,5796%","0,6333%","2,2678%","-0,7571%","-0,2082%","0,2414%","R$ 2.940.423.069,0000","R$ 104,6454","1,0090","0,5734%","0,2536%","0,8284%","1,9469%",N/A,N/A,0
2018-05-01,MXRF11,Híbrido,"10,27",58806.0,"R$ 0,0600","0,5515%","1,8602%","3,6251%","7,9887%","0,6201%","0,6042%","0,6657%","2,4858%","4,8170%","5,3950%","16,2980%","R$ 302.391.360,3100","R$ 9,6050","1,0692","0,6247%","1,3023%","1,9351%","3,3252%",N/A,N/A,0
2018-05-01,MFII11,Híbrido,"125,44",10446.0,"R$ 1,1800","0,8907%","2,7530%","5,2755%","11,1482%","0,9177%","0,8792%","0,9290%","3,5798%","-0,3910%","0,4962%","-3,8071%","R$ 226.635.467,9900","R$ 113,1699","1,1084","1,0427%","-0,9886%","0,0437%","7,3924%",N/A,N/A,9
2018-05-01,DRIT11B,Lajes Corporativas,"135,00",13.0,"R$ 0,6500","0,4422%","3,1303%","4,5946%","8,2965%","1,0434%","0,7658%","0,6914%","3,6720%","16,6667%","17,1825%","27,0464%","R$ 56.459.190,2000","R$ 121,8692","1,1077","2,2975%","-2,2554%","-0,0097%","0,9159%","18,1000%","10,4000%",6
2018-05-01,PLRI11,Títulos e Val. Mob.,"85,82",189.0,"R$ 0,7200","0,8300%","2,1202%","3,7989%","14,5737%","0,7067%","0,6331%","1,2145%","2,7322%","10,5659%","11,4836%","-2,5748%","R$ 89.354.457,5900","R$ 93,6331","0,9166","0,7262%","-0,9511%","-0,2317%","0,0130%",N/A,N/A,0
2018-05-01,PORD11,Títulos e Val. Mob.,"100,56",1917.0,"R$ 0,0000","0,0000%","3,1767%","3,1767%","8,4519%","1,0589%","0,5295%","0,7043%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 105.079.905,3200","R$ 105,0799","0,9570",,,,,N/A,N/A,0
2018-05-01,RBDS11,Residencial,"405,00",73.0,"R$ 9,7641","2,3528%","5,6594%","9,9315%","15,1085%","1,8865%","1,6553%","1,2590%","6,2682%","2,2167%","4,6217%","10,3994%","R$ 68.970.984,6800","R$ 545,1261","0,7429","1,1949%","2,7391%","3,9667%","3,0845%",N/A,N/A,0
2018-05-01,RBGS11,Shoppings,"52,00",1208.0,"R$ 0,1371","0,2324%","1,3951%","2,6398%","4,5423%","0,4650%","0,4400%","0,3785%","1,9857%","4,3894%","4,6320%","29,7930%","R$ 107.406.708,2700","R$ 99,6352","0,5219","0,1501%","0,3913%","0,5420%","1,2839%","12,8000%",N/A,1
2018-05-01,FIIP11B,Logística,"204,32",421.0,"R$ 1,2982","0,6254%","1,8967%","5,0803%","9,0197%","0,6322%","0,8467%","0,7516%","3,7457%","2,5136%","3,1547%","5,2583%","R$ 164.423.297,7700","R$ 177,3404","1,1521","0,7272%","0,1321%","0,8602%","2,4726%",N/A,N/A,7
2018-05-01,RBRD11,Híbrido,"84,90",785.0,"R$ 0,5916","0,6863%","1,7328%","3,5629%","10,2268%","0,5776%","0,5938%","0,8522%","2,3344%","-4,2222%","-3,5649%","7,0101%","R$ 138.544.780,4300","R$ 74,8168","1,1348","0,5714%","0,3458%","0,9191%","2,6232%","0,0000%",N/A,4
2018-05-01,RDES11,Lajes Corporativas,"76,00",270.0,"R$ 0,2194","0,3166%","0,9443%","2,1481%","4,5412%","0,3148%","0,3580%","0,3784%","1,3046%","-0,7163%","-0,4020%","4,7576%","R$ 67.304.070,0300","R$ 90,7063","0,8379","0,2419%","0,2617%","0,5042%","1,2187%","50,5300%",N/A,4
2018-05-01,RBCB11,Outros,"445,00",14.0,"R$ 2,5000","0,5000%","1,4915%","3,2009%","9,3526%","0,4972%","0,5335%","0,7794%","1,8828%","-1,9627%","-1,4725%","-20,2708%","R$ 10.943.535,5000","R$ 206,0929","2,1592","1,3586%","-5,6205%","-4,3383%","-7,7166%",N/A,N/A,0
2018-05-01,RBVO11,,"59,01",388.0,"R$ 0,3000","0,4959%","1,5418%","5,1430%","8,2394%","0,5139%","0,8572%","0,6866%","2,1818%","-2,4194%","-1,9355%","-1,0708%","R$ 30.797.478,2900","R$ 59,7054","0,9884","0,5862%","0,6668%","1,2569%","2,5406%",N/A,N/A,0
2018-05-01,SAAG11,Outros,"131,00",6477.0,"R$ 0,8500","0,6343%","1,8873%","3,8512%","7,7354%","0,6291%","0,6419%","0,6446%","2,5452%","-2,5100%","-1,8916%","6,3802%","R$ 494.828.744,6200","R$ 87,8678","1,4909","0,9674%","0,0197%","0,9872%","2,9722%",N/A,N/A,28
2018-05-01,SDIL11,Logística,"94,50",2253.0,"R$ 0,6200","0,6327%","1,8337%","3,7662%","7,6118%","0,6112%","0,6277%","0,6343%","2,4590%","-4,4093%","-3,8045%","1,2828%","R$ 134.118.858,7600","R$ 93,2123","1,0138","0,6651%","0,0259%","0,6913%","2,0412%","14,2000%","13,0000%",1
2018-05-01,SPTW11,Lajes Corporativas,"76,50",2258.0,"R$ 0,5500","0,6962%","2,0721%","4,1585%","8,5718%","0,6907%","0,6931%","0,7143%","3,4392%","-1,1882%","-0,5003%","6,6908%","R$ 133.267.020,4100","R$ 74,1196","1,0321","0,7420%","0,0419%","0,7843%","2,3223%",N/A,N/A,2
2018-05-01,XTED11,Lajes Corporativas,"20,00",6336.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-20,8222%","-20,8222%","-22,0974%","R$ 51.637.490,7200","R$ 28,8066","0,6943","0,0000%","-0,3917%","-0,3917%","-0,7406%","96,8000%","98,3000%",2
2018-05-01,TRXL11,Logística,"73,51",1936.0,"R$ 0,3376","0,4689%","1,3518%","2,6480%","5,4719%","0,4506%","0,4413%","0,4560%","1,7745%","-1,3699%","-0,9074%","-8,1397%","R$ 173.502.028,2500","R$ 105,1962","0,6988","0,3184%","-0,0759%","0,2422%","1,0709%","50,7000%","40,5000%",6
2018-05-01,XPCM11,Lajes Corporativas,"98,21",4022.0,"R$ 0,7800","0,7919%","2,3797%","4,7550%","9,9005%","0,7932%","0,7925%","0,8250%","3,1716%","0,0000%","0,7919%","3,2095%","R$ 193.634.389,5700","R$ 80,1942","1,2247","0,9726%","-0,3225%","0,6470%","2,7303%","0,0000%","0,0000%",1
2018-05-01,KNIP11,Títulos e Val. Mob.,"107,90",11334.0,"R$ 0,6000","0,5537%","1,9330%","4,0872%","7,3772%","0,6443%","0,6812%","0,6148%","2,7294%","-0,1198%","0,4332%","3,1285%","R$ 1.057.576.700,1300","R$ 104,5026","1,0325","0,7177%","1,1168%","1,8425%","3,3989%",N/A,N/A,0
2018-05-01,FAED11,Outros,"223,00",0.0,"R$ 0,5928","0,2658%","1,5911%","3,6364%","7,4937%","0,5304%","0,6061%","0,6245%","2,2367%","0,4278%","0,6948%","1,3550%","R$ 103.280.368,2100","R$ 160,8308","1,3866","0,9057%","-0,0141%","0,8914%","2,7503%","0,0000%",N/A,3
2018-05-01,CNES11,Lajes Corporativas,"83,20",0.0,"R$ 0,2719","0,3005%","0,9164%","2,0038%","4,3073%","0,3055%","0,3340%","0,3589%","0,9164%","-0,5495%","-0,2506%","-9,1225%","R$ 306.583.344,7400","R$ 103,9531","0,8004","0,2616%","0,0065%","0,2681%","0,8452%","45,5000%",N/A,1
2018-05-01,FLRP11,Shoppings,"1.250,00",0.0,"R$ 7,8788","0,6333%","2,1535%","3,4685%","6,4365%","0,7178%","0,5781%","0,5364%","2,1535%","-0,4800%","0,1503%","8,6305%","R$ 72.840.548,5900","R$ 1.411,5291","0,8856","0,5582%","0,0241%","0,5825%","2,4822%","1,9400%",N/A,1
2018-05-01,FEXC11,Títulos e Val. Mob.,"106,85",0.0,"R$ 0,7600","0,7113%","2,2024%","4,3704%","6,8474%","0,7341%","0,7284%","0,5706%","3,0678%","-1,8013%","-1,1028%","5,9286%","R$ 147.036.236,1700","R$ 100,6215","1,0619","0,7454%","-0,6821%","0,0582%","2,1723%",N/A,N/A,0
2018-05-01,EDGA11,Lajes Corporativas,"42,50",0.0,"R$ 0,1004","0,2165%","0,6568%","1,4314%","2,9224%","0,2189%","0,2386%","0,2435%","0,6568%","-3,4174%","-3,2083%","-3,8040%","R$ 310.213.203,7100","R$ 81,3769","0,5223","0,1233%","0,1160%","0,2395%","-0,4681%","25,8000%",N/A,1
2018-05-01,NSLU11,Hospital,"270,00",0.0,"R$ 1,5584","0,5770%","1,7413%","3,6138%","7,7815%","0,5804%","0,6023%","0,6485%","1,7413%","-1,3874%","-0,8184%","3,9096%","R$ 236.157.157,2500","R$ 206,2868","1,3089","0,7555%","0,0027%","0,7582%","2,2972%","0,0000%",N/A,1
2018-05-01,HTMX11,Hotel,"139,55",0.0,"R$ 0,6271","0,4480%","0,9892%","3,0490%","6,2894%","0,3297%","0,5082%","0,5241%","1,5319%","-0,0500%","0,3978%","8,5010%","R$ 150.300.574,4000","R$ 134,3217","1,0389","0,3167%","0,0456%","0,3624%","1,0324%","42,0000%",N/A,24
2018-05-01,MAXR11,Outros,"1.990,00",0.0,"R$ 9,3238","0,4685%","1,2478%","4,4794%","8,4191%","0,4159%","0,7466%","0,7016%","1,2478%","-2,8795%","-2,4244%","0,6461%","R$ 109.453.626,8400","R$ 1.847,4745","1,0771","0,5047%","0,2042%","0,7099%","1,8605%","0,0000%",N/A,8
2018-05-01,JRDM11,Shoppings,"78,80",0.0,"R$ 0,3192","0,4051%","1,1755%","2,9825%","5,9404%","0,3918%","0,4971%","0,4950%","1,1755%","-3,9024%","-3,5131%","-2,1719%","R$ 188.414.960,5000","R$ 84,7548","0,9297","0,3766%","0,0492%","0,4260%","1,4325%","0,9600%",N/A,1
2018-05-01,ALMI11,Lajes Corporativas,"1.714,00",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-2,7722%","-2,7722%","4,0436%","R$ 212.334.783,6100","R$ 2.028,0304","0,8452","0,0000%","0,0673%","0,0673%","-0,0260%","82,0000%",N/A,1
2018-05-01,TRNT11,Lajes Corporativas,"183,00",0.0,"R$ 0,3555","0,1953%","0,6054%","1,2885%","3,0812%","0,2018%","0,2147%","0,2568%","0,6054%","0,0000%","0,1953%","2,8616%","R$ 733.438.804,5300","R$ 186,3619","0,9820","0,1908%","0,2630%","0,4542%","0,9289%","28,1000%",N/A,1
