Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-06-01,BMLC11,Lajes Corporativas,"R$ 99,00",94.0,"R$ 0,74","0,78%","2,27%","4,61%","8,70%","0,76%","0,77%","0,73%","3,57%","3,37%","4,18%","8,24%","R$ 109.078.796,98","R$ 109,25","0,91","0,58%","-0,01%","0,57%","1,08%","7,00%",N/A,2
2022-06-01,RBRP11,Outros,"R$ 57,87",17887.0,"R$ 0,45","0,71%","2,20%","4,14%","7,55%","0,73%","0,69%","0,63%","3,49%","0,81%","1,53%","-6,64%","R$ 1.000.575.637,38","R$ 82,15","0,70","0,55%","-0,35%","0,20%","1,22%","13,00%","6,00%",17
2022-06-01,RECR11,Títulos e Val. Mob.,"R$ 100,35",41501.0,"R$ 1,72","1,69%","4,53%","8,19%","14,76%","1,51%","1,36%","1,23%","6,75%","1,98%","3,70%","6,10%","R$ 2.310.672.803,11","R$ 95,25","1,05","1,81%","-0,05%","1,76%","7,19%",N/A,N/A,0
2022-06-01,GTLG11,,"R$ 99,99",50006.0,"R$ 0,70","0,70%","2,10%","4,21%","0,00%","0,70%","0,70%","0,00%","3,51%","0,00%","0,70%","5,13%","R$ 675.663.743,88","R$ 94,20","1,06","0,74%","-1,52%","-0,79%","-0,28%",N/A,N/A,0
2022-06-01,DVFF11,Híbrido,"R$ 70,34",648.0,"R$ 0,80","1,14%","3,17%","5,54%","0,00%","1,06%","0,92%","0,00%","4,81%","0,09%","1,23%","-16,45%","R$ 101.357.430,47","R$ 92,06","0,76","0,87%","-0,07%","0,79%","4,20%",N/A,N/A,0
2022-06-01,ONEF11,Lajes Corporativas,"R$ 158,70",263.0,"R$ 0,92","0,58%","1,75%","3,59%","6,67%","0,58%","0,60%","0,56%","3,59%","0,47%","1,05%","20,18%","R$ 159.240.183,47","R$ 174,80","0,91","0,53%","0,01%","0,54%","2,60%","0,00%",N/A,1
2022-06-01,MBRF11,Outros,"R$ 516,50",155.0,"R$ 10,00","1,82%","4,56%","8,50%","14,55%","1,52%","1,42%","1,21%","8,50%","-21,64%","-20,22%","-24,74%","R$ 113.735.279,34","R$ 1.118,74","0,46","0,89%","0,02%","0,91%","4,60%","0,00%",N/A,2
2022-06-01,MGLG11,Logística,"R$ 43,05",3197.0,"R$ 0,60","1,27%","3,60%","6,53%","0,00%","1,20%","1,09%","0,00%","5,92%","-7,85%","-6,68%","-7,74%","R$ 57.395.561,83","R$ 48,19","0,89","1,25%","0,06%","1,31%","-39,40%","0,00%",N/A,3
2022-06-01,RBRL11,Logística,"R$ 84,24",3198.0,"R$ 0,65","0,74%","2,21%","4,47%","9,05%","0,74%","0,74%","0,75%","3,56%","0,87%","1,62%","-0,61%","R$ 717.331.281,51","R$ 107,27","0,79","0,61%","0,68%","1,29%","3,62%","0,00%","0,00%",6
2022-06-01,RECT11,Híbrido,"R$ 57,64",8418.0,"R$ 0,50","0,85%","2,41%","4,66%","8,99%","0,80%","0,78%","0,75%","3,90%","-5,45%","-4,64%","-12,35%","R$ 789.124.446,38","R$ 96,48","0,60","0,52%","-0,35%","0,17%","1,39%","15,10%",N/A,8
2022-06-01,RELG11,Híbrido,"R$ 75,29",2122.0,"R$ 0,97","1,26%","3,42%","6,17%","11,67%","1,14%","1,03%","0,97%","5,17%","3,62%","4,93%","0,60%","R$ 160.923.032,64","R$ 120,58","0,62","0,80%","-0,39%","0,41%","2,40%","10,40%","10,40%",3
