Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
AAZQ11,Indefinido,"9,30","656.786,07","1,01","0,12","1,28 %","3,59 %","7,94 %","10,82 %","1,20 %","1,32 %","1,55 %","10,82 %","0,00 %","1,28 %","6,79 %","230.646.828,88","9,60","0,97","1,46 %","0,00 %",2023-09-01
ABCP11,Shoppings,"68,30","61.257,11","0,74","0,50","0,70 %","2,10 %","4,32 %","8,81 %","0,70 %","0,72 %","0,73 %","5,84 %","-0,95 %","-0,25 %","2,01 %","432.552.807,00","91,82","0,74","0,65 %","-0,18 %",2023-09-01
AFHI11,Papéis,"97,25","1.211.879,04","1,01","1,05","1,07 %","3,30 %","6,75 %","13,08 %","1,10 %","1,13 %","1,09 %","7,87 %","-0,89 %","0,17 %","9,18 %","289.711.187,37","94,82","1,03","1,01 %","-0,94 %",2023-09-01
AGRX11,Outros,"10,84","226.776,22",N/A,"0,14","1,29 %","3,86 %","8,60 %","15,81 %","1,29 %","1,43 %","1,32 %","11,84 %","-2,79 %","-1,53 %","18,72 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
AIEC11,Lajes Corporativas,"67,20","781.104,67","0,71","0,76","1,11 %","3,27 %","7,01 %","13,33 %","1,09 %","1,17 %","1,11 %","8,48 %","-4,75 %","-3,69 %","6,79 %","456.945.283,72","102,56","0,66","0,73 %","0,24 %",2023-09-01
ALMI11,Lajes Corporativas,"773,95","43.138,12","0,38","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"225.793.787,83","2.046,78","0,38","0,00 %","-0,05 %",2023-09-01
ALZM11,Fundo de Fundos,"93,00","209.632,89","1,01","0,71","0,76 %","2,59 %","5,52 %","12,57 %","0,86 %","0,92 %","1,05 %","6,61 %","0,68 %","1,44 %","15,41 %","63.914.467,84","100,50","0,93","1,07 %","2,33 %",2023-09-01
ALZR11,Misto,"116,87","2.098.589,70","1,10","0,83","0,71 %","2,12 %","4,29 %","12,44 %","0,71 %","0,72 %","1,04 %","5,02 %","-1,15 %","-0,44 %","7,29 %","1.049.505.903,99","106,94","1,09","0,68 %","-0,03 %",2023-09-01
APTO11,Imóveis Residenciais,"9,88","50.281,07","0,94","0,10","1,01 %","3,16 %","6,72 %","13,43 %","1,05 %","1,12 %","1,12 %","9,10 %","-0,50 %","0,50 %","23,01 %","42.128.729,72","9,97","0,99","1,00 %","-0,78 %",2023-09-01
ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %",2023-09-01
AROA11,Imóveis Industriais e Logísticos,N/A,N/A,N/A,"0,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"172.335.466,72",N/A,N/A,N/A,N/A,2023-09-01
ARRI11,Papéis,"8,80","283.327,70","0,98","0,10","1,13 %","3,44 %","7,27 %","14,95 %","1,15 %","1,21 %","1,25 %","9,40 %","-4,31 %","-3,23 %","4,95 %","117.478.338,91","9,10","0,97","1,43 %","-2,15 %",2023-09-01
ARXD11,Papéis,"102,00","2.945,70","1,01","1,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"49.935.288,14",N/A,N/A,N/A,N/A,2023-09-01
ASMT11,Lajes Corporativas,"48,51","14.206,19","0,58","0,77","1,11 %","3,18 %","6,17 %","11,50 %","1,06 %","1,03 %","0,96 %","1,11 %","-5,50 %","-4,46 %","-4,46 %","85.699.208,49",N/A,N/A,N/A,N/A,2023-09-01
ASRF11,Indefinido,N/A,N/A,N/A,"256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"23.993.347,80",N/A,N/A,N/A,N/A,2023-09-01
ATSA11,Shoppings,"57,50","2.403,18","0,70","0,05","0,00 %","0,13 %","0,19 %","0,99 %","0,04 %","0,03 %","0,08 %","0,07 %","0,00 %","0,00 %",N/A,"143.373.897,92","90,48","0,64","0,06 %","0,17 %",2023-09-01
AURB11,Imóveis Comerciais - Outros,N/A,N/A,N/A,"0,40","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.036.842,34",N/A,N/A,N/A,N/A,2023-09-01
BARI11,Papéis,"83,39","716.848,81","0,86","0,60","0,68 %","2,79 %","6,18 %","12,31 %","0,93 %","1,03 %","1,03 %","8,24 %","-1,76 %","-1,09 %","8,58 %","451.240.748,31","99,63","0,84","0,90 %","-0,70 %",2023-09-01
BBFI11B,Lajes Corporativas,"991,00","181.563,41","0,46","7,43","0,74 %","1,92 %","5,90 %","13,99 %","0,64 %","0,98 %","1,17 %","8,49 %","-10,93 %","-10,27 %","-45,10 %","279.197.329,42","2.854,80","0,35","0,93 %","0,12 %",2023-09-01
BBFO11,Fundo de Fundos,"74,21","290.567,63","0,90","0,62","0,83 %","2,70 %","5,87 %","11,71 %","0,90 %","0,98 %","0,98 %","8,14 %","-1,19 %","-0,37 %","21,53 %","331.238.334,63","82,36","0,90","0,73 %","-4,19 %",2023-09-01
BBGO11,Indefinido,"91,64","485.919,15","0,84","0,92","0,98 %","4,66 %","8,50 %","14,86 %","1,55 %","1,42 %","1,24 %","10,67 %","0,00 %","0,98 %","27,11 %","392.550.389,63","98,01","0,94","1,04 %","0,08 %",2023-09-01
BBIM11,Papéis,N/A,N/A,N/A,"12,21","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"32.454.158,63","30,36",N/A,"1,42 %","-2,38 %",2023-09-01
BBPO11,Agências de Bancos,"96,00","1.906.056,44","0,96","0,90","0,92 %","2,74 %","5,80 %","12,00 %","0,91 %","0,97 %","1,00 %","7,92 %","-0,97 %","-0,06 %","23,65 %","1.589.187.534,13","100,37","0,96","0,92 %","0,06 %",2023-09-01
BBRC11,Agências de Bancos,"116,76","122.974,59","1,08","1,13","0,96 %","3,01 %","6,26 %","12,31 %","1,00 %","1,04 %","1,03 %","8,35 %","7,37 %","8,40 %","28,22 %","171.757.745,92","106,62","1,10","0,93 %","-0,09 %",2023-09-01
BCFF11,Fundo de Fundos,"75,13","3.187.901,81","0,97","0,56","0,74 %","2,32 %","4,92 %","9,81 %","0,77 %","0,82 %","0,82 %","5,81 %","5,19 %","5,97 %","22,25 %","1.950.882.562,14","75,57","0,99","0,74 %","-3,03 %",2023-09-01
BCIA11,Fundo de Fundos,"102,15","808.821,81","0,93","0,83","0,80 %","2,38 %","5,17 %","10,43 %","0,79 %","0,86 %","0,87 %","7,03 %","-2,36 %","-1,58 %","30,61 %","409.523.791,73","101,16","1,01","0,75 %","-5,66 %",2023-09-01
BCRI11,Papéis,"71,40","641.179,48","0,72","0,80","1,13 %","2,95 %","6,08 %","12,06 %","0,98 %","1,01 %","1,01 %","7,93 %","-7,09 %","-6,04 %","-19,50 %","619.928.797,11","100,74","0,71","0,99 %","-0,93 %",2023-09-01
BDIF11,Fundo de Desenvolvimento,"97,79","1.512.607,59",N/A,"1,25","1,33 %","4,00 %","7,75 %","15,99 %","1,33 %","1,29 %","1,33 %","8,93 %","0,26 %","1,59 %","16,32 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
BICE11,Fundo de Fundos,"980,00","27.531,00","0,99","7,88","0,00 %","1,79 %","1,79 %","3,09 %","0,60 %","0,30 %","0,26 %","3,09 %","0,00 %","0,00 %",N/A,"89.018.475,76","1.017,80","0,96","1,57 %","5,06 %",2023-09-01
BICR11,Papéis,"87,12","1.211,95","0,86","0,52","0,57 %","1,41 %","2,43 %","6,75 %","0,47 %","0,41 %","0,56 %","3,97 %","0,00 %","0,00 %",N/A,"50.897.643,19","99,22","0,88","1,11 %","-1,64 %",2023-09-01
BIDB11,Fundo de Desenvolvimento,"88,22","158.760,26",N/A,"0,72","0,80 %","2,17 %","5,68 %","11,57 %","0,72 %","0,95 %","0,96 %","8,01 %","2,30 %","3,12 %","11,16 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
BIME11,Indefinido,"7,41","57.155,30","0,84","0,08","1,06 %","3,09 %","6,91 %","12,00 %","1,03 %","1,15 %","1,00 %","9,02 %","-3,93 %","-2,92 %","7,68 %","51.644.433,24","9,01","0,82","0,67 %","-0,71 %",2023-09-01
BIPD11,Indefinido,N/A,N/A,N/A,"10,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"48.311.723,30",N/A,N/A,N/A,N/A,2023-09-01
BLCA11,Indefinido,"128,00","1.072,69","0,94","0,57","0,00 %","0,41 %","0,41 %","2,28 %","0,14 %","0,07 %","0,19 %","1,04 %","0,00 %","0,00 %",N/A,"217.802.295,64","89,26","1,43","0,63 %","-0,32 %",2023-09-01
BLCP11,Imóveis Industriais e Logísticos,"91,00","103.127,50","0,81","0,56","0,63 %","1,24 %","2,39 %","4,92 %","0,41 %","0,40 %","0,41 %","3,64 %","0,00 %","0,00 %",N/A,"256.580.339,90","111,74","0,81","0,50 %","-0,02 %",2023-09-01
BLMC11,Papéis,"82,45","14.872,08","0,82","0,79","0,94 %","3,17 %","6,76 %","12,64 %","1,06 %","1,13 %","1,05 %","7,81 %","3,04 %","4,01 %","14,76 %","40.097.779,50","96,52","0,85","0,69 %","-1,69 %",2023-09-01
BLMG11,Imóveis Industriais e Logísticos,"60,95","593.847,00","0,70","0,70","1,03 %","3,13 %","6,64 %","12,59 %","1,04 %","1,11 %","1,05 %","7,76 %","-0,04 %","0,99 %","-5,04 %","333.768.702,70","91,33","0,67","0,88 %","-2,57 %",2023-09-01
BLMO11,Lajes Corporativas,"18.898,00","344.904,00","0,57","102,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"126.764.811,09","29.561,52","0,64","0,09 %","0,22 %",2023-09-01
BLMR11,Fundo de Fundos,"7,23","398.499,70","0,89","0,06","0,83 %","2,47 %","5,30 %","11,25 %","0,82 %","0,88 %","0,94 %","7,37 %","-3,85 %","-3,05 %","12,58 %","207.511.287,43","7,82","0,92","0,95 %","-5,66 %",2023-09-01
BLUR11,Papéis,"100,00","1.785,07","1,05","1,03","1,02 %","1,02 %","2,13 %","5,18 %","0,34 %","0,36 %","0,43 %","2,13 %","0,00 %","0,00 %",N/A,"8.580.360,32",N/A,N/A,N/A,N/A,2023-09-01
BMLC11,Lajes Corporativas,"105,07","37.985,74","0,95","0,76","0,73 %","4,97 %","7,08 %","11,77 %","1,66 %","1,18 %","0,98 %","7,72 %","0,62 %","1,35 %","12,30 %","110.629.236,31","109,14","0,96","0,81 %","-0,05 %",2023-09-01
BNFS11,Agências de Bancos,"122,06","131.920,70","1,33","1,49","1,22 %","3,71 %","7,58 %","14,64 %","1,24 %","1,26 %","1,22 %","9,77 %","0,10 %","1,32 %","9,79 %","64.243.804,66","99,22","1,23","1,55 %","-0,03 %",2023-09-01
BODB11,Indefinido,"9,71","527.039,63",N/A,"0,11","1,13 %","3,09 %","6,19 %","13,00 %","1,03 %","1,03 %","1,08 %","10,11 %","-0,10 %","1,03 %","14,94 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
BPFF11,Fundo de Fundos,"72,88","360.460,48","0,93","0,62","0,84 %","2,58 %","5,56 %","11,34 %","0,86 %","0,93 %","0,95 %","7,53 %","0,59 %","1,43 %","23,64 %","351.989.535,10","74,28","0,98","0,83 %","-5,10 %",2023-09-01
BPLC11,Misto,N/A,N/A,N/A,"14,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"317.118.954,13",N/A,N/A,N/A,N/A,2023-09-01
BPML11,Shoppings,"76,40","262.018,96","0,58","0,27","0,46 %","1,37 %","2,74 %","5,34 %","0,46 %","0,46 %","0,45 %","0,46 %","-5,91 %","-5,48 %","-5,48 %","570.021.556,31","123,89","0,62","0,24 %","0,23 %",2023-09-01
BPRP11,Imóveis Industriais e Logísticos,"97,00","2.839,50","0,89","0,90","0,00 %","1,69 %","2,69 %","4,41 %","0,56 %","0,45 %","0,37 %","2,69 %","0,00 %","0,00 %",N/A,"147.332.908,30",N/A,N/A,N/A,N/A,2023-09-01
BRCO11,Imóveis Industriais e Logísticos,"126,29","3.387.768,26","1,05","0,87","0,69 %","2,16 %","4,07 %","8,04 %","0,72 %","0,68 %","0,67 %","6,04 %","4,21 %","4,93 %","35,80 %","1.785.988.780,45","121,55","1,04","0,58 %","2,01 %",2023-09-01
BRCR11,Lajes Corporativas,"62,88","1.723.489,74","0,62","0,45","0,67 %","2,07 %","4,53 %","9,06 %","0,69 %","0,76 %","0,76 %","5,37 %","-5,09 %","-4,45 %","16,89 %","2.680.791.488,63","100,35","0,63","0,50 %","0,15 %",2023-09-01
BREV11,Lajes Corporativas,"107,95","128.742,08","0,92","0,58","0,55 %","1,68 %","3,67 %","10,82 %","0,56 %","0,61 %","0,90 %","9,28 %","0,32 %","0,87 %","15,36 %","113.858.045,70","110,17","0,98","0,68 %","-0,12 %",2023-09-01
BRIM11,Fundo de Desenvolvimento,"1.030,22","1.020,40","0,89","28,91","0,00 %","0,00 %","0,00 %","1,41 %","0,00 %","0,00 %","0,12 %","0,00 %","0,00 %","0,00 %",N/A,"143.097.842,63",N/A,N/A,N/A,N/A,2023-09-01
BRIP11,Fundo de Desenvolvimento,"950,01","1.583,33","0,81","6,03","0,00 %","9,60 %","9,60 %","9,60 %","4,80 %","4,80 %","4,80 %","9,60 %","0,00 %","0,00 %",N/A,"254.255.052,75",N/A,N/A,N/A,N/A,2023-09-01
BRLA11,Imóveis Industriais e Logísticos,"147,95","169.913,25","0,94","1,43","0,87 %","1,57 %","2,30 %","4,55 %","0,52 %","0,38 %","0,38 %","2,30 %","0,00 %","0,00 %",N/A,"495.911.210,39","157,77","0,94","0,69 %","0,04 %",2023-09-01
BROF11,Lajes Corporativas,"67,10","993.995,00","0,63","0,53","0,76 %","2,67 %","3,61 %","3,61 %","0,89 %","1,20 %","1,20 %","3,61 %","0,00 %","0,76 %","17,21 %","1.232.813.903,40",N/A,N/A,N/A,N/A,2023-09-01
BTAG11,Indefinido,"95,77","606.909,85",N/A,"1,35","1,44 %","4,28 %","8,56 %","16,76 %","1,43 %","1,43 %","1,40 %","10,01 %","-0,69 %","0,74 %","10,82 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
BTAL11,Imóveis Industriais e Logísticos,"90,09","873.328,67","0,86","0,73","0,80 %","2,34 %","5,09 %","10,32 %","0,78 %","0,85 %","0,86 %","6,02 %","-5,78 %","-5,02 %","2,62 %","625.743.281,02","105,89","0,85","0,78 %","-0,43 %",2023-09-01
BTCI11,Papéis,"9,72","2.269.303,19","0,94","0,10","1,07 %","3,25 %","6,76 %","10,55 %","1,08 %","1,13 %","0,88 %","7,97 %","-1,25 %","-0,19 %","14,53 %","1.024.811.117,16",N/A,N/A,N/A,N/A,2023-09-01
BTCR11,Papéis,"88,00","652.774,65","0,92","0,90","0,98 %","2,90 %","6,61 %","13,52 %","0,97 %","1,10 %","1,13 %","11,55 %","-5,96 %","-5,04 %","11,14 %","458.252.683,73","95,27","0,92","0,94 %","0,64 %",2023-09-01
BTLG11,Imóveis Industriais e Logísticos,"104,53","6.806.056,59","1,06","0,76","0,74 %","2,20 %","4,50 %","8,97 %","0,73 %","0,75 %","0,75 %","5,29 %","-1,06 %","-0,33 %","10,10 %","2.067.981.417,09","99,19","1,05","0,75 %","0,09 %",2023-09-01
BTRA11,Indefinido,"72,45","631.685,33","0,61","0,56","0,75 %","2,39 %","5,55 %","11,40 %","0,80 %","0,93 %","0,95 %","6,68 %","-11,56 %","-10,90 %","-5,76 %","400.439.049,61","103,62","0,70","0,82 %","0,53 %",2023-09-01
BTSG11,Imóveis Industriais e Logísticos,"139,08","1.321,00","1,01","0,92","0,00 %","0,00 %","1,73 %","1,73 %","0,00 %","0,29 %","0,14 %","1,73 %","0,00 %","0,00 %",N/A,"106.746.178,22","133,34","1,04","0,65 %","0,00 %",2023-09-01
BTSI11,Misto,"104,00","45.700,00","0,85","0,73","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"257.872.154,20",N/A,N/A,N/A,N/A,2023-09-01
BTWR11,Fundo de Desenvolvimento,"107,00","428,00","0,96","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"90.558.210,00","111,90","0,96","0,38 %","0,23 %",2023-09-01
BZEL11,Misto,N/A,N/A,N/A,"0,08",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"415.436.735,50",N/A,N/A,N/A,N/A,2023-09-01
CACR11,Papéis,"104,90","650.231,56","1,01","1,43","1,35 %","4,19 %","8,42 %","16,86 %","1,40 %","1,40 %","1,41 %","11,08 %","-1,73 %","-0,40 %","14,25 %","186.873.763,85","103,41","1,01","1,37 %","-0,05 %",2023-09-01
CARE11,Misto,"1,82","9.974,30","0,22","0,01","0,23 %","0,67 %","1,36 %","2,92 %","0,22 %","0,23 %","0,32 %","1,36 %","-2,63 %","-2,41 %","-7,39 %","297.666.193,03","1,60","1,13","0,10 %","-0,24 %",2023-09-01
CBOP11,Lajes Corporativas,"31,88","61.531,96","0,43","0,12","0,37 %","1,02 %","1,99 %","7,28 %","0,34 %","0,33 %","0,61 %","2,53 %","-9,95 %","-9,62 %","-35,38 %","104.424.568,13","74,79","0,43","0,66 %","-0,60 %",2023-09-01
CCME11,Indefinido,"108,85","17.642,00","1,07","0,90","0,00 %","0,00 %","0,00 %","1,66 %","0,00 %","0,00 %","0,18 %","0,00 %","0,00 %","0,00 %",N/A,"306.443.211,76",N/A,N/A,N/A,N/A,2023-09-01
CCRF11,Papéis,"98,67","594.693,00","1,00","1,08","1,14 %","3,84 %","5,84 %","9,67 %","1,28 %","0,97 %","0,81 %","7,44 %","8,03 %","9,27 %","16,09 %","154.570.326,66","96,46","1,02","0,57 %","-1,87 %",2023-09-01
CDII11,Indefinido,"105,88","761.537,78",N/A,"1,19","1,11 %","5,74 %","6,83 %","6,83 %","1,91 %","2,28 %","2,28 %","6,83 %","-0,79 %","0,31 %","7,74 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
CEOC11,Lajes Corporativas,"51,55","111.351,44","0,66","0,65","1,02 %","3,13 %","6,75 %","12,43 %","1,04 %","1,13 %","1,04 %","7,96 %","-0,79 %","0,22 %","28,37 %","142.200.308,68","89,76","0,57","0,55 %","-0,08 %",2023-09-01
CFHI11,Fundo de Desenvolvimento,N/A,N/A,N/A,"36,51","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"61.416.447,92",N/A,N/A,N/A,N/A,2023-09-01
CJCT11,Lajes Corporativas,"67,99","34.198,40","1,03","0,08","0,12 %","0,87 %","24,98 %","25,18 %","0,29 %","4,16 %","2,10 %","20,45 %","4,62 %","4,74 %","51,92 %","207.716.568,66","57,90","1,17","0,00 %","0,58 %",2023-09-01
CNES11,Lajes Corporativas,"25,85","14.261,28","0,28","0,07","0,27 %","0,87 %","1,79 %","4,18 %","0,29 %","0,30 %","0,35 %","2,22 %","-0,36 %","-0,09 %","-8,04 %","267.683.433,14","89,50","0,29","0,12 %","2,57 %",2023-09-01
CORM11,Lajes Corporativas,N/A,N/A,N/A,"0,77","0,90 %","2,76 %","5,35 %","11,38 %","0,92 %","0,89 %","0,95 %","6,20 %","-2,97 %","-2,10 %","-4,27 %",N/A,"90,56",N/A,"0,89 %","-2,33 %",2023-09-01
CPFF11,Fundo de Fundos,"77,53","416.513,22","0,92","0,70","0,92 %","2,60 %","4,53 %","9,45 %","0,87 %","0,76 %","0,79 %","5,16 %","1,66 %","2,59 %","23,87 %","214.439.976,69","78,73","0,98","0,76 %","-2,56 %",2023-09-01
CPFO11,Fundo de Fundos,N/A,N/A,N/A,"11,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"89.099.931,59",N/A,N/A,N/A,N/A,2023-09-01
CPSH11,Indefinido,"119,00","17.251,46","1,03","1,10","0,95 %","1,91 %","1,91 %","1,91 %","1,91 %","1,91 %","1,91 %","1,91 %","1,84 %","2,81 %","2,81 %","259.904.912,03",N/A,N/A,N/A,N/A,2023-09-01
CPTI11,Fundo de Desenvolvimento,"102,89","594.496,11",N/A,"1,50","1,44 %","3,57 %","6,44 %","12,39 %","1,19 %","1,07 %","1,03 %","8,39 %","2,05 %","3,52 %","15,02 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
CPTR11,Indefinido,"96,99","1.368.702,22","0,97","1,20","1,22 %","3,98 %","8,25 %","16,94 %","1,33 %","1,38 %","1,41 %","9,73 %","0,82 %","2,05 %","9,57 %","407.099.622,50","98,38","0,99","1,37 %","-0,31 %",2023-09-01
CPTS11,Papéis,"89,63","6.589.175,96","0,99","0,89","1,01 %","3,06 %","6,00 %","11,41 %","1,02 %","1,00 %","0,95 %","6,96 %","0,61 %","1,62 %","16,25 %","2.891.181.369,43","89,93","1,00","0,41 %","-1,83 %",2023-09-01
CRAA11,Indefinido,"102,64","201.011,48","1,01","1,36","1,33 %","3,98 %","8,51 %","8,51 %","1,33 %","1,70 %","1,70 %","8,51 %","-1,01 %","0,30 %","7,16 %","50.166.549,21","101,38","1,01","1,23 %","0,00 %",2023-09-01
CRFF11,Fundo de Fundos,"82,03","43.440,89","0,91","0,63","0,76 %","2,33 %","5,08 %","10,43 %","0,78 %","0,85 %","0,87 %","6,96 %","3,63 %","4,42 %","37,83 %","62.362.307,70","84,58","0,97","0,74 %","-5,68 %",2023-09-01
CSMC11,Indefinido,N/A,N/A,N/A,"20,67","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"551.123.998,20",N/A,N/A,N/A,N/A,2023-09-01
CTXT11,Lajes Corporativas,"12,16","1.483,93","0,38","0,01","0,04 %","0,64 %","1,14 %","4,78 %","0,21 %","0,19 %","0,40 %","1,01 %","1,00 %","1,04 %","-48,00 %","107.894.241,20","48,33","0,25","0,19 %","-0,10 %",2023-09-01
CVBI11,Papéis,"94,50","2.387.925,26","0,98","0,85","0,89 %","3,24 %","6,74 %","12,25 %","1,08 %","1,12 %","1,02 %","7,96 %","2,04 %","2,95 %","13,06 %","1.063.338.891,97","93,28","1,01","0,80 %","-1,50 %",2023-09-01
CVPR11,Indefinido,N/A,N/A,N/A,"0,80","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"14.081.160,90",N/A,N/A,N/A,N/A,2023-09-01
CXAG11,Agências de Bancos,"82,64","125.620,96","0,72","0,71","0,85 %","2,64 %","5,57 %","11,55 %","0,88 %","0,93 %","0,96 %","7,51 %","-4,57 %","-3,76 %","17,56 %","241.567.834,64","114,82","0,72","0,65 %","0,04 %",2023-09-01
CXCE11B,Lajes Corporativas,"42,20","32.621,85","0,65","0,42","0,96 %","2,87 %","5,86 %","12,04 %","0,96 %","0,98 %","1,00 %","7,89 %","-0,55 %","0,41 %","12,86 %","111.854.473,67","64,79","0,65","0,70 %","-0,04 %",2023-09-01
CXCI11,Indefinido,"90,11","83.049,37","0,92","0,85","0,95 %","3,00 %","6,26 %","12,44 %","1,00 %","1,04 %","1,04 %","7,32 %","5,96 %","6,97 %","25,22 %","200.740.763,05","94,33","0,96","0,88 %","-4,41 %",2023-09-01
CXCO11,Lajes Corporativas,"79,85","223.241,74","0,81","0,74","0,87 %","3,40 %","6,52 %","12,45 %","1,13 %","1,09 %","1,04 %","8,58 %","-1,14 %","-0,28 %","30,03 %","388.964.047,75","96,60","0,83","0,75 %","0,03 %",2023-09-01
CXRI11,Fundo de Fundos,"82,02","40.166,33","0,90","0,57","0,67 %","2,16 %","4,75 %","9,82 %","0,72 %","0,79 %","0,82 %","6,54 %","7,13 %","7,85 %","43,77 %","144.265.006,25","83,61","0,98","0,66 %","-5,52 %",2023-09-01
CXTL11,Imóveis Industriais e Logísticos,"294,00","14.174,11","0,71","1,99","0,67 %","1,89 %","9,30 %","22,72 %","0,63 %","1,55 %","1,89 %","26,47 %","-6,35 %","-5,72 %","-12,95 %","22.235.708,87","686,89","0,43","0,20 %","-1,86 %",2023-09-01
CYCR11,Indefinido,"9,33","306.637,78","0,95","0,10","1,06 %","3,38 %","7,03 %","14,16 %","1,13 %","1,17 %","1,18 %","9,38 %","3,07 %","4,16 %","15,68 %","160.669.268,87","95,07","0,10","0,11 %","-0,69 %",2023-09-01
DAMT11B,Shoppings,"17,41","853,07","1,32","0,08","0,47 %","1,29 %","2,91 %","5,74 %","0,43 %","0,49 %","0,64 %","4,70 %","-10,11 %","-9,69 %","15,05 %","96.266.043,23",N/A,N/A,N/A,N/A,2023-09-01
DCRA11,Misto,"9,33","319.758,59",N/A,"0,12","1,29 %","3,92 %","8,06 %","15,40 %","1,31 %","1,34 %","1,28 %","10,57 %","-2,82 %","-1,56 %","12,03 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
DEVA11,Papéis,"49,69","2.200.364,41","0,52","0,50","0,91 %","2,81 %","6,87 %","12,48 %","0,94 %","1,15 %","1,04 %","8,11 %","-13,06 %","-12,27 %","-35,23 %","1.351.401.436,46","101,34","0,49","0,89 %","0,14 %",2023-09-01
DLMT11,Varejo,N/A,N/A,N/A,"0,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"8.509.714,12",N/A,N/A,N/A,N/A,2023-09-01
DPRO11,Indefinido,"94,69","2.282,82","0,98","0,80","0,83 %","0,83 %","2,48 %","9,37 %","0,28 %","0,41 %","0,85 %","3,40 %","0,00 %","0,00 %",N/A,"35.963.741,09",N/A,N/A,N/A,N/A,2023-09-01
DRIT11B,Lajes Corporativas,"92,90","729,07","0,70","0,29","0,31 %","1,87 %","3,79 %","6,25 %","0,62 %","0,63 %","0,52 %","4,84 %","-8,76 %","-8,48 %","-25,42 %","61.446.184,81","125,65","0,74","0,53 %","-0,20 %",2023-09-01
DVFF11,Fundo de Fundos,"85,97","128.131,56","0,89","0,80","0,93 %","2,85 %","6,01 %","12,11 %","0,95 %","1,00 %","1,01 %","7,01 %","2,71 %","3,66 %","28,85 %","105.791.331,18","91,56","0,94","0,93 %","-4,01 %",2023-09-01
EDFO11B,Lajes Corporativas,"196,98","4.709,07","1,09","1,76","0,00 %","1,84 %","4,43 %","9,49 %","0,61 %","0,74 %","0,79 %","6,13 %","0,00 %","0,00 %",N/A,"42.649.779,25","191,82","1,03","0,86 %","-0,03 %",2023-09-01
