Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-01-01,RDPD11,Títulos e Val. Mob.,"88,00",77.0,"R$ 0,4300","0,4778%","1,3093%","2,5074%","0,0000%","0,4364%","0,4179%","0,0000%","3,1727%","0,6149%","1,0956%","-7,1058%","R$ 104.848.606,41","R$ 97,26","0,9048","0,4421%","0,0405%","0,4828%","3,1142%",N/A,N/A,0
2019-01-01,VTLT11,Logística,"100,00",310.0,"R$ 1,4067","1,4002%","2,7164%","4,6982%","0,0000%","0,9055%","0,7830%","0,0000%","5,3621%","-0,1491%","1,2490%","5,9697%","R$ 205.210.319,08","R$ 97,03","1,0306","1,4498%","-3,6949%","-2,2987%","1,7136%",N/A,N/A,0
2019-01-01,HGRU11,Híbrido,"108,35",1610.0,"R$ 0,7800","0,7436%","2,0934%","0,0000%","0,0000%","0,6978%","0,0000%","0,0000%","4,0577%","3,3498%","4,1182%","9,2292%","R$ 148.296.564,16","R$ 98,86","1,0959","0,6878%","0,0514%","0,7396%","4,8340%","0,00%","0,00%",1
2019-01-01,NVIF11B,Outros,N/A,N/A,"R$ 0,8892","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",N/A,"0,0000%","0,0000%","0,0000%","R$ 43.659.424,81","R$ 129,40",N/A,"0,6871%","-99,9616%","-99,9614%","-99,9614%",N/A,N/A,0
2019-01-01,HUSC11,Outros,"102,00",16.0,"R$ 0,9000","0,8372%","0,8372%","0,8372%","0,8372%","0,2791%","0,1395%","0,0698%","0,8372%","7,5000%","8,4000%","8,4000%","R$ 72.102.676,70","R$ 99,89","1,0211","0,9010%","-0,9374%","-0,0448%","-0,0448%",N/A,N/A,0
2019-01-01,VGIR11,Títulos e Val. Mob.,"101,00",352.0,"R$ 0,8604","0,8519%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,5719%","1,0000%","1,8604%","2,5938%","R$ 39.310.590,27","R$ 97,88","1,0319","0,7356%","-0,1061%","0,6287%","0,6287%",N/A,N/A,0
2019-01-01,KNHY11,Títulos e Val. Mob.,"108,10",1523.0,"R$ 0,3600","0,3273%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,8482%","2,3256%","2,6605%","10,9349%","R$ 411.736.153,80","R$ 102,93","1,0502",N/A,N/A,N/A,N/A,N/A,N/A,0
2019-01-01,BTCR11,Títulos e Val. Mob.,"98,43",0.0,"R$ 0,5800","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",N/A,"0,0000%","0,0000%","0,0000%","R$ 68.362.531,20","R$ 100,53","0,9791","0,6466%","-0,0342%","0,6121%","1,1938%",N/A,N/A,0
2019-01-01,XPIN11,Outros,"111,00",1369.0,"R$ 0,7700","0,6892%","1,7938%","3,1838%","3,1838%","0,5979%","0,5306%","0,2653%","3,1838%","2,4954%","3,2018%","15,3237%","R$ 190.860.513,38","R$ 115,57","0,9605","0,5105%","0,2090%","0,7206%","1,2662%","0,00%",N/A,2
2019-01-01,LVBI11,Logística,"104,00",1559.0,"R$ 0,2500","0,2381%","0,2381%","0,2381%","0,2381%","0,0794%","0,0397%","0,0198%","0,2381%","5,0000%","5,2500%","5,2500%","R$ 296.093.592,15","R$ 97,72","1,0643",N/A,N/A,N/A,N/A,N/A,N/A,0
2019-01-01,TGAR11,Outros,"122,75",6335.0,"R$ 1,1300","0,9154%","2,2695%","3,9263%","8,1500%","0,7565%","0,6544%","0,6792%","8,1500%","0,4067%","1,3257%","17,3483%","R$ 108.920.713,22","R$ 123,77","0,9917","0,8160%","-5,6246%","-4,8545%","16,4250%",N/A,N/A,0
2019-01-01,ATSA11,Shoppings,"100,18",0.0,"R$ 0,3100","0,3085%","0,4680%","0,7387%","1,4525%","0,1560%","0,1231%","0,1210%","1,4525%","0,5101%","0,8201%","-91,5026%","R$ 214.907.929,38","R$ 125,30","0,7995","0,1197%","-0,0896%","0,0300%","-89,8652%","22,30%",N/A,1
2019-01-01,HMOC11,Shoppings,"210,00",720.0,"R$ 1,1000","0,5641%","1,2642%","3,2161%","6,7453%","0,4214%","0,5360%","0,5621%","6,7453%","0,5206%","1,0877%","-13,8159%","R$ 65.135.688,11","R$ 170,50","1,2316","0,5865%","-0,7270%","-0,1447%","-13,8905%","4,10%",N/A,2
2019-01-01,VOTS11,Títulos e Val. Mob.,"97,99",140.0,"R$ 0,3500","0,3572%","0,9460%","0,0000%","0,0000%","0,3153%","0,0000%","0,0000%","1,6023%","15,2824%","15,6941%","-0,4299%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
