Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-07-01,MAXR11,"1.875,00",1.0,"R$ 6,2469","0,3617%","1,1307%","4,7694%","9,2752%","0,3769%","0,7949%","0,7729%","-2,8612%","-2,5099%","5,8947%","R$ 98.713.493,9700","R$ 1.666,1911","1,1253","0,3749%","0,3588%","0,7350%","3,3176%","0,0000%",N/A,8
2017-07-01,JRDM11,"83,95",7.0,"R$ 0,5273","0,6139%","1,9252%","4,2652%","9,7242%","0,6417%","0,7109%","0,8103%","2,3708%","2,9993%","19,8360%","R$ 185.874.617,1300","R$ 83,6121","1,0040","0,6306%","-0,1446%","0,4851%","3,0385%","1,2000%",N/A,0
2017-07-01,ALMI11,"1.893,79",2.0,"R$ 0,0000","0,0000%","0,0000%","6,1680%","13,9665%","0,0000%","1,0280%","1,1639%","-0,3145%","-0,3145%","0,1569%","R$ 204.038.916,7900","R$ 1.948,7958","0,9718","0,0000%","0,2117%","0,2117%","6,5011%","82,5000%",N/A,1
2017-07-01,TRNT11,"138,01",0.0,"R$ 0,2923","0,1867%","0,5822%","1,9865%","4,6291%","0,1941%","0,3311%","0,3858%","-0,5135%","-0,3278%","-2,4368%","R$ 663.079.004,0200","R$ 168,4839","0,8191","0,1735%","0,0060%","0,1795%","2,1890%","34,9000%",N/A,1
2017-07-01,FVBI11,"95,69",44.0,"R$ 0,3872","0,3976%","1,3602%","2,8517%","7,0640%","0,4534%","0,4753%","0,5887%","0,8960%","1,2972%","13,0779%","R$ 206.946.286,1200","R$ 96,2541","0,9941","0,4023%","0,0054%","0,4077%","2,2675%","19,0000%",N/A,1
2017-07-01,FCFL11,"2.022,00",76.0,"R$ 11,4063","0,6007%","1,7885%","3,6196%","7,3581%","0,5962%","0,6033%","0,6132%","2,6440%","3,2607%","13,1408%","R$ 243.098.859,2100","R$ 1.455,6818","1,3890","0,7836%","-0,0464%","0,7368%","4,7897%","0,0000%",N/A,1
2017-07-01,THRA11,"102,30",1310.0,"R$ 0,4590","0,4414%","1,2024%","1,2024%","1,2024%","0,4008%","0,2004%","0,1002%","3,1763%","3,6317%","28,4549%","R$ 135.239.847,0800","R$ 91,8295","1,1140","0,4998%","0,0998%","0,6001%","2,5273%","0,0000%",N/A,1
2017-07-01,CEOC11,"82,10",1552.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","7,7082%","7,7082%","22,3658%","R$ 138.697.421,3200","R$ 76,3880","1,0748","0,0000%","0,6828%","0,6828%","0,6806%","0,0000%",N/A,1
2017-07-01,GGRC11,"110,50",0.0,"R$ 0,2364","0,2247%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,6674%","0,8936%","1,4492%","R$ 149.645.146,3500","R$ 105,8455","1,0440","0,2233%","8,9441%","9,1874%","9,8340%",N/A,N/A,0
2017-07-01,HCRI11,"307,00",1.0,"R$ 2,3647","0,7986%","2,3145%","4,6690%","10,0864%","0,7715%","0,7782%","0,8405%","1,7526%","2,5652%","8,2515%","R$ 59.610.607,5200","R$ 298,0530","1,0300","0,7934%","-0,0055%","0,7879%","5,5955%","0,0000%",N/A,1
