Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-08-01,FEXC11,"96,51",0.0,"R$ 0,2900","0,3118%","0,9780%","2,9510%","7,7278%","0,3260%","0,4918%","0,6440%","2,6079%","2,9279%","-8,4071%","R$ 150.104.176,1300","R$ 102,7210","0,9395","0,2823%","0,5186%","0,8024%","5,2122%",N/A,N/A,0
2017-08-01,EDGA11,"43,00",0.0,"R$ 0,1549","0,3561%","0,7384%","1,4479%","5,0765%","0,2461%","0,2413%","0,4230%","-10,5465%","-10,2280%","-18,5178%","R$ 319.419.027,2500","R$ 83,7918","0,5132","0,1848%","0,0501%","0,2351%","1,3592%","34,8000%",N/A,1
2017-08-01,NSLU11,"226,07",0.0,"R$ 1,5655","0,6998%","2,1436%","4,0733%","8,7919%","0,7145%","0,6789%","0,7327%","4,4472%","5,1781%","16,6605%","R$ 219.686.467,7800","R$ 191,8994","1,1781",,,,,"0,0000%",N/A,1
2017-08-01,HTMX11,"114,75",0.0,"R$ 0,7028","0,5883%","2,0766%","3,0065%","5,5530%","0,6922%","0,5011%","0,4627%","-1,0434%","-0,4613%","4,0819%","R$ 164.883.900,6800","R$ 147,3546","0,7787","0,4769%","-0,2528%","0,2230%","10,6534%","35,0000%",N/A,0
2017-08-01,MAXR11,"1.810,00",0.0,"R$ 34,4730","1,8337%","2,6292%","3,6309%","8,9136%","0,8764%","0,6051%","0,7428%","8,8489%","10,8449%","17,3788%","R$ 97.888.121,5500","R$ 1.652,2596","1,0955",,,,,"0,0000%",N/A,8
2017-08-01,JRDM11,"83,00",0.0,"R$ 0,4583","0,5281%","1,7304%","3,7397%","9,1329%","0,5768%","0,6233%","0,7611%","1,0543%","1,5880%","21,7389%","R$ 186.286.991,1500","R$ 83,7976","0,9905",,,,,"1,2000%",N/A,0
2017-08-01,ALMI11,"2.140,01",0.0,"R$ 0,0000","0,0000%","0,0000%","4,8028%","12,6299%","0,0000%","0,8005%","1,0525%","6,7045%","6,7045%","6,8719%","R$ 206.312.387,9700","R$ 1.970,5099","1,0860","0,0000%","1,1142%","1,1142%","7,4604%","82,5000%",N/A,1
2017-08-01,TRNT11,"150,00",0.0,"R$ 0,4441","0,3068%","0,6849%","1,8264%","4,6076%","0,2283%","0,3044%","0,3840%","-7,5820%","-7,2984%","-9,5573%","R$ 663.159.635,5400","R$ 168,5044","0,8902","0,2636%","0,0122%","0,2757%","2,2872%","34,9000%",N/A,1
2017-08-01,FVBI11,"97,90",0.0,"R$ 0,3963","0,4030%","1,2159%","2,6642%","6,8391%","0,4053%","0,4440%","0,5699%","0,9673%","1,3742%","14,6318%","R$ 206.998.538,1200","R$ 96,2784","1,0168",,,,,"19,0000%",N/A,1
2017-08-01,FCFL11,"2.080,00",64.0,"R$ 10,7729","0,4987%","1,7055%","3,4802%","7,1993%","0,5685%","0,5800%","0,5999%","13,7628%","14,3302%","29,3540%","R$ 243.160.644,8700","R$ 1.456,0518","1,4285","0,7399%","0,0254%","0,7655%","5,5919%","0,0000%",N/A,1
2017-08-01,THRA11,"100,00",1545.0,"R$ 0,3288","0,3199%","1,1438%","1,5223%","1,5223%","0,3813%","0,2537%","0,1269%","-1,1422%","-0,8260%","27,3939%","R$ 135.359.606,3800","R$ 91,9108","1,0880","0,3577%","0,0886%","0,4466%","2,3708%","0,0000%",N/A,1
2017-08-01,CEOC11,"85,00",1205.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,6252%","1,6252%","24,3544%","R$ 137.861.149,4400","R$ 75,9274","1,1195","0,0000%","-0,6029%","-0,6029%","-0,6051%","0,0000%",N/A,1
2017-08-01,GGRC11,"118,00",0.0,"R$ 0,8668","0,7843%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","5,0637%","5,8878%","7,4222%","R$ 148.849.044,7500","R$ 105,2824","1,1208","0,8233%","-0,5320%","0,2869%","10,1491%","0,0000%","0,0000%",5
2017-08-01,OUJP11,"101,00",0.0,"R$ 0,3266","0,3003%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,1739%","1,4777%","1,4777%","R$ 72.701.944,9000","R$ 100,9749","1,0002","0,3235%","0,1442%","0,4681%","0,4681%",N/A,N/A,0
2017-08-01,HCRI11,"319,99",0.0,"R$ 2,3562","0,7826%","2,3557%","4,6271%","10,0517%","0,7852%","0,7712%","0,8376%","1,6756%","2,4713%","10,9267%","R$ 59.607.355,4400","R$ 298,0368","1,0737","0,7906%","-0,0055%","0,7851%","5,5926%","0,0000%",N/A,1
