,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
364,RBRX11,0.0,0.0,0,Indefinido,"9,07","325.516,94","0,94","0,09","0,99 %","3,44 %","6,74 %","13,37 %","1,15 %","1,12 %","1,11 %","8,74 %","1,00 %","2,00 %","11,28 %","283.980.654,61",,,,,,,0,"11,13",13.832,2024-09-01
365,RBRY11,0.0,0.0,0,Papéis,"96,45","1.516.389,34","0,99","1,00","1,05 %","3,11 %","6,15 %","12,75 %","1,04 %","1,03 %","1,06 %","8,25 %","-0,23 %","0,82 %","7,13 %","1.250.070.484,84","97,89","0,99","1,02 %","-2,00 %","-1,00 %","4,11 %",0,"7,81",59.987,2024-09-01
366,RBTS11,36.1,4.585714285714286,7,Fundo de Desenvolvimento,"699,99","4.913,20","1,03","111,46","14,33 %","26,09 %","26,09 %","35,77 %","8,70 %","4,35 %","2,98 %","33,21 %","5,11 %","20,17 %","18,65 %","39.871.283,92","754,93","0,93","5,86 %","-30,98 %","-26,94 %","-13,19 %",0,"70,44",139,2024-09-01
367,RBVA11,53.51111111111111,3.158333333333333,72,Varejo,"105,05","644.988,53","0,97","1,00","0,93 %","2,83 %","5,59 %","11,12 %","0,94 %","0,93 %","0,93 %","8,32 %","2,50 %","3,45 %","11,31 %","1.349.088.023,45","108,05","0,97","0,93 %","-1,22 %","-0,30 %","18,70 %",71,"11,29",63.287,2024-09-01
368,RBVO11,0.0,0.0,0,Papéis,"12,99","114.957,18","1,49","0,01","0,04 %","5,26 %","13,42 %","57,02 %","1,75 %","2,24 %","4,75 %","61,83 %","50,11 %","50,17 %","526,58 %","4.639.233,52","8,99","1,44","6,12 %","-48,12 %","-44,95 %","-57,38 %",0,"112,10",6.288,2024-09-01
369,RCFF11,0.0,0.0,0,Fundo de Fundos,"90,00","11.880,00","0,87","0,45","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,46 %","0,00 %","0,00 %",,"33.402.365,80","103,35","0,87","0,44 %","12,99 %","13,48 %","13,86 %",0,"341,08",82,2024-09-01
370,RCRB11,53.766666666666666,4.133333333333334,9,Lajes Corporativas,"131,74","328.840,90","0,65","0,91","0,67 %","2,01 %","3,79 %","7,08 %","0,67 %","0,63 %","0,59 %","4,96 %","-0,58 %","0,08 %","-2,82 %","756.042.653,17","204,85","0,64","0,48 %","-1,20 %","-0,72 %","8,98 %",9,"17,93",35.009,2024-09-01
371,RDPD11,0.0,0.0,0,Papéis,"22,96","98.337,21","1,06","0,30","1,32 %","6,39 %","20,10 %","48,89 %","2,13 %","3,35 %","4,07 %","29,45 %","7,36 %","8,77 %","-0,47 %","24.085.452,18","33,95","0,68","0,94 %","-37,05 %","-36,45 %","-36,01 %",0,"54,16",3.141,2024-09-01
372,RECR11,0.0,0.0,0,Papéis,"84,85","1.675.569,78","0,91","0,85","1,02 %","2,88 %","6,47 %","11,78 %","0,96 %","1,08 %","0,98 %","8,33 %","-0,16 %","0,86 %","10,29 %","2.473.241.570,76","93,54","0,91","0,87 %","-1,88 %","-1,03 %","12,64 %",1,"10,85",175.571,2024-09-01
373,RECT11,48.08888888888889,4.577777777777778,9,Lajes Corporativas,"34,76","189.082,70","0,38","0,36","1,05 %","3,19 %","6,02 %","11,49 %","1,06 %","1,00 %","0,96 %","7,84 %","-0,20 %","0,84 %","-11,73 %","785.519.893,32","91,94","0,38","0,41 %","-1,86 %","-1,46 %","0,65 %",9,"13,75",59.982,2024-09-01
374,RECX11,0.0,0.0,0,Fundo de Fundos,"64,69","2.456,95","0,88","0,60","0,91 %","1,96 %","4,85 %","9,57 %","0,65 %","0,81 %","0,80 %","6,63 %","-1,11 %","-0,21 %","8,45 %","16.087.023,37","73,69","0,88","0,81 %","-5,69 %","-4,93 %","-9,90 %",0,"25,75",619,2024-09-01
375,REIT11,0.0,0.0,0,Papéis,"109,00","7.057,00","0,38","2,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"7.546.142,63",,,,,,,0,"248,95",68,2024-09-01
376,RELG11,75.16,4.220000000000001,5,Imóveis Industriais e Logísticos,"66,63","240.134,67","0,52","0,10","0,18 %","0,24 %","0,43 %","1,00 %","0,24 %","0,43 %","0,08 %","1,00 %","2,26 %","2,45 %","-18,62 %","168.986.924,23","126,62","0,53","0,02 %","3,70 %","3,73 %","12,50 %",5,"33,09",4.988,2024-09-01
377,RFOF11,0.0,0.0,0,Fundo de Fundos,"70,02","117.689,96","0,91","0,71","1,00 %","3,03 %","6,02 %","11,87 %","1,01 %","1,00 %","0,99 %","8,95 %","0,03 %","1,03 %","5,21 %","82.402.822,45","76,43","0,92","0,96 %","-4,39 %","-3,48 %","-2,31 %",0,"13,15",4.850,2024-09-01
378,RIFF11,0.0,0.0,0,Indefinido,,,,"0,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,,,,,,,,0,,0,2024-09-01
379,RINV11,0.0,0.0,0,Indefinido,"109,20","276.772,77","1,01","1,05","0,96 %","3,32 %","6,78 %","14,23 %","1,11 %","1,13 %","1,19 %","9,20 %","-0,51 %","0,44 %","13,64 %","208.463.519,89",,,,,,,0,"7,48",2.782,2024-09-01
380,RMAI11,36.1,3.3666666666666667,3,Lajes Corporativas,"74,85","58.138,00","0,73","0,47","0,63 %","1,97 %","3,26 %","6,55 %","0,66 %","0,54 %","0,55 %","5,48 %","4,53 %","5,19 %","38,10 %","249.522.935,03","102,10","0,73","0,47 %","-5,34 %","-4,90 %","-2,78 %",2,"27,88",1.112,2024-09-01
381,RNDP11,0.0,0.0,0,Papéis,"61,01","4.184,71","0,78","0,54","0,88 %","2,55 %","4,60 %","22,44 %","0,85 %","0,77 %","1,87 %","31,86 %","-4,52 %","-3,68 %","-36,90 %","8.378.634,39","77,95","0,78","0,69 %","-59,68 %","-59,41 %","-87,34 %",0,"61,90",1.269,2024-09-01
382,RNGO11,36.1,2.1,2,Lajes Corporativas,"46,45","73.835,25","0,56","0,38","0,82 %","2,50 %","4,88 %","10,11 %","0,83 %","0,81 %","0,84 %","7,45 %","2,98 %","3,83 %","15,83 %","221.601.124,42","82,81","0,56","0,46 %","-4,42 %","-3,98 %","0,47 %",4,"13,39",9.301,2024-09-01
383,ROOF11,0.0,0.0,0,Fundo de Desenvolvimento,"702,68","727,00","1,34","12,90","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"40.583.780,96",,,,,,,60,"655,95",79,2024-09-01
384,RPRI11,0.0,0.0,0,Papéis,"91,95","138.681,61","0,92","1,00","1,09 %","3,39 %","6,70 %","12,51 %","1,13 %","1,12 %","1,04 %","9,76 %","0,33 %","1,42 %","2,69 %","346.828.854,53",,,,,,,0,"11,34",4.607,2024-09-01
385,RRCI11,0.0,0.0,0,Papéis,"77,00","42.609,67","0,84","0,85","1,11 %","3,35 %","6,52 %","13,35 %","1,12 %","1,09 %","1,11 %","9,85 %","1,10 %","2,22 %","5,40 %","44.098.966,19","91,54","0,84","0,93 %","-2,70 %","-1,80 %","9,42 %",0,"10,15",2.057,2024-09-01
386,RSPD11,0.0,0.0,0,Fundo de Desenvolvimento,"1.098,99","1.098,00","0,99","13,42","0,00 %","0,00 %","0,00 %","6,38 %","0,00 %","0,00 %","0,53 %","0,00 %","0,00 %","0,00 %",,"164.780.877,41","1.130,10","0,97","0,98 %","-1,08 %","-0,11 %","-0,11 %",0,"356,62",142,2024-09-01
387,RURA11,0.0,0.0,0,Misto,"9,92","1.289.534,66",,"0,10","1,01 %","3,09 %","6,58 %","12,93 %","1,03 %","1,10 %","1,08 %","9,66 %","4,41 %","5,46 %","4,52 %",,,,,,,,0,"11,77",0,2024-09-01
388,RVBI11,0.0,0.0,0,Fundo de Fundos,"73,96","719.759,89","0,90","0,75","1,02 %","3,08 %","5,92 %","11,39 %","1,03 %","0,99 %","0,95 %","7,77 %","1,82 %","2,86 %","0,62 %","845.946.354,42","82,32","0,90","0,91 %","-2,02 %","-1,13 %","5,03 %",0,"15,94",42.305,2024-09-01
389,RZAG11,0.0,0.0,0,Indefinido,"8,78","599.953,31","0,91","0,11","1,18 %","3,73 %","7,50 %","15,18 %","1,24 %","1,25 %","1,27 %","11,29 %","7,38 %","8,64 %","10,75 %","651.773.293,41","9,58","0,92","1,10 %","0,23 %","1,33 %","13,96 %",0,"11,89",85.428,2024-09-01
390,RZAK11,0.0,0.0,0,Papéis,"83,04","1.647.197,48","0,93","0,95","1,15 %","3,60 %","7,49 %","15,64 %","1,20 %","1,25 %","1,30 %","10,11 %","0,62 %","1,78 %","7,74 %","788.081.994,63","89,47","0,93","1,12 %","-4,52 %","-3,46 %","6,94 %",0,"12,22",50.329,2024-09-01
391,RZAT11,43.45,4.07,10,Imóveis Industriais e Logísticos,"99,28","431.144,14","0,99","1,10","1,12 %","3,50 %","6,83 %","13,53 %","1,17 %","1,14 %","1,13 %","9,21 %","0,20 %","1,33 %","20,59 %","372.609.041,12",,,,,,,13,"13,85",38.616,2024-09-01
392,RZEO11,0.0,0.0,0,Indefinido,"242,54","164.143,80","1,06","12,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"718.743.802,08","227,96","1,06","5,29 %","0,00 %","0,00 %","0,00 %",0,"517,59",149,2024-09-01
393,RZTR11,43.529411764705884,3.4529411764705884,20,Misto,"93,35","3.137.161,07","0,93","0,90","0,96 %","2,92 %","5,79 %","12,52 %","0,97 %","0,97 %","1,04 %","8,58 %","1,79 %","2,77 %","3,06 %","1.893.821.355,74","100,46","0,93","0,90 %","3,11 %","4,03 %","15,98 %",16,"13,81",125.518,2024-09-01
394,SADI11,0.0,0.0,0,Papéis,"89,12","264.962,88","0,93","0,85","0,95 %","2,92 %","6,07 %","13,08 %","0,97 %","1,01 %","1,09 %","9,46 %","0,25 %","1,20 %","18,84 %","147.546.811,36","95,27","0,94","0,94 %","-3,81 %","-2,90 %","7,69 %",0,"7,85",10.169,2024-09-01
395,SAPI11,0.0,0.0,0,Misto,"91,75","30.241,83","0,93","0,88","0,96 %","2,87 %","5,73 %","9,58 %","0,96 %","0,96 %","0,96 %","8,43 %","1,55 %","2,53 %","15,67 %","153.326.557,26",,,,,,,0,"15,33",2.751,2024-09-01
396,SARE11,18.05,2.55,4,Misto,"38,75","643.659,71","0,44","0,20","0,50 %","1,85 %","4,10 %","9,49 %","0,62 %","0,68 %","0,79 %","6,73 %","-0,81 %","-0,32 %","-7,72 %","813.570.933,55","88,10","0,44","0,34 %","-6,64 %","-6,33 %","-3,63 %",3,"23,71",38.606,2024-09-01
397,SCPF11,119.9,4.3,1,Shoppings,"2,64","12.348,96","0,22","0,05","1,06 %","0,00 %","0,00 %","2,89 %","0,00 %","0,00 %","0,24 %","1,45 %","-8,99 %","-8,03 %","-12,36 %","49.735.132,25","11,84","0,22","0,38 %","1,11 %","1,49 %","-3,03 %",1,"18,54",4.800,2024-09-01
398,SDIL11,50.95,2.85,5,Imóveis Industriais e Logísticos,"96,50","1.030.917,86","1,01","0,75","0,76 %","2,49 %","5,22 %","10,27 %","0,83 %","0,87 %","0,86 %","6,12 %","2,04 %","2,82 %","10,51 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %","0,61 %","9,86 %",5,"14,97",63.292,2024-09-01
399,SEED11,0.0,0.0,0,Indefinido,"99,02","776.595,00","1,06","0,98","0,00 %","0,00 %","0,00 %","1,67 %","0,00 %","0,00 %","0,14 %","0,00 %","0,00 %","0,00 %",,"152.592.725,39",,,,,,,0,"78,47",125,2024-09-01
400,SEQR11,21.660000000000004,2.56,5,Misto,"51,78","111.368,29","0,56","0,58","1,12 %","3,34 %","6,66 %","13,99 %","1,11 %","1,11 %","1,17 %","9,11 %","2,48 %","3,63 %","-0,56 %","154.058.178,52","92,49","0,56","0,62 %","-1,35 %","-0,74 %","5,08 %",4,"12,32",5.320,2024-09-01
401,SHOP11,112.6,4.2,1,Shoppings,"67,99","510,00","1,67","6,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"60.187.072,49",,,,,,,1,"35,54",68,2024-09-01
402,SHPH11,36.1,4.6,1,Shoppings,"895,00","60.777,29","0,98","4,50","0,50 %","1,82 %","3,41 %","6,64 %","0,61 %","0,57 %","0,55 %","5,02 %","1,52 %","2,03 %","17,62 %","561.915.113,24","922,76","0,97","0,76 %","3,20 %","3,98 %","9,10 %",1,"23,09",2.304,2024-09-01
403,SHSO11,0.0,0.0,0,Indefinido,,,,"0,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"19.769.049,00",,,,,,,0,,1,2024-09-01
404,SIGR11,0.0,0.0,0,Indefinido,"99,90","100,00","0,99","1,30","0,00 %","0,00 %","0,00 %","1,32 %","0,00 %","0,00 %","0,11 %","1,32 %","0,00 %","0,00 %",,"39.342.650,30",,,,,,,0,"20,40",135,2024-09-01
405,SJAU11,0.0,0.0,0,Imóveis Industriais e Logísticos,"57,52","4.802,22","0,95","11,88","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"498.713.541,44",,,,,,,0,"79,95",198,2024-09-01
406,SMRE11,0.0,0.0,0,Incorporações,"100,00","105.870,58","0,97","1,05","1,05 %","3,29 %","4,39 %","4,39 %","1,10 %","1,46 %","1,46 %","4,39 %","1,27 %","2,33 %","5,65 %","46.132.937,91",,,,,,,0,"12,00",2,2024-09-01
407,SNAG11,0.0,0.0,0,Papéis,"10,22","1.677.707,76","1,02","0,10","0,97 %","2,99 %","6,17 %","12,68 %","1,00 %","1,03 %","1,06 %","8,29 %","2,80 %","3,80 %","12,54 %","504.465.342,43","10,09","1,01","0,99 %","-90,04 %","-89,94 %","-89,61 %",0,"5,33",101.417,2024-09-01
408,SNCI11,0.0,0.0,0,Papéis,"96,70","585.577,06","0,99","1,00","1,03 %","3,12 %","5,96 %","12,04 %","1,04 %","0,99 %","1,00 %","7,92 %","1,70 %","2,75 %","7,79 %","413.825.773,67","98,53","0,98","1,01 %","1,16 %","2,19 %","12,29 %",0,"7,52",41.677,2024-09-01
409,SNEL11,0.0,0.0,0,Fundo de Desenvolvimento,"9,19","673.386,60","1,27","0,10","1,08 %","3,32 %","6,79 %","10,54 %","1,11 %","1,13 %","1,17 %","9,25 %","-0,65 %","0,43 %","26,81 %","136.089.107,35",,,,,,,0,"20,09",10.613,2024-09-01
410,SNFF11,0.0,0.0,0,Fundo de Fundos,"90,50","566.180,46","1,02","1,00","1,13 %","3,57 %","6,73 %","12,08 %","1,19 %","1,12 %","1,01 %","8,32 %","2,10 %","3,26 %","11,31 %","253.214.567,14","89,48","1,01","1,23 %","1,10 %","2,34 %","4,05 %",0,"14,40",29.949,2024-09-01
411,SNID11,0.0,0.0,0,Indefinido,"10,48","128.941,06",,"0,10","0,10 %","0,30 %","0,61 %","1,30 %","0,30 %","0,61 %","0,11 %","0,83 %","2,58 %","2,69 %","2,50 %",,,,,,,,0,"90,86",0,2024-09-01
412,SNLG11,26.733333333333334,2.766666666666667,6,Imóveis Industriais e Logísticos,"34,32","23.117,76","0,87","0,36","1,11 %","2,98 %","2,98 %","2,98 %","0,99 %","0,50 %","0,25 %","2,98 %","3,29 %","4,43 %","-2,87 %","65.477.185,63",,,,,,,2,"35,44",3.730,2024-09-01
413,SNME11,0.0,0.0,0,Indefinido,"9,65","40.362,25","1,01","0,10","1,04 %","3,20 %","6,53 %","8,94 %","1,07 %","1,09 %","1,12 %","8,94 %","0,95 %","2,00 %","1,08 %","71.157.908,91",,,,,,,0,"31,92",3.284,2024-09-01
414,SOLR11,0.0,0.0,0,Imóveis Comerciais - Outros,"1.051,35","4.931.882,00","1,13","4,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"60.005.338,77",,,,,,,1,"659,58",55,2024-09-01
415,SPDE11,0.0,0.0,0,Indefinido,"1.237,90","87.890,50","1,16","8,93","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"97.412.051,70",,,,,,,0,"79,50",114,2024-09-01
416,SPMO11,0.0,0.0,0,Indefinido,"144,00","335.334,00","1,04","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"250.558.449,31",,,,,,,0,"78,76",13,2024-09-01
417,SPTW11,36.1,4.2,1,Lajes Corporativas,"40,11","74.403,21","0,70","0,40","1,00 %","3,02 %","6,01 %","13,03 %","1,01 %","1,00 %","1,09 %","9,62 %","-0,54 %","0,45 %","9,06 %","103.214.406,85","57,41","0,70","0,73 %","3,00 %","3,75 %","19,13 %",1,"13,44",22.786,2024-09-01
418,SPVJ11,0.0,0.0,0,Shoppings,,,,"0,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"705.919.069,23","111,84",,"0,53 %","-3,79 %","-3,27 %","12,40 %",14,,25,2024-09-01
419,SPXS11,0.0,0.0,0,Indefinido,"9,31","422.533,72","0,97","0,10","1,07 %","3,15 %","6,24 %","12,75 %","1,05 %","1,04 %","1,06 %","8,25 %","-0,43 %","0,63 %","15,44 %","192.025.573,58",,,,,,,0,"14,39",18.571,2024-09-01
420,SRVD11,0.0,0.0,0,Indefinido,"3,00","233,91","583,00","0,20","2,29 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,30 %","-9,79 %","-7,73 %","-7,73 %","-1.046.744,78","1,19","2,53","16,87 %","-0,11 %","16,74 %","25,64 %",0,"375,98",108,2024-09-01
421,STRX11,58.650000000000006,4.5,2,Fundo de Desenvolvimento,"162,00","1.120,00","1,10","0,81","0,00 %","0,00 %","0,00 %","0,47 %","0,00 %","0,00 %","0,47 %","0,47 %","0,00 %","0,00 %",,"237.425.443,65","147,14","1,10","0,55 %","-0,80 %","-0,25 %","11,84 %",3,"5,25",61,2024-09-01
422,TCPF11,0.0,0.0,2,Misto,"39,53",,"0,36","1,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"32.537.853,78",,,,,,,0,,52,2024-09-01
423,TEPP11,36.1,3.5799999999999996,5,Lajes Corporativas,"88,61","368.173,96","0,91","0,78","0,88 %","3,08 %","6,55 %","11,07 %","1,03 %","1,09 %","0,92 %","8,98 %","-0,37 %","0,51 %","7,31 %","413.345.739,34","97,90","0,91","1,21 %","2,28 %","3,51 %","15,53 %",5,"11,63",29.273,2024-09-01
424,TGAR11,0.0,0.0,0,Fundo de Desenvolvimento,"118,00","3.649.491,58","1,03","1,12","0,94 %","3,10 %","6,38 %","13,31 %","1,03 %","1,06 %","1,11 %","9,70 %","0,89 %","1,84 %","11,80 %","2.703.058.107,89","114,69","1,03","1,16 %","-10,24 %","-9,20 %","1,24 %",9,"10,18",178.051,2024-09-01
425,TJKB11,30.083333333333332,3.1999999999999997,6,Indefinido,"283,00","5.871,46","1,04","2,36","0,00 %","0,00 %","0,86 %","1,83 %","0,00 %","0,86 %","0,15 %","0,86 %","0,00 %","0,00 %",,"208.160.526,98",,,,,,,7,"277,97",110,2024-09-01
426,TMPS11,0.0,0.0,0,Fundo de Fundos,"93,80","130.725,75","0,93","0,82","0,88 %","3,14 %","6,18 %","12,19 %","1,05 %","1,03 %","1,02 %","9,34 %","-1,92 %","-1,06 %","12,48 %","98.483.834,78",,,,,,,0,"16,22",1.985,2024-09-01
427,TORD11,0.0,0.0,0,Misto,"1,18","32.333,82","0,09","0,05","0,90 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,44 %","-24,53 %","-23,85 %","-24,46 %","446.752.947,38","13,94","0,08","0,36 %","8,23 %","8,62 %","12,48 %",1,"31,67",79.064,2024-09-01
428,TRBL11,31.075000000000003,4.025,5,Imóveis Industriais e Logísticos,"96,60","214.434,58","0,96","0,85","0,88 %","2,62 %","5,21 %","9,97 %","0,87 %","0,87 %","0,83 %","7,71 %","-1,52 %","-0,65 %","9,61 %","777.430.112,19",,,,,,,5,"11,64",59.817,2024-09-01
429,TRNT11,36.1,4.2,1,Lajes Corporativas,"100,01","13.820,10","0,53","0,07","0,06 %","0,06 %","0,53 %","1,40 %","0,06 %","0,53 %","0,12 %","0,71 %","0,00 %","0,00 %",,"792.133.728,99","197,64","0,51","0,04 %","0,38 %","0,42 %","-0,87 %",1,"45,31",625,2024-09-01
430,TRXB11,67.07272727272728,4.245454545454546,11,Fundo de Desenvolvimento,"145,29","2.658,35","1,36","1,00","0,71 %","2,02 %","4,09 %","8,48 %","0,67 %","0,68 %","0,71 %","6,12 %","2,09 %","2,81 %","5,47 %","359.401.470,33",,,,,,,15,"68,68",271,2024-09-01
431,TRXF11,55.551785714285714,4.241071428571429,56,Imóveis Comerciais - Outros,"105,34","4.364.374,21","0,99","0,93","0,88 %","2,79 %","5,31 %","11,04 %","0,93 %","0,89 %","0,92 %","8,51 %","0,07 %","0,95 %","8,29 %","2.123.489.241,89","105,99","0,99","0,99 %","0,51 %","1,51 %","17,79 %",31,"6,14",176.363,2024-09-01
432,TSER11,36.1,5.0,1,Lajes Corporativas,"98,18","64.000,00","0,99","0,90","0,91 %","0,91 %","0,91 %","3,73 %","0,91 %","0,91 %","0,31 %","1,88 %","0,00 %","0,00 %",,"127.834.024,65",,,,,,,1,"354,88",28,2024-09-01
433,TVRI11,50.458333333333336,3.45,61,Agências de Bancos,"102,60","1.019.820,79","1,01","0,98","0,96 %","2,89 %","5,75 %","11,55 %","0,96 %","0,96 %","0,96 %","8,62 %","1,55 %","2,53 %","21,90 %","1.617.767.163,16",,,,,,,62,"14,53",67.235,2024-09-01
434,URHF11,0.0,0.0,0,Outros,"110,00","8.305,00","1,11","1,30","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","1,18 %","0,00 %","0,00 %",,"10.986.836,69",,,,,,,0,"375,36",49,2024-09-01
435,URPR11,0.0,0.0,0,Papéis,"81,32","1.663.453,97","0,80","1,00","1,22 %","3,74 %","7,49 %","15,35 %","1,25 %","1,25 %","1,28 %","11,36 %","1,14 %","2,37 %","11,80 %","1.193.407.508,18","101,71","0,80","1,01 %","2,93 %","3,98 %","28,71 %",0,"11,66",83.615,2024-09-01
436,VCJR11,0.0,0.0,0,Papéis,"91,70","589.129,63","0,96","0,80","0,87 %","2,98 %","6,30 %","12,01 %","0,99 %","1,05 %","1,00 %","9,41 %","1,39 %","2,28 %","15,61 %","1.404.205.018,22","95,37","0,96","0,94 %","1,19 %","2,14 %","15,19 %",0,"11,77",33.805,2024-09-01
437,VCRA11,0.0,0.0,0,Indefinido,"77,65","720.681,77","0,76","1,00","1,25 %","3,99 %","8,47 %","16,15 %","1,33 %","1,41 %","1,35 %","12,49 %","5,44 %","6,75 %","5,81 %","479.733.552,19","104,43","0,74","0,96 %","2,00 %","2,97 %","4,48 %",0,"24,93",11.453,2024-09-01
438,VCRI11,0.0,0.0,0,Papéis,"8,40","103.174,67","0,88","0,09","1,07 %","3,44 %","7,21 %","13,22 %","1,15 %","1,20 %","1,10 %","10,32 %","-0,94 %","0,12 %","20,06 %","169.867.649,62","9,56","0,88","1,10 %","1,16 %","2,28 %","4,09 %",0,"8,77",11.595,2024-09-01
439,VCRR11,36.1,4.475,4,Imóveis Residenciais,"69,11","281.233,12","0,53","0,60","0,86 %","2,71 %","5,79 %","11,96 %","0,90 %","0,97 %","1,00 %","8,94 %","3,90 %","4,79 %","14,34 %","261.179.711,75","130,59","0,53","0,46 %","1,83 %","2,30 %","17,20 %",0,"17,07",4.252,2024-09-01
440,VGHF11,0.0,0.0,0,Misto,"8,83","1.707.337,99","0,98","0,09","1,01 %","3,08 %","6,03 %","12,66 %","1,03 %","1,01 %","1,06 %","9,29 %","2,30 %","3,33 %","8,22 %","1.483.749.652,81","9,01","0,98","1,00 %","-1,64 %","-0,66 %","12,09 %",0,"10,94",405.904,2024-09-01
441,VGIA11,0.0,0.0,0,Indefinido,"9,02","1.446.998,26","0,94","0,13","1,61 %","4,22 %","8,28 %","15,77 %","1,41 %","1,38 %","1,31 %","10,73 %","2,93 %","4,59 %","7,65 %","830.301.113,35","9,60","0,94","1,04 %","0,75 %","1,80 %","10,09 %",0,"15,87",165.341,2024-09-01
442,VGIP11,0.0,0.0,0,Papéis,"87,99","1.388.095,61","0,96","0,88","0,99 %","2,88 %","5,98 %","11,15 %","0,96 %","1,00 %","0,93 %","7,75 %","-0,06 %","0,93 %","15,46 %","1.079.386.211,20","91,57","0,96","1,04 %","1,25 %","2,30 %","11,20 %",0,"13,92",89.991,2024-09-01
443,VGIR11,0.0,0.0,0,Papéis,"10,10","2.292.678,18","1,04","0,10","1,03 %","3,20 %","6,57 %","13,93 %","1,07 %","1,10 %","1,16 %","8,89 %","-0,41 %","0,62 %","12,35 %","1.115.071.439,08","9,74","1,04","1,03 %","1,04 %","2,07 %","-88,76 %",0,"9,47",252.065,2024-09-01
444,VGRI11,0.0,0.0,0,Misto,"8,89","179.168,81","0,92","0,15","1,66 %","4,88 %","9,60 %","9,60 %","1,63 %","1,60 %","1,60 %","9,60 %","-0,88 %","0,77 %","2,95 %","325.085.099,08",,,,,,,5,"27,59",2.378,2024-09-01
445,VIDS11,0.0,0.0,0,Fundo de Desenvolvimento,"915,64",,"1,04","2,85","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"80.982.830,34",,,,,,,0,"2,32",199,2024-09-01
446,VIFI11,0.0,0.0,0,Fundo de Fundos,"7,99","96.084,17","0,90","0,07","0,88 %","2,71 %","5,52 %","10,86 %","0,90 %","0,92 %","0,91 %","8,22 %","0,63 %","1,51 %","10,46 %","72.252.826,98","8,93","0,89","0,84 %","0,90 %","1,75 %","-68,88 %",0,"9,61",6.057,2024-09-01
447,VIGT11,0.0,0.0,0,Indefinido,"64,21","431.327,66",,"2,25","3,33 %","3,33 %","6,40 %","12,57 %","1,11 %","1,07 %","1,14 %","6,40 %","-7,65 %","-4,58 %","-5,97 %",,,,,,,,0,"14,86",0,2024-09-01
448,VILG11,43.07857142857143,3.2714285714285714,15,Imóveis Industriais e Logísticos,"86,01","905.300,95","0,75","0,64","0,73 %","2,28 %","4,27 %","8,24 %","0,76 %","0,71 %","0,69 %","6,21 %","0,48 %","1,22 %","-2,20 %","1.705.538.293,94","113,72","0,76","0,57 %","1,29 %","1,87 %","8,17 %",14,"17,43",158.795,2024-09-01
449,VINO11,40.44,1.8,10,Lajes Corporativas,"5,94","630.551,07","0,55","0,05","0,82 %","2,56 %","5,01 %","9,60 %","0,85 %","0,84 %","0,80 %","7,29 %","0,50 %","1,32 %","-12,48 %","889.325.525,38","10,74","0,55","0,56 %","-80,38 %","-80,27 %","-79,10 %",10,"23,72",154.023,2024-09-01
