,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
225,ITIP11,0.0,0.0,0,Papéis,"75,35","106.117,04","1,05","0,70","0,93 %","2,69 %","5,60 %","10,96 %","0,90 %","0,93 %","0,91 %","8,29 %","-5,65 %","-4,77 %","7,67 %","55.713.455,13","74,47","1,01","0,91 %","-7,02 %","-6,17 %","-3,93 %",0,"13,61",10.637,2024-09-01
226,ITIT11,0.0,0.0,0,Fundo de Fundos,"75,56","129.566,38","0,93","0,60","0,79 %","2,46 %","4,77 %","9,75 %","0,82 %","0,80 %","0,81 %","7,31 %","3,10 %","3,91 %","12,53 %","73.714.386,95","81,86","0,92","0,73 %","3,67 %","4,43 %","11,44 %",0,"10,52",11.706,2024-09-01
227,ITRI11,0.0,0.0,0,Shoppings,"90,95","1.170.401,04","0,94","0,88","0,96 %","2,78 %","4,08 %","4,08 %","0,93 %","1,02 %","1,02 %","4,08 %","-1,48 %","-0,53 %","-4,93 %","611.198.574,69",,,,,,,0,"18,75",18.339,2024-09-01
228,JASC11,0.0,0.0,16,Imóveis Comerciais - Outros,"113,93","581,50","1,06","0,61","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"374.260.101,61",,,,,,,19,"444,29",171,2024-09-01
229,JBFO11,0.0,0.0,0,Papéis,"81,49","82,00","1,01","0,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"103.656.844,08",,,,,,,0,"711,98",366,2024-09-01
230,JCCJ11,0.0,0.0,0,Papéis,"152,00","3.680.153,89","0,84","0,45","0,32 %","0,73 %","1,08 %","2,03 %","0,73 %","0,18 %","0,17 %","1,53 %","6,43 %","6,77 %","16,50 %","301.868.682,44",,,,,,,0,"232,04",28,2024-09-01
231,JCIN11,0.0,0.0,0,Fundo de Fundos,"150,66","10.502.787,20","1,00","0,61","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"197.797.344,17",,,,,,,0,"1,66",4,2024-09-01
232,JFLL11,0.0,0.0,2,Imóveis Residenciais,"70,95","174.981,24","0,68","0,60","0,85 %","2,54 %","5,05 %","10,16 %","0,85 %","0,84 %","0,85 %","7,58 %","-1,25 %","-0,41 %","3,18 %","156.020.080,65","103,97","0,68","0,60 %","2,96 %","3,58 %","12,55 %",2,"23,11",3.400,2024-09-01
233,JGPX11,0.0,0.0,0,Indefinido,"84,37","150.599,47","0,89","1,09","1,29 %","3,92 %","7,76 %","14,49 %","1,31 %","1,29 %","1,21 %","11,57 %","6,36 %","7,73 %","1,30 %","203.722.854,97","95,14","0,89","1,05 %","-0,87 %","0,18 %","11,08 %",0,"16,82",7.334,2024-09-01
234,JPPA11,0.0,0.0,0,Papéis,"82,55","183.243,21","0,85","1,00","1,22 %","3,66 %","7,17 %","13,99 %","1,22 %","1,20 %","1,17 %","10,53 %","0,87 %","2,10 %","2,55 %","87.880.724,31","97,21","0,85","1,04 %","-1,13 %","-0,10 %","12,43 %",0,"11,70",8.006,2024-09-01
235,JRDM11,0.0,0.0,1,Shoppings,"85,90","610.682,00","0,97","7,83","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,00 %","0,00 %","0,00 %",,"224.143.181,16","88,84","0,97","0,45 %","-1,16 %","-0,71 %","7,23 %",1,"9,34",4.001,2024-09-01
236,JSAF11,0.0,0.0,0,Fundo de Fundos,"96,50","2.584.272,08","1,00","0,91","0,92 %","3,05 %","6,08 %","12,14 %","1,02 %","1,01 %","1,01 %","9,10 %","6,64 %","7,62 %","8,76 %","744.753.878,64","96,07","1,00","1,04 %","2,27 %","3,33 %","11,56 %",0,"18,95",16.065,2024-09-01
237,JSCR11,0.0,0.0,0,Papéis,"96,25","106.134,14","1,00","0,83","0,84 %","0,84 %","0,84 %","0,84 %","0,84 %","0,84 %","0,84 %","0,84 %","0,00 %","0,00 %",,"212.963.966,62",,,,,,,0,"25,96",2.904,2024-09-01
238,JSRE11,0.0,0.0,5,Misto,"63,70","811.694,01","0,58","0,48","0,75 %","2,23 %","4,31 %","8,12 %","0,74 %","0,72 %","0,68 %","6,18 %","-1,70 %","-0,96 %","-5,93 %","2.277.329.560,88","109,66","0,58","0,44 %","-2,93 %","-2,51 %","1,76 %",6,"19,35",100.335,2024-09-01
239,JURO11,0.0,0.0,0,Indefinido,"106,37","3.551.590,71",,"1,00","0,94 %","3,08 %","6,62 %","14,28 %","1,03 %","1,10 %","1,19 %","9,95 %","0,67 %","1,62 %","12,28 %",,,,,,,,0,"8,89",0,2024-09-01
240,KCRE11,0.0,0.0,0,Indefinido,"9,79","254.829,19","0,98","0,09","0,91 %","2,92 %","6,32 %","11,47 %","0,97 %","1,05 %","0,96 %","9,02 %","4,67 %","5,62 %","17,36 %","360.225.257,96","10,01","0,98","0,90 %","-89,78 %","-89,69 %","-89,57 %",0,"9,75",13.746,2024-09-01
241,KDIF11,0.0,0.0,0,Indefinido,"137,85","1.712.003,00",,"1,10","0,80 %","2,43 %","5,03 %","9,96 %","0,81 %","0,84 %","0,83 %","7,66 %","0,62 %","1,42 %","12,08 %",,,,,,,,0,"11,29",0,2024-09-01
242,KEVE11,0.0,0.0,0,Fundo de Desenvolvimento,"1.075,00","41.283,00","1,48","47,05","0,00 %","3,66 %","6,10 %","12,69 %","1,22 %","1,02 %","1,06 %","12,69 %","0,00 %","0,00 %",,"113.791.010,80","770,41","1,40","1,49 %","-17,36 %","-16,12 %","-19,35 %",0,"38,35",454,2024-09-01
243,KFOF11,0.0,0.0,0,Fundo de Fundos,"84,96","2.322.364,79","0,91","0,75","0,87 %","2,54 %","5,10 %","10,35 %","0,85 %","0,85 %","0,86 %","7,80 %","-1,51 %","-0,65 %","1,97 %","658.281.149,41","93,84","0,91","0,80 %","3,27 %","4,09 %","9,89 %",0,"16,53",23.575,2024-09-01
244,KINP11,0.0,0.0,0,Fundo de Desenvolvimento,"9,82","38.394,20","2,66","2,90","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","19,95 %","0,00 %","0,00 %",,"26.408.606,84",,,"0,00 %","-100,00 %","0,00 %","0,00 %",0,"12,74",1.932,2024-09-01
245,KISU11,0.0,0.0,0,Fundo de Fundos,"8,05","342.214,36","0,93","0,07","0,86 %","2,64 %","5,37 %","10,89 %","0,88 %","0,90 %","0,91 %","8,15 %","-0,12 %","0,74 %","9,67 %","382.706.967,06","8,66","0,93","0,87 %","-0,69 %","0,17 %","2,49 %",0,"11,30",125.532,2024-09-01
246,KIVO11,0.0,0.0,0,Papéis,"79,12","656.108,08","0,89","0,95","1,19 %","3,69 %","7,22 %","14,93 %","1,23 %","1,20 %","1,24 %","10,99 %","-1,66 %","-0,49 %","3,75 %","199.458.763,28",,,,,,,0,"16,18",7.023,2024-09-01
247,KNCA11,0.0,0.0,0,Indefinido,"104,46","1.833.246,70","1,03","1,06","1,02 %","3,12 %","6,44 %","12,74 %","1,04 %","1,07 %","1,06 %","9,62 %","3,95 %","5,01 %","12,96 %","2.218.832.872,72","102,72","1,02","0,97 %","0,52 %","1,50 %","12,94 %",0,"7,67",68.440,2024-09-01
248,KNCR11,0.0,0.0,0,Papéis,"105,17","5.841.663,94","1,04","0,95","0,91 %","2,79 %","5,70 %","11,96 %","0,93 %","0,95 %","1,00 %","8,70 %","0,50 %","1,42 %","15,17 %","7.034.875.189,42","101,24","1,04","0,99 %","0,49 %","1,48 %","14,86 %",0,"7,61",354.867,2024-09-01
249,KNHF11,0.0,0.0,2,Indefinido,"96,40","2.668.340,42","0,97","0,90","0,92 %","2,81 %","5,57 %","11,14 %","0,94 %","0,93 %","0,93 %","8,22 %","2,51 %","3,46 %","5,88 %","1.962.294.195,28",,,,,,,2,"11,33",35.268,2024-09-01
250,KNHY11,0.0,0.0,0,Papéis,"104,99","1.747.413,06","1,04","1,03","0,98 %","3,09 %","6,43 %","12,75 %","1,03 %","1,07 %","1,06 %","9,76 %","0,94 %","1,93 %","17,50 %","2.846.129.123,08","101,04","1,04","1,04 %","3,37 %","4,44 %","17,97 %",0,"6,78",31.314,2024-09-01
