Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-02-11,EURO11,Logística,"161,00",333.0,"R$ 0,7400","0,4639%","1,3540%","3,0309%","6,3150%","0,4513%","0,5051%","0,5263%","0,4639%","0,0000%","0,4639%","0,4639%","R$ 122.642.167,94","R$ 319,43","0,5040","0,1972%","2,9067%","3,1097%","7,0425%","37,21%",N/A,6
2019-02-11,FIGS11,Shoppings,"56,50",10306.0,"R$ 0,8333","1,3889%","3,7631%","7,4179%","13,4989%","1,2544%","1,2363%","1,1249%","1,3889%","0,0000%","1,3889%","1,3889%","R$ 247.500.649,06","R$ 95,50","0,5916","0,8726%","1,9320%","2,8214%","19,3004%","11,61%",N/A,2
2019-02-11,ABCP11,Shoppings,"94,35",4727.0,"R$ 0,1300","0,6937%","1,7529%","3,3104%","6,4512%","0,5843%","0,5517%","0,5376%","0,6937%","0,0000%","0,6937%","0,6937%","R$ 907.480.454,93","R$ 14,87","6,3441","0,6052%","0,2378%","0,8444%","25,2285%","1,20%",N/A,1
2019-02-11,FIIB11,Híbrido,"435,00",1286.0,"R$ 2,6000","0,5977%","1,8634%","3,8717%","7,5748%","0,6211%","0,6453%","0,6312%","7,5748%","1,9930%","2,6026%","11,6949%","R$ 265.928.648,57","R$ 388,22","1,1205","0,6697%","-0,5207%","0,1456%","8,0464%","4,59%",N/A,1
2019-02-11,FMOF11,Lajes Corporativas,"79,97",208.0,"R$ 1,0300","1,1771%","1,7659%","2,6369%","4,1101%","0,5886%","0,4395%","0,3425%","4,1101%","0,0114%","1,1887%","-21,4059%","R$ 67.779.264,99","R$ 133,42","0,5994","0,7720%","0,7466%","1,5244%","4,2688%","56,13%",N/A,1
2019-02-11,MBRF11,Outros,"1.124,00",94.0,"R$ 8,0000","0,7117%","2,1925%","4,5305%","9,1244%","0,7308%","0,7551%","0,7604%","0,7117%","0,0000%","0,7117%","0,7117%","R$ 119.800.958,18","R$ 1.178,40","0,9538","0,6789%","0,0139%","0,6929%","12,1602%","0,00%",N/A,2
2019-02-11,PABY11,Híbrido,"22,20",58.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-19,8397%","-19,8397%","-31,6239%","R$ 186.691.068,73","R$ 246,16","0,0902",N/A,N/A,N/A,N/A,N/A,N/A,1
2019-02-11,FPAB11,Lajes Corporativas,"369,80",53.0,"R$ 1,8000","0,4865%","1,5015%","5,2522%","8,3946%","0,5005%","0,8754%","0,6996%","0,4865%","0,0000%","0,4865%","0,4865%","R$ 279.321.907,73","R$ 372,43","0,9929","0,4565%","7,2411%","7,7307%","17,0523%","13,37%",N/A,1
2019-02-11,FFCI11,Lajes Corporativas,"164,70",2336.0,"R$ 0,5000","0,3036%","1,0223%","2,2958%","4,7007%","0,3408%","0,3826%","0,3917%","0,5995%","-2,5155%","-2,2196%","-1,9302%","R$ 373.219.680,36","R$ 171,99","0,9576","0,3663%","-0,0701%","0,2959%","1,6923%","11,64%",N/A,8
2019-02-11,RNGO11,Lajes Corporativas,"82,69",3390.0,"R$ 0,4800","0,5827%","1,7139%","3,5650%","7,2063%","0,5713%","0,5942%","0,6005%","0,5827%","0,0000%","0,5827%","0,5827%","R$ 250.448.048,75","R$ 93,59","0,8835","0,5129%","0,0241%","0,5371%","7,6659%","9,90%",N/A,3
